YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,-999,-999,-999,-999,-999,-999,-999
2011,1,2,-999,-999,-999,-999,-999,-999,-999
2011,1,3,-999,-999,-999,-999,-999,-999,-999
2011,1,4,-999,-999,-999,-999,-999,-999,-999
2011,1,5,-999,-999,-999,-999,-999,-999,-999
2011,1,6,-999,-999,-999,-999,-999,-999,-999
2011,1,7,-999,-999,-999,-999,-999,-999,-999
2011,1,8,-999,-999,-999,-999,-999,-999,-999
2011,1,9,-999,-999,-999,-999,-999,-999,-999
2011,1,10,-999,-999,-999,-999,-999,-999,-999
2011,1,11,-999,-999,-999,-999,-999,-999,-999
2011,1,12,-999,-999,-999,-999,-999,-999,-999
2011,1,13,-999,-999,-999,-999,-999,-999,-999
2011,1,14,-999,-999,-999,-999,-999,-999,-999
2011,1,15,-999,-999,-999,-999,-999,-999,-999
2011,1,16,-999,-999,-999,-999,-999,-999,-999
2011,1,17,-999,-999,-999,-999,-999,-999,-999
2011,1,18,-999,-999,-999,-999,-999,-999,-999
2011,1,19,-999,-999,-999,-999,-999,-999,-999
2011,1,20,-999,-999,-999,-999,-999,-999,-999
2011,1,21,-999,-999,-999,-999,-999,-999,-999
2011,1,22,-999,-999,-999,-999,-999,-999,-999
2011,1,23,-999,-999,-999,-999,-999,-999,-999
2011,1,24,-999,-999,-999,-999,-999,-999,-999
2011,1,25,-999,-999,-999,-999,-999,-999,-999
2011,1,26,-999,-999,-999,-999,-999,-999,-999
2011,1,27,-999,-999,-999,-999,-999,-999,-999
2011,1,28,-999,-999,-999,-999,-999,-999,-999
2011,1,29,-999,-999,-999,-999,-999,-999,-999
2011,1,30,-999,-999,-999,-999,-999,-999,-999
2011,1,31,-999,-999,-999,-999,-999,-999,-999
2011,2,1,-999,-999,-999,-999,-999,-999,-999
2011,2,2,-999,-999,-999,-999,-999,-999,-999
2011,2,3,-999,-999,-999,-999,-999,-999,-999
2011,2,4,-999,-999,-999,-999,-999,-999,-999
2011,2,5,-999,-999,-999,-999,-999,-999,-999
2011,2,6,-999,-999,-999,-999,-999,-999,-999
2011,2,7,-999,-999,-999,-999,-999,-999,-999
2011,2,8,-999,-999,-999,-999,-999,-999,-999
2011,2,9,-999,-999,-999,-999,-999,-999,-999
2011,2,10,-999,-999,-999,-999,-999,-999,-999
2011,2,11,-999,-999,-999,-999,-999,-999,-999
2011,2,12,-999,-999,-999,-999,-999,-999,-999
2011,2,13,-999,-999,-999,-999,-999,-999,-999
2011,2,14,-999,-999,-999,-999,-999,-999,-999
2011,2,15,-999,-999,-999,-999,-999,-999,-999
2011,2,16,-999,-999,-999,-999,-999,-999,-999
2011,2,17,-999,-999,-999,-999,-999,-999,-999
2011,2,18,-999,-999,-999,-999,-999,-999,-999
2011,2,19,-999,-999,-999,-999,-999,-999,-999
2011,2,20,-999,-999,-999,-999,-999,-999,-999
2011,2,21,-999,-999,-999,-999,-999,-999,-999
2011,2,22,-999,-999,-999,-999,-999,-999,-999
2011,2,23,-999,-999,-999,-999,-999,-999,-999
2011,2,24,-999,-999,-999,-999,-999,-999,-999
2011,2,25,-999,-999,-999,-999,-999,-999,-999
2011,2,26,-999,-999,-999,-999,-999,-999,-999
2011,2,27,-999,-999,-999,-999,-999,-999,-999
2011,2,28,-999,-999,-999,-999,-999,-999,-999
2011,3,1,-999,-999,-999,-999,-999,-999,-999
2011,3,2,-999,-999,-999,-999,-999,-999,-999
2011,3,3,-999,-999,-999,-999,-999,-999,-999
2011,3,4,-999,-999,-999,-999,-999,-999,-999
2011,3,5,-999,-999,-999,-999,-999,-999,-999
2011,3,6,-999,-999,-999,-999,-999,-999,-999
2011,3,7,-999,-999,-999,-999,-999,-999,-999
2011,3,8,-999,-999,-999,-999,-999,-999,-999
2011,3,9,-999,-999,-999,-999,-999,-999,-999
2011,3,10,-999,-999,-999,-999,-999,-999,-999
2011,3,11,-999,-999,-999,-999,-999,-999,-999
2011,3,12,-999,-999,-999,-999,-999,-999,-999
