YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,0,29.1,22.9,26,83,3,40
2011,1,2,0,29.6,23.7,26.7,79,3,40
2011,1,3,0,29.2,21,25.1,78,2,40
2011,1,4,0,29.8,22.7,26.3,91,3,40
2011,1,5,0,29.1,22.4,25.8,80,3,40
2011,1,6,0,30,24.2,27.1,80,2,40
2011,1,7,0,30.7,21.9,26.3,73,3,40
2011,1,8,0,30.3,23.8,27.1,78,3,40
2011,1,9,5,29.3,22.8,26.1,91,1,40
2011,1,10,0.5,29,24.3,26.7,88,2,40
2011,1,11,2,28.2,22.4,25.3,85,2,40
2011,1,12,0,30.4,23.6,27,85,2,40
2011,1,13,0,30.5,22.4,26.5,80,1,40
2011,1,14,0,32,23.9,28,81,1,40
2011,1,15,6.5,31.5,21.9,26.7,90,1,40
2011,1,16,0,28,22.7,25.4,79,3,40
2011,1,17,0,26.1,20.5,23.3,76,3,40
2011,1,18,0.5,28,22,25,80,3,40
2011,1,19,0,30.5,23.2,26.9,87,1,40
2011,1,20,0.5,30.3,22.8,26.6,88,0,0
2011,1,21,3.5,32.6,23.2,27.9,88,1,200
2011,1,22,0,31.5,24.5,28,82,2,40
2011,1,23,0.2,31.4,24,27.7,86,2,40
2011,1,24,2.5,31.2,23.6,27.4,84,2,40
2011,1,25,0,29.3,22.3,25.8,83,3,40
2011,1,26,0,29.5,22.5,26,80,3,40
2011,1,27,0,30,23.6,26.8,78,2,40
2011,1,28,0,29.5,21.8,25.7,78,2,40
2011,1,29,0,29.8,22,25.9,78,1,40
2011,1,30,0,29.5,22.2,25.9,78,2,40
2011,1,31,0,29.2,21.2,25.2,87,4,40
2011,2,1,0,28.5,21.9,25.2,77,3,40
2011,2,2,0,28.7,20.2,24.5,68,3,40
2011,2,3,0,29,22,25.5,78,2,40
2011,2,4,0,30.5,22,26.3,84,2,40
2011,2,5,0,28.5,22.8,25.7,79,2,40
2011,2,6,0,31,22.6,26.8,79,2,40
2011,2,7,0,30,21.9,26,85,2,40
2011,2,8,0,32.3,21.8,27,86,0,0
2011,2,9,0,32.8,22.8,27.8,84,1,210
2011,2,10,0,33.4,22.5,28,89,1,210
2011,2,11,0,33,24.3,28.7,83,0,0
2011,2,12,0,29.4,21,25.2,76,3,40
2011,2,13,0,30.5,21.5,26,68,2,40
2011,2,14,0,32,22.4,27.2,79,2,40
2011,2,15,0,30,23.6,26.8,79,3,40
2011,2,16,0,32,22.4,27.2,76,3,40
2011,2,17,0,33,23.6,28.3,74,1,40
2011,2,18,0,32.7,21,26.9,76,1,20
2011,2,19,0,33.4,18.9,26.2,71,2,40
2011,2,20,0,33.3,20.2,26.8,70,1,40
2011,2,21,0,32.5,25.7,29.1,71,1,40
2011,2,22,0,31.6,21,26.3,74,1,40
2011,2,23,0,30,19.9,25,75,1,40
2011,2,24,0,32.2,20,26.1,68,1,40
2011,2,25,0,32.5,21.5,27,67,3,40
2011,2,26,0,30.4,21.1,25.8,72,1,40
2011,2,27,0,30.6,24.8,27.7,73,1,40
2011,2,28,0,31.6,22.8,27.2,76,3,40
2011,3,1,13,30.5,22.4,26.5,83,2,40
2011,3,2,12.5,28,20.5,24.3,89,2,40
2011,3,3,0,29.5,23.1,26.3,78,2,40
2011,3,4,11.5,30.4,22.7,26.5,82,2,40
2011,3,5,0,29.5,23.5,26.5,87,2,40
2011,3,6,0,32.8,23.7,28.3,79,1,40
2011,3,7,0,33.4,23.7,28.6,84,1,210
2011,3,8,0,29.4,22.5,26,82,2,40
2011,3,9,0,28,21,24.5,81,3,40
2011,3,10,0,30,22,26,78,3,40
2011,3,11,0,30.7,22,26.4,71,3,40
2011,3,12,0,31,22.8,26.9,70,2,40
2011,3,13,0,31.6,21.7,26.7,74,2,40
2011,3,14,0,30.4,23,26.7,77,2,40
2011,3,15,0,28.6,24.2,26.4,76,3,40
2011,3,16,0,-999,22.8,-999,70,3,40
2011,3,17,0,-999,23.9,-999,72,3,40
2011,3,18,0,-999,24.6,-999,73,2,40
2011,3,19,0,-999,24.9,-999,74,2,40
2011,3,20,0,-999,24,-999,74,2,40
2011,3,21,0,-999,24.2,-999,75,2,40
2011,3,22,0,-999,23.6,-999,73,2,40
2011,3,23,0,-999,21.7,-999,71,3,40
2011,3,24,0,-999,23,-999,73,3,40
2011,3,25,0,-999,24,-999,69,3,40
2011,3,26,0,-999,22,-999,67,3,40
2011,3,27,0,-999,23.7,-999,73,2,40
2011,3,28,0,-999,23.2,-999,76,3,40
2011,3,29,0,-999,24.3,-999,76,2,40
2011,3,30,0.6,-999,21.8,-999,81,3,40
2011,3,31,0,-999,22,-999,69,2,40
2011,4,1,0,-999,19.5,-999,67,1,40
2011,4,2,0,-999,21,-999,70,1,40
2011,4,3,0,-999,22.5,-999,77,1,80
2011,4,4,0,-999,21.9,-999,75,1,40
2011,4,5,0,-999,20.8,-999,66,2,40
2011,4,6,0,-999,20.1,-999,74,1,40
2011,4,7,0,-999,20.5,-999,71,1,30
2011,4,8,0,-999,20,-999,66,2,40
2011,4,9,0.5,-999,22.4,-999,74,2,40
