YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,0,23.4,11,17.2,87,2,140
2011,1,2,0,23,10,16.5,82,2,110
2011,1,3,0,21.8,9.8,15.8,83,1,160
2011,1,4,0,24.1,9.6,16.9,82,1,140
2011,1,5,0,23.2,12,17.6,81,3,140
2011,1,6,0,24.6,11.8,18.2,78,1,110
2011,1,7,0,24,11,17.5,85,2,140
2011,1,8,0,23.6,12.4,18,73,3,180
2011,1,9,0,24.6,15.2,19.9,90,1,180
2011,1,10,0,23.8,12.8,18.3,80,2,110
2011,1,11,0,24,13.6,18.8,86,1,140
2011,1,12,2.4,22.6,14.2,18.4,89,2,110
2011,1,13,0,23.2,14,18.6,86,2,110
2011,1,14,0,23.5,15.4,19.5,84,1,140
2011,1,15,0,24,12.4,18.2,84,1,340
2011,1,16,0,20,11.2,15.6,90,2,140
2011,1,17,1,17.8,10,13.9,86,2,140
2011,1,18,0,20.7,13.6,17.2,85,3,140
2011,1,19,4,24.4,14.4,19.4,83,2,110
2011,1,20,8.8,21.4,14,17.7,89,2,110
2011,1,21,0,21.6,15,18.3,94,1,140
2011,1,22,0,24.8,14.8,19.8,86,2,140
2011,1,23,39.8,22,14,18,91,1,140
2011,1,24,40,22.6,12.8,17.7,89,2,110
2011,1,25,0,22.4,12.6,17.5,68,2,140
2011,1,26,0,23.2,11.4,17.3,82,2,110
2011,1,27,0,23.6,10.6,17.1,81,2,110
2011,1,28,0,22.5,10.8,16.6,79,2,140
2011,1,29,0,23.4,10.4,16.9,84,2,140
2011,1,30,0,21,11.2,16.1,88,2,140
2011,1,31,0,22.8,9.8,16.3,84,3,140
2011,2,1,0,21.6,10.2,15.9,88,1,270
2011,2,2,0,20.4,9.4,14.9,89,2,110
2011,2,3,0,23.6,11.8,17.7,76,1,160
2011,2,4,0,23.9,14.4,19.1,81,2,140
2011,2,5,0,22.6,13.4,18,91,2,160
2011,2,6,6.2,26,13.2,19.6,86,1,140
2011,2,7,1.4,23.2,14,18.6,87,2,140
2011,2,8,0.6,23.6,15.2,19.4,88,1,140
2011,2,9,0,24.2,15.5,19.9,84,1,140
2011,2,10,5.4,23.2,14.8,19,90,1,270
2011,2,11,0,24,13.2,18.6,88,1,140
2011,2,12,0.2,23,12,17.5,85,2,110
2011,2,13,0,21,12.6,16.8,90,1,160
2011,2,14,0,22.4,12.4,17.4,89,1,250
2011,2,15,0,23.5,12.8,18.1,85,2,110
2011,2,16,0,25.8,13.4,19.6,83,2,180
2011,2,17,0,24.6,13.6,19.1,79,1,110
2011,2,18,0,25.8,13.8,19.8,84,1,220
2011,2,19,0,26,12.6,19.3,84,2,180
2011,2,20,0,23.8,12.4,18.1,88,2,140
2011,2,21,0,25.4,12.8,19.1,84,1,160
2011,2,22,0,23.2,11.6,17.4,87,1,290
2011,2,23,0,23,11,17,85,1,220
2011,2,24,0,21.6,10.4,16,82,1,220
2011,2,25,0,23.5,10,16.8,78,2,110
2011,2,26,0,23.2,11.4,17.3,75,2,110
2011,2,27,0,24.4,12.2,18.3,80,2,140
2011,2,28,0,25.6,13.4,19.5,79,1,160
2011,3,1,0,28,15.4,21.7,79,2,110
2011,3,2,2.2,23.8,13.8,18.8,89,2,110
2011,3,3,42.2,22.2,14,18.1,93,1,110
2011,3,4,0,23,13.6,18.3,89,2,110
2011,3,5,0.4,24.2,15,19.6,84,3,110
2011,3,6,4.6,20,14,17,89,2,110
2011,3,7,5,22.4,14.6,18.5,95,1,110
2011,3,8,19.4,22.5,12.6,17.5,91,2,110
2011,3,9,0,23.6,12.4,18,84,1,140
2011,3,10,0,24.4,11.8,18.1,84,1,140
2011,3,11,0,22.8,11,16.9,85,2,110
2011,3,12,0,24,11.8,17.9,83,2,110
2011,3,13,0,25.6,14,19.8,80,2,110
2011,3,14,0,27,15,21,79,1,160
2011,3,15,0,24.6,13.8,19.2,90,1,180
2011,3,16,0,24.4,12.4,18.4,82,2,110
2011,3,17,0,24.4,13,18.7,77,3,110
2011,3,18,0,25.3,13.8,19.6,84,1,110
2011,3,19,0,24.8,14,19.4,84,1,110
2011,3,20,0,26.7,15.2,21,78,1,180
2011,3,21,0,26.4,15.6,21,82,1,160
2011,3,22,0,28.1,15,21.5,79,1,110
2011,3,23,0,27.6,14,20.8,77,2,140
2011,3,24,0,25.4,13.2,19.3,80,2,140
2011,3,25,0,24.5,11.6,18,82,2,110
2011,3,26,0,23.4,11.8,17.6,84,2,110
2011,3,27,0,25,13.6,19.3,80,1,140
2011,3,28,15.4,22.8,13.8,18.3,90,1,110
2011,3,29,4.2,25.1,13.4,19.3,89,2,140
2011,3,30,0,24.2,12,18.1,82,3,110
2011,3,31,0,21,12.6,16.8,86,2,110
2011,4,1,0,24.5,14.6,19.5,88,1,270
2011,4,2,0,22.8,14,18.4,90,1,250
2011,4,3,0,24.6,13.4,19,84,1,290
2011,4,4,0,24.4,13.5,19,81,1,290
2011,4,5,0,23.4,12.6,18,84,1,110
2011,4,6,3.5,22.4,12.2,17.3,92,1,110
2011,4,7,0,22.4,13,17.7,85,1,250
2011,4,8,0,22.8,12.8,17.8,87,2,110
2011,4,9,0,24.8,13,18.9,80,2,110
2011,4,10,0,24.2,13.2,18.7,85,1,290
2011,4,11,0,25.2,12.6,18.9,79,1,140
2011,4,12,0,27.4,13.2,20.3,81,1,140
2011,4,13,0,27.6,13.6,20.6,76,2,90
2011,4,14,0,26.8,14.6,20.7,78,1,270
2011,4,15,0,27,14,20.5,81,2,110
2011,4,16,0,27.6,15,21.3,84,1,270
2011,4,17,0,26,14.6,20.3,84,1,360
2011,4,18,0,26.6,13.8,20.2,80,1,320
2011,4,19,0,25.4,14.4,19.9,81,2,110
2011,4,20,0.8,25.6,13.8,19.7,84,2,110
2011,4,21,0.6,26.8,14.6,20.7,82,2,110
2011,4,22,0,26,14.8,20.4,85,1,270
2011,4,23,0,26.2,15,20.6,83,2,160
2011,4,24,0,27.9,14.2,21,78,2,220
2011,4,25,0,28.2,14.4,21.3,73,2,110
2011,4,26,6,28,15.6,21.8,86,2,160
2011,4,27,0,24.8,15.6,20.2,84,1,290
2011,4,28,0.4,26.6,15.8,21.2,81,1,140
2011,4,29,0,27.6,16,21.8,79,2,110
2011,4,30,0.6,27.4,15.6,21.5,84,2,110
2011,5,1,0,28,15,21.5,80,1,110
2011,5,2,0,28.5,15.4,22,75,2,110
2011,5,3,0,27.8,16.4,22.1,73,1,140
2011,5,4,4,28,16.2,22.1,81,1,140
2011,5,5,0,26.2,15.8,21,86,1,340
2011,5,6,0,27.6,18.2,22.9,84,1,270
2011,5,7,0,26.8,16.4,21.6,83,1,320
2011,5,8,9.2,22.8,16.6,19.7,92,1,340
2011,5,9,159.4,20.8,15,17.9,99,2,290
2011,5,10,30,19,13,16,98,2,290
2011,5,11,0,24.8,16,20.4,84,1,140
2011,5,12,0,25.4,15.8,20.6,83,2,110
2011,5,13,0,25.7,16.2,21,88,2,110
2011,5,14,9.6,24.4,15,19.7,86,2,140
2011,5,15,2.4,25,15.6,20.3,86,1,140
2011,5,16,0,26.6,16.2,21.4,85,1,220
2011,5,17,1.6,25,15,20,89,1,220
2011,5,18,37,25.6,13.8,19.7,92,2,110
2011,5,19,0,25.2,15.2,20.2,82,1,290
2011,5,20,23,27.5,14.6,21,89,2,360
2011,5,21,0,25.6,15.2,20.4,91,1,220
2011,5,22,23.2,25.4,14.2,19.8,90,1,110
2011,5,23,24.8,23.8,14.6,19.2,90,2,110
2011,5,24,6,25,15.4,20.2,89,1,140
2011,5,25,28,25.4,14.8,20.1,90,1,340
2011,5,26,19.4,24.2,16,20.1,90,1,340
2011,5,27,18.2,21.2,15.4,18.3,96,2,340
2011,5,28,20.2,22,16,19,96,1,320
2011,5,29,35.7,23.6,15.8,19.7,92,2,160
2011,5,30,10.8,23.8,16,19.9,93,4,140
2011,5,31,0,24.4,15.6,20,90,2,140
2011,6,1,0,25.2,16.4,20.8,83,2,110
2011,6,2,0,26.4,16.2,21.3,83,2,110
2011,6,3,6,26.6,15.4,21,87,2,140
2011,6,4,0,27.2,16.6,21.9,86,2,110
2011,6,5,0.2,26.2,16.2,21.2,83,1,110
2011,6,6,1.8,27.2,16.2,21.7,84,1,140
2011,6,7,0,25.5,16.4,21,88,1,360
2011,6,8,13.4,24.6,15.2,19.9,90,2,110
2011,6,9,9.8,18.6,14.6,16.6,97,6,140
2011,6,10,0.8,22.4,16,19.2,93,3,140
2011,6,11,1.2,24.6,15.4,20,93,2,140
2011,6,12,0,26.5,15.6,21,85,2,140
2011,6,13,0,27.4,16.4,21.9,81,2,110
2011,6,14,5,26.5,15.6,21,88,2,140
2011,6,15,0,25.7,15.6,20.7,88,3,140
2011,6,16,0,26.8,15.8,21.3,82,3,140
2011,6,17,0,25.3,15.4,20.4,86,2,140
2011,6,18,2.6,25.6,15.4,20.5,85,2,110
2011,6,19,15.4,21,15.2,18.1,96,2,160
2011,6,20,17,18.4,15,16.7,99,4,160
2011,6,21,14.6,18.8,15.8,17.3,97,3,160
2011,6,22,3.8,21.8,15.6,18.7,94,2,140
2011,6,23,31.4,20.6,15.4,18,97,1,250
2011,6,24,143.2,19.6,14.8,17.2,98,2,180
2011,6,25,146.2,18.4,14.4,16.4,100,2,220
2011,6,26,94.7,18.5,14.2,16.4,98,1,180
2011,6,27,8,20.6,14.2,17.4,95,1,160
