YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,0,25,20.5,22.8,88,3,340
2011,1,2,0,25.2,21,23.1,83,4,360
2011,1,3,0.8,27.8,20.5,24.2,86,1,180
2011,1,4,0,26.5,20.5,23.5,84,1,180
2011,1,5,5.8,26.8,22,24.4,81,2,360
2011,1,6,0.2,29,21.9,25.5,86,1,360
2011,1,7,0,28.5,22,25.3,85,1,160
2011,1,8,0.2,29.5,20.9,25.2,83,1,340
2011,1,9,121,24.5,21,22.8,97,2,360
2011,1,10,0.5,24,22.5,23.3,92,1,180
2011,1,11,6.3,25.6,20.5,23,87,1,360
2011,1,12,10.1,24.6,21.4,23,92,2,360
2011,1,13,0,27.8,22.4,25.1,89,1,360
2011,1,14,0,27.4,22.6,25,91,1,340
2011,1,15,0,28.4,22,25.2,90,1,360
2011,1,16,3,24,20.5,22.3,89,3,360
2011,1,17,0,24.5,19,21.8,86,2,360
2011,1,18,0.3,25.5,21.5,23.5,82,1,360
2011,1,19,21.7,25,21,23,87,3,340
2011,1,20,17.6,24.2,22.5,23.4,98,2,340
2011,1,21,1.4,30.3,22.8,26.6,90,3,320
2011,1,22,0,27.8,22.8,25.3,86,1,340
2011,1,23,17,25.5,22,23.8,90,2,180
2011,1,24,26,25,21,23,95,1,360
2011,1,25,2.4,25,20.5,22.8,87,2,160
2011,1,26,0.2,25,21.8,23.4,88,3,160
2011,1,27,1.8,28.5,21,24.8,87,2,180
2011,1,28,0,29.2,21.5,25.4,88,2,180
2011,1,29,0,28,21,24.5,83,3,360
2011,1,30,2.5,29,22,25.5,84,1,360
2011,1,31,0,24.2,20,22.1,84,2,180
2011,2,1,0,26.2,19.4,22.8,75,3,160
2011,2,2,0,27.8,19,23.4,70,3,340
2011,2,3,0,27.9,20.5,24.2,75,2,340
2011,2,4,4.2,27,21,24,83,1,340
2011,2,5,0,26.6,22.4,24.5,84,1,360
2011,2,6,0,30,23,26.5,88,0,0
2011,2,7,5.5,25,21,23,92,0,0
2011,2,8,2,30,22.5,26.3,86,1,180
2011,2,9,0.7,27.6,22.4,25,93,3,140
2011,2,10,0,29.5,23.3,26.4,92,1,180
2011,2,11,4.2,30.3,21.6,26,90,2,160
2011,2,12,0,25,20.5,22.8,89,1,180
2011,2,13,0,23.5,20.5,22,88,0,0
2011,2,14,0,30,22.5,26.3,86,2,360
2011,2,15,0,28.1,22.3,25.2,81,1,360
2011,2,16,0,29,22.1,25.5,88,1,340
2011,2,17,0,30.7,22,26.4,86,2,320
2011,2,18,0,30.5,22.3,26.4,88,2,140
2011,2,19,0,30.2,21.5,25.9,86,1,160
2011,2,20,0,31,23,27,87,0,0
2011,2,21,0,31,22.5,26.8,87,1,180
