YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,236.4,28.8,22.8,25.8,97,3,40
2011,1,2,6.6,28,24.8,26.4,91,4,40
2011,1,3,0,31.2,23.5,27.4,82,3,40
2011,1,4,6.7,28,23.5,25.8,90,3,320
2011,1,5,139.8,28.4,22,25.2,93,3,40
2011,1,6,10.6,28.5,23,25.8,96,2,320
2011,1,7,427.8,28.5,22.2,25.4,96,2,40
2011,1,8,15.4,29.6,24,26.8,92,1,320
2011,1,9,25.4,31.6,24.5,28,86,2,40
2011,1,10,28.5,30.9,24.4,27.6,96,4,40
2011,1,11,55.6,30,23.5,26.8,96,4,40
2011,1,12,15.2,26.5,22.8,24.7,96,3,320
2011,1,13,100.4,28.5,23.7,26.1,96,2,320
2011,1,14,0,31.2,23.8,27.5,91,1,90
2011,1,15,0,31.7,23.5,27.6,92,1,90
2011,1,16,77.6,29.5,23,26.3,95,4,360
2011,1,17,36.8,27.4,23.5,25.5,96,5,360
2011,1,18,57.2,27.5,22,24.8,96,3,320
2011,1,19,22,29,23.1,26,96,1,270
2011,1,20,3.8,28.5,23.8,26.2,94,1,90
2011,1,21,10.6,31,23.3,27.2,96,1,320
2011,1,22,12,32.2,24.8,28.5,88,2,360
2011,1,23,15.8,31,24.5,27.8,91,2,40
2011,1,24,0.6,30.5,24.8,27.7,86,3,40
2011,1,25,43.4,30.2,23.5,26.9,89,4,40
2011,1,26,6.4,29.5,24.3,26.9,85,4,40
2011,1,27,12.6,29,24,26.5,88,5,40
2011,1,28,0,30,25.7,27.9,88,4,40
2011,1,29,1.4,29.5,24.9,27.2,79,3,360
2011,1,30,7.8,28.5,23,25.8,88,3,320
2011,1,31,52.4,27.8,23.4,25.6,91,5,40
2011,2,1,58.6,26.8,22.8,24.8,96,5,40
2011,2,2,71.2,26,23,24.5,97,3,320
2011,2,3,25.8,29.6,24,26.8,95,2,40
2011,2,4,0,31.5,24,27.8,91,1,270
2011,2,5,4,29.4,23,26.2,96,1,320
2011,2,6,0,30,22.2,26.1,93,1,270
2011,2,7,0,30,23,26.5,90,1,110
2011,2,8,0.4,30.2,23.4,26.8,90,1,110
2011,2,9,0,31,23.8,27.4,88,1,90
2011,2,10,0,31.2,23,27.1,90,1,90
2011,2,11,3.8,32.5,23.7,28.1,88,1,70
2011,2,12,10.6,31.6,23.5,27.5,92,3,40
2011,2,13,83,31.1,22.5,26.8,93,2,40
2011,2,14,8.8,27.7,23.6,25.7,94,2,40
2011,2,15,22.4,31,23,27,90,3,320
2011,2,16,3.3,30.5,24.6,27.5,90,2,40
2011,2,17,16.2,30,24.8,27.4,88,2,40
