YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,9.2,28.9,23.8,26.4,88,1,310
2011,1,2,105.4,27.4,23.4,25.4,93,1,360
2011,1,3,96.9,24,20,22,97,1,120
2011,1,4,19.9,29.1,22.5,25.8,89,1,320
2011,1,5,12.5,25.2,22.8,24,96,1,120
2011,1,6,0.5,29.7,24,26.9,90,1,310
2011,1,7,4.1,30.3,24.5,27.4,89,2,290
2011,1,8,1.3,29.4,23.8,26.6,90,2,320
2011,1,9,0,31.8,23.6,27.7,87,1,120
2011,1,10,0,31.2,23.7,27.5,86,1,320
2011,1,11,0.2,34.1,24.7,29.4,86,2,160
2011,1,12,1.4,32.4,24.7,28.6,88,2,320
2011,1,13,0,31.4,24,27.7,85,2,360
2011,1,14,4.6,32.8,23.2,28,86,2,160
2011,1,15,6,32,24.7,28.4,80,2,350
2011,1,16,16,31.2,24.3,27.8,84,3,350
2011,1,17,31.2,29.6,23.2,26.4,93,2,300
2011,1,18,11.9,28.2,22.5,25.4,90,1,320
2011,1,19,1.6,31.7,23.3,27.5,86,2,140
2011,1,20,0.5,30.1,22.6,26.4,91,1,130
2011,1,21,0,32.6,24.4,28.5,80,2,160
2011,1,22,57.5,31.8,23.8,27.8,90,1,180
2011,1,23,2.4,28.4,23.7,26,91,1,180
2011,1,24,15.2,29.7,23.4,26.5,88,1,320
2011,1,25,6.2,30.4,23,26.7,88,1,330
2011,1,26,34.4,29.3,23.4,26.4,91,1,330
2011,1,27,46.4,26.7,23.2,25,92,1,160
2011,1,28,4.1,26.4,22.4,24.4,95,1,10
2011,1,29,1.3,27.9,23,25.5,89,1,310
2011,1,30,37.6,27.8,24.2,26,89,2,340
2011,1,31,207,24.8,22.7,23.8,96,2,340
2011,2,1,75.7,24.4,22.7,23.5,96,1,360
2011,2,2,4.4,28.2,23.2,25.7,90,2,310
2011,2,3,50.4,30.4,23.8,27.1,91,1,340
2011,2,4,19.7,33.4,23.2,28.3,85,2,160
2011,2,5,2.4,32.2,24.2,28.2,85,3,150
2011,2,6,0,33.9,24.2,29.1,81,1,320
2011,2,7,0,34.1,23.4,28.8,82,2,180
2011,2,8,0,32.8,24,28.4,82,2,180
2011,2,9,0,34.6,25.1,29.9,78,3,170
2011,2,10,0,33.9,23.9,28.9,82,2,130
2011,2,11,0.2,33.1,23.6,28.4,83,2,180
2011,2,12,11.2,32.4,23.2,27.8,83,1,170
2011,2,13,0.8,29.8,23.2,26.5,86,2,360
2011,2,14,0,31.2,23.6,27.4,82,2,180
2011,2,15,2.3,31,24,27.5,84,2,30
2011,2,16,0.4,32.7,23.4,28,80,3,330
2011,2,17,108.9,24.7,22.3,23.5,95,1,150
2011,2,18,0.5,28.7,23.5,26.1,88,2,60
2011,2,19,17.6,31.5,23.2,27.4,92,1,320
2011,2,20,0.3,30.6,23.2,26.9,87,2,360
2011,2,21,24.4,30,24,27,91,2,320
2011,2,22,119.4,26.2,20,23.1,95,2,30
2011,2,23,0,30,21.2,25.6,88,2,290
2011,2,24,0,30.8,22.2,26.5,85,2,290
2011,2,25,3.4,27.2,21,24.1,91,1,350
2011,2,26,34.6,27.8,23,25.4,92,2,320
2011,2,27,31.4,25.9,23.8,24.9,95,1,360
2011,2,28,4.8,31,24.2,27.6,89,1,340
2011,3,1,0,32.5,22.9,27.7,80,4,170
2011,3,2,1.5,33.5,23.7,28.6,83,2,120
2011,3,3,0.4,31.5,23.8,27.7,87,2,340
2011,3,4,5.4,33.3,23.8,28.5,85,2,160
2011,3,5,0,31.3,23.8,27.6,86,1,180
2011,3,6,0.8,28,21.5,24.8,86,1,180
2011,3,7,3,32.2,23.7,28,85,1,180
2011,3,8,5.7,32,23.4,27.7,90,2,160
2011,3,9,11.6,31.4,24.3,27.9,84,1,60
2011,3,10,1.4,31.7,24.6,28.2,87,1,340
2011,3,11,0.8,32.5,25,28.8,84,2,290
2011,3,12,0.4,30.5,21.8,26.2,88,1,340
2011,3,13,6.7,32.2,24.2,28.2,83,1,340
2011,3,14,41.8,31.5,24.4,28,89,1,340
2011,3,15,10.8,30.7,23.5,27.1,88,2,340
2011,3,16,1,29.2,24.2,26.7,90,2,290
2011,3,17,4,31.6,24.2,27.9,86,1,320
2011,3,18,46.9,29.3,23.7,26.5,90,1,30
2011,3,19,42.8,26.2,23.3,24.8,96,1,330
2011,3,20,0,31.5,23.5,27.5,84,1,270
2011,3,21,12.2,31.2,23.2,27.2,92,1,70
2011,3,22,3.3,31.6,23.7,27.7,87,2,80
2011,3,23,49.4,32.5,24.3,28.4,90,2,80
2011,3,24,31.7,29.5,23,26.3,93,1,290
2011,3,25,18.1,28.4,23.5,26,93,1,310
2011,3,26,5.6,29.7,24.2,27,89,1,150
2011,3,27,6.4,32.2,24,28.1,86,1,90
2011,3,28,5,32.2,23.7,28,86,1,320
2011,3,29,0.3,31.8,22.9,27.4,88,2,320
2011,3,30,3.5,32.3,24.7,28.5,95,2,350
2011,3,31,16.4,31.3,25,28.2,86,4,320
2011,4,1,4.3,26.8,24.8,25.8,90,3,310
2011,4,2,4.2,30,25.3,27.7,83,5,320
2011,4,3,8,30.3,24.7,27.5,86,3,320
2011,4,4,0,31.7,23.6,27.7,81,2,290
2011,4,5,0,32.3,23.3,27.8,81,4,290
2011,4,6,0,31.7,24.6,28.2,82,3,330
2011,4,7,0,32.6,23.7,28.2,80,2,310
