YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2019,1,1,22.4,26.1,22.2,24.1,89,3,90
2019,1,2,0,30.1,22.4,26.2,77,4,90
2019,1,3,12.4,31.5,22.5,27,82,2,90
2019,1,4,0,29.5,22.8,26.1,72,4,90
2019,1,5,0,31.1,22.9,27,74,4,70
2019,1,6,0,30.8,21.1,26.5,75,4,90
2019,1,7,0,30,21.5,25.8,73,2,90
2019,1,8,0,30.3,22.5,26.4,93,3,40
2019,1,9,0,30.6,22.2,26.4,76,2,90
2019,1,10,0,30.3,22.6,26.5,75,3,90
2019,1,11,0,30.5,22.2,26.4,72,3,90
2019,1,12,0,31,22,26.5,73,3,90
2019,1,13,0,31,22.8,26.9,70,4,70
2019,1,14,0,29.5,21.1,25.3,71,4,70
2019,1,15,0,30.2,19.4,24.8,67,4,90
2019,1,16,0,30,18.2,24.1,71,4,70
2019,1,17,0,31,21,26,75,3,90
2019,1,18,0,29.2,21.3,25.2,80,4,90
2019,1,19,0,29.8,21,25.4,74,4,70
2019,1,20,0,31.5,21,26.2,74,4,70
2019,1,21,0,32,21.9,26.9,63,3,70
2019,1,22,0,32.1,22.8,27.5,69,4,70
2019,1,23,0,31,21.5,26.2,70,3,90
2019,1,24,0,31.5,22,26.8,72,3,70
2019,1,25,0,30.2,21.8,26,68,3,90
2019,1,26,0,29.5,20.1,24.8,74,3,90
2019,1,27,0,27.2,20,23.6,75,3,90
2019,1,28,0,29,18.8,23.9,73,4,70
2019,1,29,0,29,19.4,24.2,63,4,90
2019,1,30,0,29.9,21.2,25.5,58,4,70
2019,1,31,0,29.5,20,24.8,75,2,70
2019,2,1,0,30,20.5,25.2,72,4,70
2019,2,2,0,29.7,21.2,25.4,77,3,90
2019,2,3,0,30.2,22.2,26.2,75,3,110
2019,2,4,0,30.5,21.2,25.9,75,3,110
2019,2,5,0,31.2,20.6,25.9,76,3,140
2019,2,6,0,30.4,20.3,25.4,78,4,140
2019,2,7,0,30.8,19.7,25.2,72,3,70
2019,2,8,0,31.5,19,25.2,74,2,90
2019,2,9,0,31.5,21.5,26.5,78,3,40
2019,2,10,0,30.3,22,26.1,75,3,90
2019,2,11,0,30.2,21.7,25.9,79,2,90
2019,2,12,0,30.4,22,26.2,73,3,90
2019,2,13,-1,27.7,17.8,22.8,78,2,70
2019,2,14,0,30,19.5,24.8,68,5,70
2019,2,15,0,30,20.9,25.4,65,3,90
2019,2,16,0,31.5,20,25.8,72,3,90
2019,2,17,0,30.5,20.5,25.5,76,3,90
2019,2,18,0,31,20.2,25.6,78,2,90
2019,2,19,0,30.7,20.3,25.5,74,2,90
2019,2,20,0,30,19.4,24.7,71,3,90
2019,2,21,0,31.2,19,25.1,71,3,90
2019,2,22,0,31.8,21.5,26.6,73,3,90
2019,2,23,0,30,20.6,25.3,68,4,90
2019,2,24,0,32.8,19.5,26.1,72,2,90
2019,2,25,0,32,21,26.5,76,2,90
2019,2,26,0,30.5,21,25.8,78,2,90
2019,2,27,0,30.3,21.4,25.9,77,1,90
2019,2,28,0,32,21,26,75,2,90
2019,3,1,0,31.5,21,26.2,75,3,90
2019,3,2,0,31.1,18.5,24.8,65,4,160
2019,3,3,0,32,21.5,26.8,73,3,20
2019,3,4,0,32,22,27,78,3,90
2019,3,5,0,31,20.5,25.8,77,3,90
2019,3,6,0,32.2,22.4,27.3,76,2,160
2019,3,7,0,32.2,20.5,26.4,79,2,90
2019,3,8,0,31.6,21.5,26.6,77,3,110
2019,3,9,0,32,20.4,26.2,67,3,140
2019,3,10,0,31.4,21,26.2,76,2,160
2019,3,11,0,32.7,21.4,27.1,78,2,180
2019,3,12,0,32.5,23,27.8,81,2,180
2019,3,13,0,30,22.5,26.2,80,2,140
2019,3,14,0.6,31.8,23.4,27.6,76,2,180
2019,3,15,0,32.4,22.8,27.6,79,1,170
2019,3,16,0,30.8,22.4,26.6,76,3,70
2019,3,17,0,31.6,22.9,27.2,72,4,70
2019,3,18,0,32.1,22,27.1,75,3,70
2019,3,19,0,32.2,22.5,27.4,71,3,110
2019,3,20,0,32.5,22,27.2,70,2,90
2019,3,21,0,33,21,27,75,2,140
2019,3,22,0,32.7,22.4,27.6,75,1,90
2019,3,23,0,32.8,22.8,27.8,71,2,90
2019,3,24,0,30.7,21.8,26.2,69,4,110
2019,3,25,0,32,21.4,26.7,70,3,70
2019,3,26,0,31.7,20.5,26.1,66,4,90
2019,3,27,0,31.5,23.5,27.5,69,3,110
2019,3,28,0,33.5,23.5,28.5,74,2,140
2019,3,29,0,33.5,23.5,28.5,78,2,90
2019,3,30,0,33.4,23.4,28.4,79,2,90
2019,3,31,0,33,20.5,26.8,77,2,90
2019,4,1,0,33,22.5,27.8,75,3,70
2019,4,2,0,33,23.5,28.2,72,4,70
2019,4,3,11.6,33,22.9,27.9,81,2,70
2019,4,4,0,33,23.1,28.1,73,3,70
2019,4,5,0,33.5,23.8,28.6,74,2,180
2019,4,6,0,34.3,23.6,28.9,76,2,90
2019,4,7,0,34.3,24,29.1,75,1,90
2019,4,8,0,34.3,23.1,28.7,74,2,90
2019,4,9,0,34.3,24.7,29.5,70,3,70
2019,4,10,0,35,23.6,29.3,73,3,90
2019,4,11,7.8,34.5,24.7,29.4,75,3,140
2019,4,12,0,33,24.6,28.3,86,2,90
2019,4,13,5.3,34.5,25,29.8,77,3,90
2019,4,14,3.2,34.5,25,29.8,72,2,90
2019,4,15,0,31.6,24.5,28.1,89,1,80
2019,4,16,0,34.9,24.3,29.6,79,1,170
2019,4,17,0,35.7,24.8,30.2,75,1,180
2019,4,18,0,35.2,25.7,30.5,78,1,90
2019,4,19,0,35.1,24.5,29.8,75,2,140
2019,4,20,0,35.4,22.9,29.1,68,3,110
2019,4,21,0,36.2,22.9,29.6,64,2,90
2019,4,22,0,34.3,24.7,29.5,70,3,90
2019,4,23,0,34.3,23.5,28.9,74,2,110
2019,4,24,0,35.2,25.4,30.3,72,2,170
2019,4,25,0,36.5,23.5,30,65,3,90
2019,4,26,0,35.5,24.3,29.9,64,3,90
2019,4,27,0,36,23.2,29.6,64,4,70
2019,4,28,0,36.1,23.6,29.9,63,4,90
2019,4,29,0,36.5,23.5,30,64,2,140
2019,4,30,0,36.5,25,30.8,66,1,180
2019,5,1,0,36.2,25.2,30.7,68,1,270
2019,5,2,1,35.9,23.8,29.9,75,2,90
2019,5,3,0,36.4,23.5,29.9,72,2,40
2019,5,4,0,35.4,24,29.7,76,1,200
2019,5,5,2.8,35.6,24.1,29.9,77,2,180
2019,5,6,7.4,33,24,28.5,83,2,180
2019,5,7,1.1,33.5,24,28.8,82,1,220
2019,5,8,2.7,34.5,23.5,29,86,1,180
2019,5,9,23.6,34.7,24,29.4,82,1,180
2019,5,10,10,34.3,23.6,28.9,84,1,180
2019,5,11,8,33.4,23.8,28.6,86,1,180
2019,5,12,1.4,35,25,30,83,1,180
2019,5,13,0,35.6,24.1,29.9,81,2,180
2019,5,14,0,35.6,25.5,30.6,80,2,40
2019,5,15,0,36.8,25,30.9,75,1,70
2019,5,16,0,36.5,26.5,31.5,73,1,180
2019,5,17,0,36.7,24.6,30.7,67,1,320
2019,5,18,0,36.5,24.4,30.4,73,1,200
2019,5,19,0,37,26,31.5,73,1,180
2019,5,20,13,37,25,30.5,79,1,220
2019,5,21,0,36.2,24.1,30.2,81,1,180
2019,5,22,0,34.9,24.8,29.9,81,1,30
2019,5,23,0,36,24.5,30.2,76,1,40
2019,5,24,0.1,35.5,24.5,30.1,72,2,40
2019,5,25,0.2,35.2,23.8,29.5,80,2,140
2019,5,26,69.8,33.8,23.5,28.6,85,1,90
2019,5,27,49,34,23,28.5,83,1,160
2019,5,28,3.8,35,23.8,29.5,80,2,140
2019,5,29,0.4,34,24.1,29.1,88,2,160
2019,5,30,0,34.1,24.8,29.6,79,3,90
2019,5,31,0,35.4,25,30.2,74,2,90
2019,6,1,0,35.5,24.2,29.9,74,3,70
2019,6,2,0,35.3,24.7,30,78,2,110
2019,6,3,0,36,25.7,30.9,77,2,90
2019,6,4,0,35.5,25.5,30.5,71,2,90
2019,6,5,0,36,25.5,30.8,72,2,90
2019,6,6,0,35.6,26,30.8,69,4,70
2019,6,7,0,35.5,25,30.2,67,3,70
2019,6,8,0,36,24.8,30.4,74,2,110
2019,6,9,0,37,26,31.5,74,2,40
2019,6,10,12.6,35.3,25.1,30.2,85,1,90
2019,6,11,14.6,34.3,25,29.6,94,1,90
2019,6,12,62.5,34,24,29,83,2,20
2019,6,13,8.4,32.5,24.4,28.4,89,2,180
2019,6,14,10.8,33.7,25,29.4,91,2,110
2019,6,15,2.4,31.6,24.3,28,86,2,270
2019,6,16,0,33.7,25.8,29.8,79,2,70
2019,6,17,0,35.5,25.4,30.4,76,3,90
2019,6,18,0,35.2,25.3,30.2,79,2,90
2019,6,19,0,33.8,25.8,29.8,78,2,90
2019,6,20,0,36.2,26,31.1,73,1,90
2019,6,21,-1,36.5,25.5,31,76,1,180
2019,6,22,30.6,35.8,25.6,30.7,79,1,160
2019,6,23,0.2,36,25.5,30.8,79,2,290
2019,6,24,64.2,35,23.5,29.2,81,1,140
2019,6,25,12.2,33.5,24.5,29,84,1,320
2019,6,26,0,33.5,24.6,29.1,87,1,20
2019,6,27,2.2,31,24.8,27.9,94,1,120
2019,6,28,4.4,32,24.2,28.1,91,2,180
2019,6,29,1.4,31,24.8,27.9,92,2,180
2019,6,30,4.7,32.6,25.2,28.9,89,3,160
2019,7,1,16.2,29,24,26.5,93,4,160
2019,7,2,1.4,31.3,24.4,27.9,82,3,180
2019,7,3,0,34.4,24.4,29.4,75,3,160
2019,7,4,0,34.4,25.3,29.9,79,1,180
2019,7,5,14.6,34.3,24.7,29.5,85,1,180
2019,7,6,0,33.7,25,29.4,80,1,180
2019,7,7,9.2,34.5,24.8,29.6,82,1,240
2019,7,8,7.8,37.5,24.6,29.5,80,2,90
2019,7,9,49.4,33.5,23.9,28.8,80,2,40
2019,7,10,3.2,33.3,24.4,28.8,88,1,340
2019,7,11,-1,35.2,24.8,30,79,3,270
2019,7,12,0,34.1,24.9,29.5,83,1,180
2019,7,13,0,33.6,25.7,29.6,81,1,270
2019,7,14,19.8,34.5,24,29.2,82,1,340
2019,7,15,0.8,31,24.8,27.9,87,2,180
2019,7,16,41.4,28.2,23,25.6,94,2,270
2019,7,17,4.4,29.1,23.5,26.6,91,2,180
2019,7,18,0.6,31.8,24.6,28.2,87,3,180
2019,7,19,1,32.8,24.8,28.8,89,2,180
2019,7,20,4.6,32.4,25,28.7,88,1,180
2019,7,21,0.6,32,24.2,28.1,88,1,180
2019,7,22,6,32,24.5,29.1,88,1,340
2019,7,23,0,32,25,28.5,89,1,140
2019,7,24,0,33.1,24.8,29,81,2,270
2019,7,25,69.6,34,23.9,28.9,83,3,180
2019,7,26,0.6,32,24.5,28.2,90,1,320
2019,7,27,39.6,33.3,23.5,28.4,86,1,360
2019,7,28,1.6,31,23.9,27.4,86,2,180
2019,7,29,6.8,29.7,23.5,26.6,94,2,90
2019,7,30,3.2,29.5,23,26.2,82,2,90
2019,7,31,9.4,31,23,27,88,3,90
2019,8,1,37.6,29.6,23.6,26.6,93,1,40
2019,8,2,41,29.4,24,26.7,94,1,180
2019,8,3,-1,29.6,23.5,26.6,93,2,180
2019,8,4,24,31,24.5,27.8,92,2,90
2019,8,5,7.6,32,24.1,28.1,90,1,90
2019,8,6,47.2,31.4,24.4,27.9,93,1,90
2019,8,7,5.8,30.3,24.6,27.5,93,2,160
2019,8,8,28.6,30.4,23.8,27.1,94,3,180
2019,8,9,10,29.5,25,27.2,93,2,180
2019,8,10,4.2,30.6,25,27.8,95,2,180
2019,8,11,11.8,32.5,25,28.8,92,1,250
2019,8,12,4.4,32.3,25,28.6,91,1,270
2019,8,13,108,31,24.9,27.9,95,1,180
2019,8,14,15.6,32,23,27.5,90,1,270
2019,8,15,5.8,32,24.8,28.4,92,1,180
2019,8,16,1.4,33.2,25,29,90,2,180
2019,8,17,0,33.6,24.2,28.9,90,1,180
2019,8,18,0,33.6,24.1,28.9,86,1,270
2019,8,19,0,33,24.5,28.8,85,1,180
2019,8,20,0,33,24.2,28.6,82,1,140
2019,8,21,6,33.2,23.7,28.5,92,1,180
2019,8,22,0,32.3,23.9,28.1,82,1,270
2019,8,23,51.5,31,23.5,27.1,91,1,270
2019,8,24,12.8,30,23.5,26.8,95,1,180
2019,8,25,3.8,32.2,22.7,27.5,87,2,180
2019,8,26,19.8,33,23.6,28.3,87,2,270
2019,8,27,7.1,27.5,23.5,25.5,96,1,180
2019,8,28,2.8,30.5,23.5,27,87,2,90
2019,8,29,3,30,23.4,26.5,91,1,90
2019,8,30,2.4,31.7,23.6,27.6,88,1,270
2019,8,31,67.9,29.7,23,26.4,92,2,270
2019,9,1,6.2,31.7,23.6,27.6,86,2,180
2019,9,2,2,30.7,23.2,26.9,89,2,160
2019,9,3,2.6,28.3,24,26.1,93,2,70
2019,9,4,6.2,33.5,24,28.8,84,1,180
2019,9,5,1.3,32.5,23.5,28,88,1,180
2019,9,6,0.6,33,25,29,92,1,180
2019,9,7,0,29.7,25.1,27.4,93,1,180
2019,9,8,3,31.2,23.2,27.2,94,1,180
2019,9,9,20.4,27.4,22.5,24.9,95,1,180
2019,9,10,3,29,22.2,25.6,88,2,270
2019,9,11,2.8,32.8,23.6,28.2,86,1,270
2019,9,12,23.6,27,22.5,24.8,96,1,160
2019,9,13,16.4,33,24.5,28.8,88,1,140
2019,9,14,0,32.2,23.7,28,88,1,180
2019,9,15,3.6,30.5,24.2,27.4,91,1,180
2019,9,16,4,31.7,24.4,28,91,1,180
2019,9,17,52.4,30,23,26.5,94,4,70
2019,9,18,62.2,26.4,23.4,24.9,97,2,180
2019,9,19,11.2,29.2,23.4,26.3,93,1,180
2019,9,20,6.5,29.5,21.5,26.5,94,1,180
2019,9,21,0,30.5,21.5,26,90,1,270
2019,9,22,0,31.6,23.6,27.6,89,1,160
2019,9,23,0,33.4,24.6,29,85,1,160
2019,9,24,0,33.8,24.5,29.1,82,4,70
2019,9,25,2.2,33,23.5,28.2,85,1,40
2019,9,26,0,33.5,24.4,28.9,79,1,90
2019,9,27,0,33.7,24.4,29.1,83,2,160
2019,9,28,0,34.1,25.1,29.6,81,2,320
2019,9,29,0,33.1,24.5,28.8,86,2,180
2019,9,30,123,32.2,23.2,27.7,92,1,180
2019,10,1,0,33,23.7,28.4,86,1,90
2019,10,2,52.5,33.5,20.5,27,86,1,180
2019,10,3,20.4,32.8,21.8,27.3,83,1,90
2019,10,4,10.2,33,21.9,27.4,84,1,90
2019,10,5,0,32.9,23.7,28.3,83,1,70
2019,10,6,1.4,32,23,27.5,84,3,90
2019,10,7,0,33.2,22.5,27.9,72,1,90
2019,10,8,0,33.5,24.2,28.9,79,1,90
2019,10,9,0,31.7,23.1,27.4,82,1,90
2019,10,10,32.2,34,22.5,28.2,78,1,360
2019,10,11,0,33,22.5,27.8,80,1,90
2019,10,12,0,33.6,22.6,28.1,72,2,70
2019,10,13,0,33.6,20.6,27.1,71,3,40
2019,10,14,0,32.5,24.5,28.5,71,3,90
2019,10,15,0,34,24,29,77,1,90
2019,10,16,0,33.4,24.3,28.9,75,1,90
2019,10,17,0,34.2,23.7,29,75,1,90
2019,10,18,0,35.2,22.8,29,72,1,40
2019,10,19,4.2,34,23.4,28.7,88,1,90
2019,10,20,0,35.3,23.5,29.4,74,1,140
2019,10,21,0,34.5,24,29.2,76,2,90
2019,10,22,0.2,35,23.5,29.2,76,2,90
2019,10,23,0,34.9,23.5,29.2,75,1,90
2019,10,24,0,34.4,23.9,29.1,77,1,70
2019,10,25,0,32.8,23.8,28.3,76,2,90
2019,10,26,0,35,23.5,29.2,67,2,40
2019,10,27,0,36,24.8,30.4,70,2,70
2019,10,28,3.4,32.4,24.2,28.3,71,4,70
2019,10,29,0.8,29.4,23.9,26.6,85,3,40
2019,10,30,-1,33,24,28.5,75,3,70
2019,10,31,0,35,24.5,29.8,71,2,70
2019,11,1,4.6,33.3,22.2,27.8,74,1,40
2019,11,2,1.6,32.5,23.6,28.1,82,1,40
2019,11,3,0,33.6,24.5,29.1,80,2,90
2019,11,4,45,32.5,24,28.2,85,2,40
2019,11,5,17.5,30,23.5,26.8,92,1,70
2019,11,6,7,32,23.5,27.8,90,3,40
2019,11,7,1.8,32.8,22.6,27.7,80,3,90
2019,11,8,0,34,23.6,28.8,81,3,180
2019,11,9,24.6,32,22.5,27.2,87,1,90
2019,11,10,0,26.7,22.8,24.8,90,1,40
2019,11,11,2.4,32,22.5,27.2,88,2,360
2019,11,12,0,31.8,23.5,27.6,77,3,40
2019,11,13,0,31.2,24.6,27.9,66,3,40
