YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,0,32,21,26.5,80,2,40
2011,1,2,0,31.5,19.9,25.7,78,2,40
2011,1,3,0,32,19.5,25.8,81,1,40
2011,1,4,0,31.3,18,24.7,97,1,40
2011,1,5,0,32.1,23,27.6,80,1,40
2011,1,6,0,32,20.2,26.1,84,1,360
2011,1,7,0,33.4,20,26.7,86,1,40
2011,1,8,0,34,20,27,83,1,20
2011,1,9,34.2,30.9,22,26.5,92,1,40
2011,1,10,0,29.8,21.8,25.8,86,1,40
2011,1,11,0,30,21.7,25.9,97,1,20
2011,1,12,0,29.9,23,26.5,92,1,40
2011,1,13,0,32.7,21.8,27.3,95,1,40
2011,1,14,0,33,23,28,95,1,90
2011,1,15,1.8,32,22,27,94,1,340
2011,1,16,0,28.3,19.5,23.9,83,2,40
2011,1,17,0,28,20,24,77,3,40
2011,1,18,0,31,20,25.5,93,1,20
2011,1,19,0,31.4,23,27.2,87,1,140
2011,1,20,0,31,22.8,26.9,89,1,90
2011,1,21,0,32,23,27.5,96,1,340
2011,1,22,0,33.8,23.5,28.6,88,1,70
2011,1,23,0,33.8,23.5,28.6,85,1,40
2011,1,24,0.4,32,21.5,26.8,87,1,40
2011,1,25,0,32,21,26.5,93,1,40
2011,1,26,0,31.8,22,26.9,81,2,40
2011,1,27,0,32.3,20.5,26.4,76,3,40
2011,1,28,0,32.2,20.7,26.5,93,1,40
2011,1,29,0,33,19.8,26.4,91,2,40
2011,1,30,0,32.7,21.5,27.1,80,2,40
2011,1,31,0,31.7,22,26.9,80,4,90
2011,2,1,0,31,20.5,25.8,81,3,40
2011,2,2,0,30.8,18,24.4,74,2,40
2011,2,3,0,30.8,20.5,25.7,78,1,70
2011,2,4,0,30.7,20.5,25.6,95,1,360
2011,2,5,0,32,22,27,85,1,40
2011,2,6,0,33.1,23.3,28.2,84,1,270
2011,2,7,0,31,22,26.5,90,1,40
2011,2,8,0.4,33.7,22.7,28.2,93,1,340
2011,2,9,0,34.8,24,29.4,85,1,140
2011,2,10,0,34,23.2,28.6,86,1,320
2011,2,11,0,33,23.5,28.3,94,1,340
2011,2,12,0,29.1,21,25,83,1,40
2011,2,13,0,30.8,21,25.9,85,1,270
2011,2,14,0,32.7,22.5,27.6,84,1,90
2011,2,15,0,33,20.4,26.7,87,1,90
2011,2,16,0,32.6,21,26.8,89,1,200
2011,2,17,0,33.6,21.5,27.6,86,1,360
2011,2,18,0,34.6,21,27.8,94,1,180
2011,2,19,0,35,20,27.5,91,1,180
2011,2,20,0,35.8,20.8,28.3,82,1,340
2011,2,21,0,34.2,21,27.6,88,1,140
2011,2,22,0,32.7,20.4,26.5,93,1,90
2011,2,23,0,32.2,20,26.1,79,1,140
2011,2,24,0,31.5,19.8,25.7,80,1,40
2011,2,25,0,33,19.4,26.2,93,1,360
2011,2,26,0,32.8,19.5,26.1,71,1,40
2011,2,27,0,32.4,22,27.2,78,1,360
2011,2,28,0,33,21.3,27.2,81,1,360
2011,3,1,9.4,34.4,23,28.7,91,1,360
2011,3,2,0,31.5,22.3,26.9,87,1,320
2011,3,3,0,32,23,27.5,86,1,140
2011,3,4,0,33,22,27.5,95,1,90
2011,3,5,4.4,30.7,23.5,27.1,90,1,40
2011,3,6,1,31.9,22.5,27.2,89,1,40
2011,3,7,0.2,34.2,23.5,28.9,89,1,270
2011,3,8,0,33.5,23,28.3,84,1,40
2011,3,9,0,33,21.3,27.2,84,2,20
2011,3,10,0,34,22,28,78,2,40
2011,3,11,0,34.5,22.4,28.5,85,1,60
2011,3,12,0,33.4,20,26.7,87,1,180
2011,3,13,0,34.9,22.7,28.8,78,1,140
2011,3,14,0,33.5,22.5,28,82,1,340
2011,3,15,0,34,22.3,28.2,92,1,180
2011,3,16,0,34,23,28.5,76,1,40
2011,3,17,0,33,23,28,74,1,20
2011,3,18,0,32.7,21,26.9,85,1,40
2011,3,19,0,33.4,23,28.2,81,1,360
2011,3,20,0,34.9,22.8,28.9,81,1,140
2011,3,21,0,34.7,23.5,29.1,85,1,140
2011,3,22,0,36.2,22.8,29.5,92,1,140
2011,3,23,0,36,23,29.5,74,1,40
2011,3,24,0,34.5,24,29.3,75,1,40
2011,3,25,0,34,20.5,27.3,92,2,40
2011,3,26,0,33.5,22,27.8,83,1,70
2011,3,27,0,34.3,23,28.6,80,1,40
2011,3,28,4.6,33,23,28,78,2,40
2011,3,29,0,33.8,22.8,28.3,92,1,40
2011,3,30,0,34.2,23,28.6,79,2,40
2011,3,31,0,34.8,22,28.4,79,1,40
2011,4,1,0,32.2,20.3,26.3,95,1,90
2011,4,2,0,34.2,22,28.1,94,1,140
2011,4,3,0,35.8,24.5,30.1,73,1,290
2011,4,4,0,34.2,22.7,28.5,79,1,180
2011,4,5,0,34.2,21,27.6,92,1,90
2011,4,6,0,34,21.5,27.8,77,1,40
2011,4,7,0,33.3,21.8,27.5,80,1,90
2011,4,8,0,35,20,27.5,91,1,90
2011,4,9,0,33.2,22.5,27.9,79,2,40
2011,4,10,0,35.6,22.2,28.9,74,1,360
2011,4,11,0,35,22,28.5,74,1,140
2011,4,12,0,35,20.5,27.8,73,1,90
2011,4,13,0,35.8,21,28.4,74,1,140
2011,4,14,0,35.9,22.4,29.2,75,1,140
2011,4,15,0,36.7,21,28.9,86,1,180
2011,4,16,0,36.7,23,29.9,74,1,320
2011,4,17,0,35.7,23.5,29.6,77,1,320
2011,4,18,0,36.8,24.3,30.5,74,2,340
2011,4,19,8.8,37,22.8,29.9,91,1,90
2011,4,20,0,33.8,23,28.4,82,1,40
2011,4,21,0,33.6,23,28.3,78,1,360
2011,4,22,0,36,22.8,29.4,92,1,90
2011,4,23,0,37.2,22.3,29.8,92,1,160
2011,4,24,0,36,23.2,29.6,76,1,140
2011,4,25,0,36.3,24,30.1,74,2,110
2011,4,26,0,37.7,25,31.4,93,1,90
2011,4,27,0,37,25.5,31.3,73,1,320
2011,4,28,0,37.3,24.6,31,81,1,40
2011,4,29,0,35.2,24.5,29.9,94,0,0
2011,4,30,0,35.8,23.5,29.6,79,1,320
2011,5,1,0,38,24,31,72,1,170
2011,5,2,0,37.5,24.8,31.2,76,1,270
2011,5,3,0,39.2,24,31.6,87,1,90
2011,5,4,0,37,25.1,31,78,1,180
2011,5,5,0,38.5,25.3,31.9,86,1,250
2011,5,6,0,37,24.3,30.7,81,1,90
2011,5,7,0,38.2,25.5,31.9,80,1,360
2011,5,8,4.2,30.5,24.5,27.5,93,1,360
2011,5,9,62,26.6,20.5,23.5,96,3,160
2011,5,10,19,32.2,23.5,27.9,92,1,360
2011,5,11,0,35,25.3,30.2,84,1,270
2011,5,12,1.6,35,25.8,30.4,88,1,20
2011,5,13,0,36.3,24.3,30.3,82,1,160
2011,5,14,0,36.2,24,30.1,93,1,90
2011,5,15,0,36.2,24.5,30.4,78,1,320
2011,5,16,0,36.4,26,31.2,72,1,160
2011,5,17,0,37.2,25,31.1,90,1,270
2011,5,18,27.4,36.9,24.8,30.9,80,1,180
2011,5,19,0,35.4,25,30.2,93,0,0
2011,5,20,0,35.2,24.5,29.9,94,1,300
2011,5,21,33.6,35.4,25,30.2,80,1,240
2011,5,22,54.2,36,23.8,29.9,87,1,80
2011,5,23,14.3,35.2,24,29.6,86,1,250
2011,5,24,4,34.2,24.8,29.5,91,1,340
2011,5,25,33.2,33.3,24.5,28.9,89,1,340
2011,5,26,11.6,34.7,25.5,30.1,87,1,270
2011,5,27,20.2,31,25.5,28.3,97,1,280
2011,5,28,0,32.5,25,28.8,95,1,200
2011,5,29,10.6,33,24,28.5,91,1,220
2011,5,30,0,33.8,26,29.9,91,1,180
2011,5,31,0,34.2,24.8,29.5,89,1,180
2011,6,1,0,35.2,26,30.6,81,1,140
2011,6,2,0,35.3,26,30.6,81,1,180
2011,6,3,0.2,36,24.8,30.4,93,1,160
2011,6,4,0,35,26,30.5,95,1,180
2011,6,5,0,36,25,30.5,81,1,140
2011,6,6,0,36.2,26,31.1,83,1,180
2011,6,7,0.6,36.7,25,30.9,94,1,180
2011,6,8,35.2,29.6,23.5,26.5,95,1,80
2011,6,9,3.8,28,24.5,26.3,96,1,110
2011,6,10,3.2,32.2,24.5,28.4,97,1,90
2011,6,11,0,34,24,29,85,1,180
2011,6,12,0,34.5,25,29.8,80,1,180
2011,6,13,0,34,26,30,84,1,140
2011,6,14,0,34,25,29.5,94,1,180
2011,6,15,0,35.1,25.5,30.3,82,1,140
2011,6,16,0,35.2,25.8,30.5,82,1,270
