YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,1,29.2,21.8,25.5,84,2,60
2011,1,2,0.6,29,22.2,25.6,87,2,90
2011,1,3,0.4,26.3,21.1,23.7,80,2,90
2011,1,4,0,28.6,22.1,25.4,86,2,90
2011,1,5,0.7,28.4,21.8,25.1,82,1,60
2011,1,6,0,28,22,25,84,3,60
2011,1,7,0,29,21.7,25.4,78,2,90
2011,1,8,0.6,27.5,21.7,24.6,85,2,60
2011,1,9,0,28.9,22.9,25.9,88,2,60
2011,1,10,8.4,28.3,21.6,25,92,2,60
2011,1,11,17.2,25.8,21,23.4,89,1,180
2011,1,12,0,27.2,22,24.6,90,1,90
2011,1,13,0,29.2,22.6,25.9,87,2,90
2011,1,14,0,29.5,22.8,26.2,87,1,180
2011,1,15,17.6,30.6,21.8,26.2,88,1,90
2011,1,16,0.5,26.5,21,23.8,85,2,60
2011,1,17,6.4,26,21.1,23.5,78,2,60
2011,1,18,6.8,25.8,21.2,23.5,92,1,90
2011,1,19,1.2,29.2,21.8,25.5,88,1,90
2011,1,20,10.6,28.5,22.1,25.3,87,1,180
2011,1,21,1,30.2,22.7,26.5,85,1,90
2011,1,22,0,30.1,22.9,26.5,88,2,60
2011,1,23,1.8,30.2,23.1,26.7,86,1,60
2011,1,24,0.8,30.3,23,26.7,85,2,90
2011,1,25,1.6,27.8,22,24.9,84,2,90
2011,1,26,0.2,29.5,23,26.3,81,1,90
2011,1,27,0.4,29.5,22.4,26,80,2,60
2011,1,28,0,29.2,22.7,26,79,2,90
2011,1,29,0,29.2,22.7,26,79,2,90
2011,1,30,6.8,28.2,21.1,24.7,83,2,90
2011,1,31,9.2,26.8,20.1,23.5,88,2,90
2011,2,1,0.2,27.2,20.6,23.9,80,2,60
2011,2,2,0.5,27.5,19.5,23.5,79,1,60
2011,2,3,2,26,20.4,23.2,84,1,110
2011,2,4,1.2,27.5,21.7,24.6,88,1,90
2011,2,5,4.8,27.5,21,24.3,86,1,60
2011,2,6,3.7,27.3,22,24.7,92,1,90
2011,2,7,11.2,28,22,25,90,1,60
2011,2,8,0,29.8,22.7,26.3,86,1,180
2011,2,9,0,29.9,23.7,26.8,88,1,40
2011,2,10,0,30,23,26.5,84,1,60
2011,2,11,0.8,31.5,23.1,27.3,85,1,60
2011,2,12,0,27,22.3,24.7,84,3,60
2011,2,13,0,27.2,22.8,25,83,1,90
2011,2,14,1.4,29.8,22.8,26.3,84,1,90
2011,2,15,0,29.5,22.3,25.9,84,2,60
2011,2,16,0,29.3,23,26.2,84,1,60
2011,2,17,0,29.6,23,26.3,84,2,90
2011,2,18,0,29.6,22.5,26,84,1,90
2011,2,19,0,29.6,23,26.3,80,1,90
2011,2,20,0,30.4,21,25.7,79,2,90
2011,2,21,0,29.7,22,25.9,75,1,90
2011,2,22,0.2,29.2,21.8,25.5,78,2,90
2011,2,23,0,29,21,25,76,2,60
2011,2,24,0,29.8,20.6,25.2,72,2,60
2011,2,25,0,30.2,21.2,25.7,74,2,60
2011,2,26,0.4,29.6,21.8,25.7,76,2,90
2011,2,27,5.6,29.2,21.6,25.4,88,2,100
2011,2,28,0.2,29.2,22.6,25.9,86,1,90
2011,3,1,13.2,29.9,22.5,26.2,89,1,60
2011,3,2,7.6,29.4,22.6,26,88,2,60
2011,3,3,2,29,22,25.5,85,1,60
2011,3,4,0.5,28.8,22.5,25.7,87,2,90
2011,3,5,6.8,28.8,22,25.4,89,2,60
2011,3,6,2,29.7,22.7,26.2,85,2,90
2011,3,7,7.8,30.5,22.6,26.5,86,1,90
2011,3,8,0,29.8,22.5,26.2,86,3,60
2011,3,9,5.8,29.8,22.5,26.2,84,2,70
2011,3,10,0,29.5,22.4,26,83,2,60
2011,3,11,0,30.1,23.3,26.7,79,1,90
2011,3,12,0.3,28.9,22.1,25.5,83,1,90
2011,3,13,0,29.2,22,25.6,84,1,90
2011,3,14,0,29.8,23,26.4,84,2,90
2011,3,15,2.4,29.5,22.7,26.1,81,2,90
2011,3,16,1.2,29.2,22.6,25.9,79,2,90
2011,3,17,0.2,30,23,26.5,77,2,60
2011,3,18,0,28.5,22.5,25.5,85,2,60
2011,3,19,0,29.5,23,26.3,84,2,90
2011,3,20,1,29.7,22,25.9,87,1,90
2011,3,21,0.2,30.8,23.2,27,86,1,90
2011,3,22,0,31.2,22.4,26.8,83,2,80
2011,3,23,0.1,29.1,23.3,26.2,81,2,90
2011,3,24,2.1,31,22.8,26.9,80,2,90
2011,3,25,0,29.5,22.5,26,82,2,60
2011,3,26,2.8,29.8,22,25.9,80,2,60
2011,3,27,5.2,27.8,22.3,25.1,89,1,160
2011,3,28,1,27.6,22.1,24.9,87,2,60
2011,3,29,0.2,28.8,23,25.9,87,2,60
2011,3,30,0.4,29.5,23.2,26.4,84,2,60
2011,3,31,0.2,29.3,23,26.2,81,2,60
2011,4,1,0,29.4,23,26.2,81,1,90
2011,4,2,0,29.6,21.6,25.6,79,2,90
2011,4,3,0,30.4,22,26.2,80,2,90
2011,4,4,0,29.8,21.8,25.8,83,2,90
2011,4,5,0,30,21,25.5,81,2,90
2011,4,6,0,30,21.3,25.7,75,2,110
2011,4,7,0,30.2,21.5,25.9,78,1,90
2011,4,8,0,30.4,21.6,26,74,1,90
2011,4,9,26.3,28,22,25,87,2,90
2011,4,10,0,29.2,21,25.1,78,1,90
2011,4,11,1.8,31,21.4,26.2,81,2,90
2011,4,12,2.4,30.4,22,26.2,85,1,120
2011,4,13,1.4,28.5,22,25.3,84,2,90
2011,4,14,0,30.3,21.8,26.1,81,2,140
2011,4,15,0,31.7,23.1,27.4,69,2,90
2011,4,16,0,31.5,23.6,27.5,78,1,90
2011,4,17,0,31.8,23.7,27.8,77,1,90
2011,4,18,0,32.2,24.2,28.2,79,1,320
2011,4,19,0,32.8,24,28.4,81,1,60
2011,4,20,0,32.5,24.2,28.4,73,2,90
2011,4,21,0.2,32.6,23.7,28.2,78,2,90
2011,4,22,0,32,23.8,27.9,77,2,90
2011,4,23,0,31.5,23,27.3,79,1,90
2011,4,24,0,31.8,23.4,27.6,77,2,60
2011,4,25,3.6,32.2,23.6,27.9,84,1,90
2011,4,26,23,29.6,23.9,26.8,85,1,90
2011,4,27,0,32.3,24,28.1,84,1,60
2011,4,28,0,33,24.2,28.6,76,2,90
2011,4,29,6.8,33.2,24.3,28.8,81,1,90
2011,4,30,0,32.2,24.8,28.5,83,1,90
2011,5,1,0,32.5,24.4,28.5,80,2,60
2011,5,2,0,33.6,24,28.8,80,1,60
2011,5,3,0,33.5,24.3,28.9,81,1,90
2011,5,4,0.4,33.1,25.4,29.3,81,2,90
2011,5,5,0,33.5,23.5,28.5,82,1,90
2011,5,6,0,31.6,23.8,27.7,81,1,90
2011,5,7,1.2,33.3,23.6,28.5,82,2,320
2011,5,8,50.6,27.2,22,24.6,88,2,270
2011,5,9,0.2,29.8,23.8,26.8,85,1,90
2011,5,10,0,30.2,24,27.1,87,1,360
2011,5,11,0,32.6,23.5,28.1,83,1,60
2011,5,12,0,32,24,28,83,1,90
2011,5,13,0,33,24.1,28.5,82,1,90
2011,5,14,0,32.8,24.8,28.8,83,2,90
2011,5,15,0,33.2,24.9,29,78,2,90
2011,5,16,0,33.1,24,28.6,80,1,60
2011,5,17,0,33.8,24,28.9,79,1,180
2011,5,18,0,33.6,23,28.3,76,1,180
2011,5,19,70.6,33.5,23.1,28.3,79,1,90
2011,5,20,0,32.3,24,28.1,81,1,90
2011,5,21,4.6,33,22.6,27.8,81,1,140
2011,5,22,1.6,32.8,23,27.9,84,1,180
2011,5,23,41.6,33.4,23.6,28.5,83,1,90
2011,5,24,3,33,23.5,28.3,82,1,300
2011,5,25,0.1,32.4,24.5,28.5,85,1,90
2011,5,26,0,32,24,28,85,2,320
2011,5,27,7,32.5,23.6,28,82,2,270
2011,5,28,0,31.8,23,27.4,86,1,300
2011,5,29,1.8,32,23.2,27.6,88,1,360
2011,5,30,7,31.6,23.4,27.5,89,1,90
2011,5,31,0,32.8,24,28.4,85,1,180
2011,6,1,0,33,24,28.5,82,1,210
2011,6,2,25,33,23.6,28.3,80,2,90
2011,6,3,5.4,33,23.9,28.5,84,1,90
2011,6,4,2.6,32.9,24.7,28.8,85,2,90
2011,6,5,16.4,32.7,23.7,28.2,82,2,90
2011,6,6,15.6,32.7,23.4,28,84,1,90
2011,6,7,24.8,33.2,23.6,28.4,86,1,300
2011,6,8,89,27.5,23,25.3,96,3,120
2011,6,9,4.3,27,23,25,93,1,140
2011,6,10,9.2,30.2,23.1,26.7,90,1,180
2011,6,11,54.4,31.2,24.1,27.7,87,2,90
2011,6,12,63.7,31.3,23.6,27.5,87,2,90
2011,6,13,9.4,29.5,23.3,26.4,88,1,140
2011,6,14,0.2,30.1,24,27,88,1,90
2011,6,15,0,32.4,24.9,28.7,84,1,90
2011,6,16,0,31.8,24,27.9,84,1,180
2011,6,17,8.8,31.5,23.4,27.5,84,2,90
