YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,2.8,-999,-999,-999,-999,5,40
2011,1,2,4.2,-999,-999,-999,-999,3,90
2011,1,3,0,-999,-999,-999,-999,3,90
2011,1,4,0,-999,-999,-999,-999,3,90
2011,1,5,0.6,-999,-999,-999,-999,3,140
2011,1,6,13.8,-999,-999,-999,-999,4,140
2011,1,7,22,-999,-999,-999,-999,5,40
2011,1,8,5,-999,-999,-999,-999,4,90
2011,1,9,7.4,-999,-999,-999,-999,4,90
2011,1,10,12.6,-999,-999,-999,-999,3,40
2011,1,11,11.6,-999,-999,-999,-999,3,140
2011,1,12,45,-999,-999,-999,-999,6,40
2011,1,13,15.2,-999,-999,-999,-999,5,40
2011,1,14,4.2,-999,-999,-999,-999,3,90
2011,1,15,37.2,-999,-999,-999,-999,5,40
2011,1,16,6.6,-999,-999,-999,-999,5,40
2011,1,17,4.8,-999,-999,-999,-999,5,70
2011,1,18,13.8,-999,-999,-999,-999,5,90
2011,1,19,11.2,-999,-999,-999,-999,5,90
2011,1,20,10.2,-999,-999,-999,-999,3,90
2011,1,21,53,-999,-999,-999,-999,5,360
2011,1,22,8.2,-999,-999,-999,-999,5,70
2011,1,23,3.4,-999,-999,-999,-999,2,90
2011,1,24,10.8,-999,-999,-999,-999,3,70
2011,1,25,3.4,-999,-999,-999,-999,5,90
2011,1,26,4.8,-999,-999,-999,-999,4,90
2011,1,27,0,-999,-999,-999,-999,4,90
2011,1,28,0,-999,-999,-999,-999,3,90
2011,1,29,25.6,-999,-999,-999,-999,5,40
2011,1,30,16.4,-999,-999,-999,-999,5,40
2011,1,31,8.4,-999,-999,-999,-999,6,90
2011,2,1,0,-999,-999,-999,-999,4,90
2011,2,2,0,-999,-999,-999,-999,4,110
2011,2,3,0,-999,-999,-999,-999,2,110
2011,2,4,0,-999,-999,-999,-999,2,90
2011,2,5,0.6,-999,-999,-999,-999,3,90
2011,2,6,0,-999,-999,-999,-999,4,90
2011,2,7,3,-999,-999,-999,-999,4,110
2011,2,8,0,-999,-999,-999,-999,1,120
2011,2,9,0,-999,-999,-999,-999,2,110
2011,2,10,0,-999,-999,-999,-999,2,110
2011,2,11,1.8,-999,-999,-999,-999,3,40
2011,2,12,0.6,-999,-999,-999,-999,5,40
2011,2,13,0,-999,-999,-999,-999,2,140
2011,2,14,3.6,-999,-999,-999,-999,3,320
2011,2,15,0,-999,-999,-999,-999,5,70
2011,2,16,0,-999,-999,-999,-999,3,140
2011,2,17,0,-999,-999,-999,-999,1,180
2011,2,18,0,-999,-999,-999,-999,1,180
2011,2,19,0.6,-999,-999,-999,-999,1,140
2011,2,20,0,-999,-999,-999,-999,1,40
2011,2,21,1,-999,-999,-999,-999,1,110
2011,2,22,0,-999,-999,-999,-999,3,90
2011,2,23,0,-999,-999,-999,-999,3,90
2011,2,24,0,-999,-999,-999,-999,2,140
2011,2,25,0,-999,-999,-999,-999,4,140
2011,2,26,0,-999,-999,-999,-999,4,110
2011,2,27,0.2,-999,-999,-999,-999,4,110
2011,2,28,0,-999,-999,-999,-999,4,140
2011,3,1,0,-999,-999,-999,-999,4,120
2011,3,2,36.4,-999,-999,-999,-999,4,90
2011,3,3,22.8,-999,-999,-999,-999,4,70
2011,3,4,24.8,-999,-999,-999,-999,4,70
2011,3,5,1.2,-999,-999,-999,-999,5,70
2011,3,6,0.6,-999,-999,-999,-999,4,120
2011,3,7,7.8,-999,-999,-999,-999,4,40
2011,3,8,1,-999,-999,-999,-999,5,70
2011,3,9,1,-999,-999,-999,-999,5,90
2011,3,10,0,-999,-999,-999,-999,4,90
2011,3,11,0,-999,-999,-999,-999,4,110
2011,3,12,0,-999,-999,-999,-999,4,90
2011,3,13,0,-999,-999,-999,-999,4,90
2011,3,14,0,-999,-999,-999,-999,4,120
2011,3,15,5,-999,-999,-999,-999,4,90
2011,3,16,17.8,-999,-999,-999,-999,6,40
2011,3,17,1.2,-999,-999,-999,-999,6,40
2011,3,18,0,-999,-999,-999,-999,6,90
2011,3,19,0,-999,-999,-999,-999,6,110
2011,3,20,0,-999,-999,-999,-999,5,110
2011,3,21,0,-999,-999,-999,-999,1,140
2011,3,22,11.4,-999,-999,-999,-999,5,110
2011,3,23,3.4,-999,-999,-999,-999,5,40
2011,3,24,5.6,-999,-999,-999,-999,4,70
2011,3,25,18,-999,-999,-999,-999,5,70
2011,3,26,0.6,-999,-999,-999,-999,4,90
2011,3,27,13,-999,-999,-999,-999,4,90
2011,3,28,19.2,-999,-999,-999,-999,5,40
2011,3,29,8,-999,-999,-999,-999,5,70
2011,3,30,0,-999,-999,-999,-999,5,70
2011,3,31,0,-999,-999,-999,-999,4,90
2011,4,1,0,-999,-999,-999,-999,4,90
2011,4,2,0,-999,-999,-999,-999,3,70
2011,4,3,0,-999,-999,-999,-999,2,90
2011,4,4,0.2,-999,-999,-999,-999,2,70
2011,4,5,0,-999,-999,-999,-999,3,70
2011,4,6,0,-999,-999,-999,-999,3,70
2011,4,7,0,-999,-999,-999,-999,2,110
2011,4,8,0,-999,-999,-999,-999,4,90
2011,4,9,0,-999,-999,-999,-999,3,110
2011,4,10,0,-999,-999,-999,-999,3,90
2011,4,11,0,-999,-999,-999,-999,2,90
2011,4,12,0.6,-999,-999,-999,-999,5,90
2011,4,13,0,-999,-999,-999,-999,4,90
2011,4,14,0,-999,-999,-999,-999,3,90
2011,4,15,0,-999,-999,-999,-999,1,140
2011,4,16,0,-999,-999,-999,-999,1,270
2011,4,17,0,-999,-999,-999,-999,1,70
2011,4,18,1.2,-999,-999,-999,-999,2,40
2011,4,19,5.8,-999,-999,-999,-999,4,40
2011,4,20,0,-999,-999,-999,-999,5,70
2011,4,21,0,-999,-999,-999,-999,5,90
2011,4,22,0,-999,-999,-999,-999,1,120
2011,4,23,0,-999,-999,-999,-999,2,40
2011,4,24,0,-999,-999,-999,-999,4,70
2011,4,25,0,-999,-999,-999,-999,4,90
2011,4,26,0,-999,-999,-999,-999,1,90
2011,4,27,0,-999,-999,-999,-999,2,270
2011,4,28,0,-999,-999,-999,-999,1,90
2011,4,29,0,-999,-999,-999,-999,5,90
2011,4,30,0,-999,-999,-999,-999,2,90
2011,5,1,0,-999,-999,-999,-999,1,110
2011,5,2,0,-999,-999,-999,-999,3,90
2011,5,3,0,-999,-999,-999,-999,1,40
2011,5,4,0,-999,-999,-999,-999,3,90
2011,5,5,0,-999,-999,-999,-999,2,90
2011,5,6,0,-999,-999,-999,-999,2,90
2011,5,7,7,-999,-999,-999,-999,3,90
2011,5,8,3.6,-999,-999,-999,-999,4,70
2011,5,9,2,-999,-999,-999,-999,5,90
2011,5,10,4.2,-999,-999,-999,-999,3,270
2011,5,11,0,-999,-999,-999,-999,1,220
2011,5,12,0,-999,-999,-999,-999,1,140
2011,5,13,0,-999,-999,-999,-999,1,180
2011,5,14,0,-999,-999,-999,-999,3,90
2011,5,15,0,-999,-999,-999,-999,2,90
2011,5,16,0,-999,-999,-999,-999,1,270
2011,5,17,0,-999,-999,-999,-999,1,270
2011,5,18,5.2,-999,-999,-999,-999,1,160
2011,5,19,0,-999,-999,-999,-999,1,140
2011,5,20,0,-999,-999,-999,-999,1,140
2011,5,21,0,-999,-999,-999,-999,1,70
2011,5,22,0,-999,-999,-999,-999,1,70
2011,5,23,0,-999,-999,-999,-999,1,180
2011,5,24,0,-999,-999,-999,-999,1,210
2011,5,25,0,-999,-999,-999,-999,1,160
2011,5,26,0.2,-999,-999,-999,-999,4,70
2011,5,27,55.6,-999,-999,-999,-999,6,320
2011,5,28,0,-999,-999,-999,-999,3,270
2011,5,29,2.4,-999,-999,-999,-999,3,90
2011,5,30,24,-999,-999,-999,-999,2,70
2011,5,31,0,-999,-999,-999,-999,1,90
2011,6,1,0,-999,-999,-999,-999,1,140
2011,6,2,0,-999,-999,-999,-999,1,180
2011,6,3,0,-999,-999,-999,-999,1,180
2011,6,4,0,-999,-999,-999,-999,1,140
2011,6,5,0,-999,-999,-999,-999,1,180
2011,6,6,0,-999,-999,-999,-999,1,160
2011,6,7,0,-999,-999,-999,-999,1,180
2011,6,8,0.4,-999,-999,-999,-999,2,180
2011,6,9,0,-999,-999,-999,-999,2,180
2011,6,10,0,-999,-999,-999,-999,1,180
2011,6,11,0,-999,-999,-999,-999,0,0
2011,6,12,0,-999,-999,-999,-999,1,90
2011,6,13,0,-999,-999,-999,-999,2,140
2011,6,14,0,-999,-999,-999,-999,1,160
2011,6,15,0,-999,-999,-999,-999,2,140
2011,6,16,0,-999,-999,-999,-999,4,90
2011,6,17,0,-999,-999,-999,-999,3,110
2011,6,18,0,-999,-999,-999,-999,3,180
2011,6,19,23.6,-999,-999,-999,-999,1,70
2011,6,20,1,-999,-999,-999,-999,2,250
2011,6,21,0,-999,-999,-999,-999,3,120
2011,6,22,0,-999,-999,-999,-999,3,90
2011,6,23,24.4,-999,-999,-999,-999,2,320
2011,6,24,18.6,-999,-999,-999,-999,5,220
2011,6,25,0,-999,-999,-999,-999,4,220
2011,6,26,25.6,-999,-999,-999,-999,4,250
2011,6,27,1,-999,-999,-999,-999,2,180
2011,6,28,0,-999,-999,-999,-999,2,360
2011,6,29,0.2,-999,-999,-999,-999,1,120
2011,6,30,0,-999,-999,-999,-999,1,90
2011,7,1,1,-999,-999,-999,-999,2,110
2011,7,2,0,-999,-999,-999,-999,1,160
2011,7,3,0,-999,-999,-999,-999,2,90
2011,7,4,0,-999,-999,-999,-999,1,90
2011,7,5,0,-999,-999,-999,-999,3,90
2011,7,6,41.6,-999,-999,-999,-999,1,180
2011,7,7,0,-999,-999,-999,-999,8,270
2011,7,8,0.6,-999,-999,-999,-999,4,270
2011,7,9,0.6,-999,-999,-999,-999,5,270
2011,7,10,23,-999,-999,-999,-999,2,250
2011,7,11,24.2,-999,-999,-999,-999,1,180
2011,7,12,0,-999,-999,-999,-999,2,110
2011,7,13,2,-999,-999,-999,-999,1,160
2011,7,14,0,-999,-999,-999,-999,1,250
2011,7,15,0,-999,-999,-999,-999,1,180
2011,7,16,0,-999,-999,-999,-999,3,270
2011,7,17,0,-999,-999,-999,-999,6,270
