YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,188.2,25,22.6,23.8,98,0,0
2011,1,2,1,26.5,23.1,24.8,93,1,90
2011,1,3,0,30,21.4,25.7,81,1,40
2011,1,4,0,28.5,23.6,26,84,1,40
2011,1,5,104.5,28,23,25.5,92,1,40
2011,1,6,13.5,25.5,22.8,24.2,96,0,0
2011,1,7,189.4,27,23.2,25.1,94,1,30
2011,1,8,14.7,28.5,23.8,26.2,90,1,40
2011,1,9,26.4,33.2,24.5,28.9,86,1,30
2011,1,10,90.6,27.5,24.8,26.2,94,1,40
2011,1,11,160.4,28,24,26,94,1,40
2011,1,12,0,28,23.5,25.8,92,1,40
2011,1,13,35.4,28.5,23.8,26.2,95,1,320
2011,1,14,0,31.5,24.2,27.9,88,1,220
2011,1,15,4,31.2,25.6,28.4,87,1,320
2011,1,16,19.7,30.6,23,26.8,88,2,340
2011,1,17,8.7,26.7,23,24.9,89,1,40
2011,1,18,49.6,25,23,24,96,0,0
2011,1,19,17.4,30,23,26.5,96,1,220
2011,1,20,22.4,29.6,23.6,26.6,91,1,180
2011,1,21,0.1,31.6,24.4,28,86,1,180
2011,1,22,14.1,31.4,24.2,27.8,86,1,40
2011,1,23,0,31.5,25.5,28.5,86,1,90
2011,1,24,0,31.7,24,27.9,84,2,90
2011,1,25,34.8,30.5,23.8,27.2,87,1,320
2011,1,26,0,31,24,27.5,82,1,40
2011,1,27,8.1,28,24,26,90,1,40
2011,1,28,0,30.5,22.5,26.5,81,2,40
2011,1,29,0,31.6,22.2,26.9,76,1,40
2011,1,30,0,30.5,23.4,27,79,2,40
2011,1,31,1.2,28.5,24,26.3,85,1,40
2011,2,1,6.6,27,22.4,24.7,91,2,40
2011,2,2,6.3,27,23,25,91,1,310
2011,2,3,2.5,31,24.2,27.6,88,1,40
2011,2,4,0,31.1,24.5,27.8,91,1,270
2011,2,5,0,31.2,24.3,27.8,88,1,220
2011,2,6,1.2,30,24.5,27.3,86,1,190
2011,2,7,0,31.5,24.4,28,86,1,270
2011,2,8,0,31.6,25,28.3,83,2,140
2011,2,9,5.3,32.5,24.6,28.5,84,1,220
2011,2,10,0,33,24.6,28.8,82,1,220
2011,2,11,21.3,33.5,24,28.8,84,1,220
2011,2,12,13.5,29.5,24.4,27,93,1,40
2011,2,13,0.8,30,23,26.5,84,1,40
2011,2,14,0,30,24,27,82,2,40
2011,2,15,3.7,32,24.2,28.1,84,1,40
2011,2,16,2.3,32,23.5,27.8,85,1,40
2011,2,17,0,33,24.5,28.8,83,1,40
2011,2,18,18.6,28.6,23.3,26,90,1,40
2011,2,19,0,30.3,24.2,27.3,87,1,40
2011,2,20,0,32.4,21.4,26.9,85,1,40
2011,2,21,0,32,22,27,77,2,40
2011,2,22,0,33,23,28,75,2,40
2011,2,23,0,32.4,21,26.7,79,1,40
2011,2,24,1,29.5,24,26.8,81,2,220
2011,2,25,0,32,22,27,77,1,40
2011,2,26,1.8,30,23.8,26.9,86,1,40
2011,2,27,33.6,28,24.3,26.2,91,1,50
2011,2,28,16.6,26.5,23.8,25.2,93,0,0
2011,3,1,18.4,31,23.8,27.4,93,1,90
2011,3,2,0,31,24,27.5,89,1,90
2011,3,3,37.1,31,23.4,27.2,87,1,270
2011,3,4,4.2,30.5,24,27.3,87,2,270
2011,3,5,0,32.5,24.4,28.5,82,1,90
2011,3,6,22,30.6,24.2,27.4,89,1,90
2011,3,7,13.6,31.6,24,27.8,88,1,220
2011,3,8,0,32.5,23.6,28,78,2,270
2011,3,9,0.2,33.6,24.2,28.9,76,2,90
2011,3,10,29.9,30.5,24,27.3,90,1,90
2011,3,11,31.6,29.6,24,26.8,90,2,40
2011,3,12,48.9,25.9,23.8,24.9,98,1,40
2011,3,13,17.7,29.5,25,27.3,89,1,30
2011,3,14,34,29.8,23.8,26.8,94,0,0
2011,3,15,19.4,29.5,24.5,27,92,1,40
2011,3,16,123.6,27,24,25.5,95,1,40
2011,3,17,29.3,28.5,24,26.3,95,0,0
2011,3,18,112.7,26.1,24,25,96,1,40
2011,3,19,32.1,30,23.2,26.6,91,1,40
2011,3,20,8.8,31.1,24.6,27.9,89,1,320
2011,3,21,0.2,32,24.5,28.3,88,1,320
2011,3,22,0.4,33.5,25.2,29.4,82,1,90
2011,3,23,25.8,32,23.5,27.8,90,1,40
2011,3,24,13.7,31,24.6,27.8,90,1,40
2011,3,25,1,31.6,25,28.3,82,1,90
2011,3,26,17.3,29,24.2,26.6,88,0,0
2011,3,27,17.3,30.6,24,27.3,88,0,0
2011,3,28,9.5,30.6,24.4,27.5,90,1,90
2011,3,29,46.8,31.5,24.4,28,93,1,40
2011,3,30,33.8,33.5,25,29.3,90,2,40
2011,3,31,74.3,27,24,25.5,97,0,0
2011,4,1,0,32,24,28,83,2,320
2011,4,2,2,28.5,24,26.3,90,1,320
2011,4,3,0.6,31,23,27,86,1,30
2011,4,4,0,32.2,21.8,27,84,1,320
2011,4,5,0,33.6,22.6,28.1,73,1,360
2011,4,6,0,32,22.5,27.3,76,1,220
2011,4,7,0,31.5,21.8,26.7,81,1,320
2011,4,8,0.4,30.6,21.5,26,87,1,220
2011,4,9,0.8,30.2,24.4,27.3,85,1,320
2011,4,10,0,32.6,25,28.8,80,1,40
2011,4,11,29.2,30.5,25.2,27.9,89,1,320
2011,4,12,11.6,29,24,26.5,92,1,90
2011,4,13,0.6,32,22.7,27.4,84,1,40
