YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,0,31.5,23.1,27.3,79,2,90
2011,1,2,19.6,32.8,22,27.4,97,3,270
2011,1,3,0,29.4,22.7,26,80,3,90
2011,1,4,0,33,22,27.5,76,2,90
2011,1,5,0,30,23,26.5,78,3,180
2011,1,6,0,33.1,22.9,28,75,3,270
2011,1,7,0,33.4,23,28.2,75,2,220
2011,1,8,0,34.3,23.2,28.8,72,2,270
2011,1,9,0,34.4,23.4,28.9,75,2,90
2011,1,10,0,34.3,23.5,28.9,75,2,180
2011,1,11,26.3,34.6,22.2,28.4,74,3,270
2011,1,12,9.8,34.2,22.6,28.4,77,3,150
2011,1,13,1.6,33,22.8,27.9,77,1,330
2011,1,14,5.2,32,23,27.5,80,2,180
2011,1,15,3.1,31.9,22.7,27.3,79,2,270
2011,1,16,0,32.5,23,27.8,77,2,90
2011,1,17,25,32.8,21.6,27.2,78,3,90
2011,1,18,0,30.3,22,26.2,80,2,120
2011,1,19,5.2,30.1,21.8,26,80,2,330
2011,1,20,0,32.8,22.3,27.5,77,2,360
2011,1,21,8.8,33,21.3,27.2,76,2,330
2011,1,22,3.8,33.3,21,27.1,75,2,180
2011,1,23,0,31.2,22.6,26.9,77,2,90
2011,1,24,6,33,22.3,27.7,78,2,60
2011,1,25,0,32.1,23.3,27.7,77,3,120
2011,1,26,0,32.4,23,27.7,77,2,90
2011,1,27,8.5,32,22.8,27.4,77,2,90
2011,1,28,0,31.8,22.7,27.3,77,4,180
2011,1,29,0,31.6,22.8,27.2,77,3,110
2011,1,30,0,30.8,22.3,26.6,79,3,180
2011,1,31,8,29.7,22.1,25.9,83,2,60
2011,2,1,1.4,29.4,22.2,25.8,81,1,90
2011,2,2,0,32.7,23.4,28,77,3,90
2011,2,3,0.8,34.9,22.4,28.7,74,2,180
2011,2,4,24.6,33.7,22.1,27.9,77,2,90
2011,2,5,0,33.5,22.6,28,76,3,270
2011,2,6,0,33.7,22.8,28.3,76,2,300
2011,2,7,20.8,33.9,22.4,28.2,77,2,180
2011,2,8,0,33.2,23.3,28.3,75,2,180
2011,2,9,0,34,23.5,28.8,75,2,270
2011,2,10,0,34.5,23.1,28.8,74,2,50
2011,2,11,44.6,34.4,23.3,28.9,74,4,270
2011,2,12,14.4,34.5,23.1,28.8,76,3,250
2011,2,13,31.1,33.8,22.2,28,77,2,30
2011,2,14,8.3,32.7,22.5,27.6,77,2,60
2011,2,15,10.1,33.7,22,27.9,75,3,180
2011,2,16,17.6,33,22.4,27.7,77,3,150
2011,2,17,1.4,29.2,21.2,25.2,80,3,180
2011,2,18,1.3,29.4,22.9,26.1,79,3,90
2011,2,19,0,33.7,23.3,28.5,76,3,270
2011,2,20,2.4,33.9,22.5,28.2,77,3,90
