YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,0,31.4,23.8,27.6,62,6,70
2011,1,2,0,31,23.7,27.4,62,6,60
2011,1,3,0,30.5,21.5,26,63,6,80
2011,1,4,0,30,21.8,25.9,64,5,70
2011,1,5,0,31,22,26.5,61,5,50
2011,1,6,0,31.6,21.3,26.5,67,3,70
2011,1,7,0,31.7,21.7,26.7,61,5,60
2011,1,8,0,32.3,22.8,27.5,61,5,70
2011,1,9,0,30.8,24.2,27.5,73,2,60
2011,1,10,0,31,22.9,27,66,5,50
2011,1,11,0,30.1,23.1,26.6,66,4,70
2011,1,12,0,31,22.5,26.8,71,2,60
2011,1,13,0,23.5,22,22.8,67,4,70
2011,1,14,0,32.6,22.8,27.7,73,2,60
2011,1,15,0.2,32,22.7,27.4,79,3,70
2011,1,16,0,28.4,22.8,25.6,66,6,60
2011,1,17,0,26.3,22.4,24.4,60,8,60
2011,1,18,0,29.8,23.5,26.7,62,6,60
2011,1,19,0.1,30.8,22.9,26.9,70,3,60
2011,1,20,0,31.5,23.5,27.5,74,3,80
2011,1,21,1.2,31.2,24,27.6,79,2,10
2011,1,22,0,32.8,23.8,28.3,70,3,80
2011,1,23,0,32.9,23.4,28.2,66,3,90
2011,1,24,0.6,30.3,23.8,27.1,73,4,70
2011,1,25,0,31.7,24.8,28.3,61,6,70
2011,1,26,0,31.2,22.2,26.7,60,6,70
2011,1,27,0,31.1,23.5,27.3,59,6,60
2011,1,28,0,31.5,23,27.3,60,5,80
2011,1,29,0,31.5,21.8,26.7,59,5,70
2011,1,30,0,31.7,21.9,26.8,59,5,70
2011,1,31,0,30.2,22.4,26.3,62,6,70
2011,2,1,0,30.3,22,26.2,57,6,70
2011,2,2,0,29.9,20,25,55,5,70
2011,2,3,0,30.1,23.1,26.6,56,4,80
2011,2,4,0,31.3,24,27.7,63,3,60
2011,2,5,0,31,23,27,68,4,70
2011,2,6,0,32.5,23.7,28.1,64,3,80
2011,2,7,0,32.4,23.7,28.1,68,4,70
2011,2,8,0,31.4,23.6,27.5,76,2,60
2011,2,9,0,31.8,23.5,27.7,77,3,70
2011,2,10,0,31.5,23.5,27.5,79,3,230
2011,2,11,0,32.2,24.6,28.4,74,2,40
2011,2,12,0,31.6,23.1,27.4,66,5,70
2011,2,13,0,31.1,23,27,61,5,70
2011,2,14,0,33.1,24,28.6,70,2,80
2011,2,15,0,32.8,23.4,28.1,63,5,80
2011,2,16,0,32.7,22.6,27.7,63,4,80
2011,2,17,0,33.5,23,28.3,69,3,50
2011,2,18,0,34.2,23.3,28.8,63,3,80
2011,2,19,0,33.6,22,27.8,62,4,80
2011,2,20,0,33.8,22,27.9,70,3,60
2011,2,21,0,32,22.5,27.3,71,3,70
2011,2,22,0,33.2,22.2,27.7,61,3,90
2011,2,23,0,33.2,22.2,27.7,61,3,90
2011,2,24,0,31.2,20.9,26,56,6,80
2011,2,25,0,32.6,23,27.8,53,6,70
2011,2,26,0,32.2,22.3,27.3,54,5,60
2011,2,27,0,31.9,23.5,27.7,58,4,60
2011,2,28,0,32,23.8,27.9,61,4,70
2011,3,1,0.4,34.1,24,29.1,61,5,80
2011,3,2,0,31.2,23,27.1,68,4,90
2011,3,3,0,33.2,24.6,28.9,60,4,60
2011,3,4,1.8,33,23.8,28.4,60,4,70
2011,3,5,1.2,29,23.4,26.2,77,5,80
2011,3,6,0,34.2,24.5,29.4,65,5,80
