YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,0,30.6,25,27.8,86,2,20
2011,1,2,2.6,28.8,24.8,26.8,89,4,20
2011,1,3,0,30,24.8,27.4,89,4,40
2011,1,4,0,30.8,24.6,27.7,86,4,40
2011,1,5,0,31,25.6,28.3,84,3,40
2011,1,6,0,29.8,24.8,27.3,88,3,40
2011,1,7,0,30.6,25.2,27.9,85,3,40
2011,1,8,0,30.2,24.6,27.4,88,4,40
2011,1,9,0,31.8,25.8,28.8,84,2,40
2011,1,10,0,32,25.6,28.8,86,3,40
2011,1,11,6.2,27.8,24.4,26.1,71,4,40
2011,1,12,0,31.4,25.2,28.3,86,3,40
2011,1,13,0,31.4,25.6,28.5,86,2,40
2011,1,14,0,30.8,25.4,28.1,86,1,40
2011,1,15,0,30,24.8,27.4,88,0,0
2011,1,16,7,29.2,24.2,26.7,89,4,40
2011,1,17,0,29,24.4,26.7,90,5,40
2011,1,18,0,28.6,24.8,26.7,88,4,40
2011,1,19,0,30,25,27.5,88,1,40
2011,1,20,23.4,30,24.6,27.3,90,1,40
2011,1,21,0,32.4,25.8,29.1,82,2,40
2011,1,22,0,32.6,25.6,29.1,87,2,40
2011,1,23,0,32,25.4,28.7,82,2,40
2011,1,24,0,31.8,25.2,28.5,83,2,40
2011,1,25,0,31,24.4,27.7,85,4,40
2011,1,26,0,31,24.8,27.9,85,4,40
2011,1,27,0,28.4,24.6,26.5,89,4,40
2011,1,28,0,30.4,24.8,27.6,86,4,40
2011,1,29,0,30.6,24.4,27.5,85,4,40
2011,1,30,0,30.2,24.2,27.2,83,5,40
2011,1,31,0,30.6,24.2,27.4,84,3,40
2011,2,1,0,28.4,24,26.2,87,3,40
2011,2,2,0,28.8,23.8,26.3,86,3,40
2011,2,3,0,26.8,24.2,25.5,70,3,40
2011,2,4,0,29.4,24.8,27.1,89,4,40
2011,2,5,0,30.2,24.8,27.5,87,4,40
2011,2,6,0,31.6,25.2,28.4,84,3,40
2011,2,7,0,31.6,24.8,28.2,84,2,40
2011,2,8,0,31.6,24.6,28.1,85,2,40
2011,2,9,0,31.6,25.2,28.4,84,1,220
2011,2,10,0,32.6,25.4,29,82,1,270
2011,2,11,11,32.6,25.2,28.9,83,1,320
2011,2,12,0,31.8,25,28.4,84,2,40
2011,2,13,0,28,24.8,26.4,90,2,40
2011,2,14,0,32,25.2,28.6,83,2,40
2011,2,15,0,32,25.4,28.7,84,2,40
2011,2,16,0,31.4,25.2,28.3,86,2,40
2011,2,17,0,31.8,25.2,28.5,84,2,40
2011,2,18,0,32,25.6,28.8,83,2,40
