YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,4.6,27.8,23.7,25.8,95,5,40
2011,1,2,0.4,28.1,24.3,26.2,97,4,70
2011,1,3,0.3,28.9,24.8,26.9,96,4,90
2011,1,4,1,28.9,24,26.5,95,3,40
2011,1,5,36.4,30,24,27,96,4,90
2011,1,6,10.4,28.3,23.8,26.1,96,3,40
2011,1,7,2.4,27.1,23,25,96,5,360
2011,1,8,89.5,28.1,23,25.5,96,4,40
2011,1,9,3.4,29.6,24,26.8,97,3,90
2011,1,10,10.1,28.9,24.3,26.6,95,4,40
2011,1,11,3.6,27.8,24.8,26.3,99,3,40
2011,1,12,11.8,28.1,24.5,26.3,96,2,90
2011,1,13,40.2,28.8,24.5,26.7,97,1,90
2011,1,14,0,29.4,23.6,26.5,98,1,90
2011,1,15,80.5,29.4,23.4,26.4,97,5,40
2011,1,16,11.7,29.4,21.8,25.6,96,6,40
2011,1,17,9.9,28.1,22,25,96,5,40
2011,1,18,24.4,27.3,22.5,24.9,98,3,40
2011,1,19,20,28.4,22.9,25.6,97,1,90
2011,1,20,0,29.5,23.5,26.5,97,1,90
2011,1,21,1.3,28.9,24.5,26.7,97,1,360
2011,1,22,3.8,29.9,25,27.5,97,2,90
2011,1,23,3.2,29.9,24.6,27.3,97,2,90
2011,1,24,2.3,30,26,28,96,4,90
2011,1,25,0,29.2,25,27.1,98,5,70
2011,1,26,0,29.2,24.5,26.9,97,5,90
2011,1,27,0,29.1,25.3,27.2,97,4,90
2011,1,28,0,30,25,27.5,97,3,90
2011,1,29,3.6,29.6,24.2,26.9,96,4,90
2011,1,30,2.4,30,24,27,95,3,90
2011,1,31,9.1,28.5,23,25.8,94,5,40
2011,2,1,1.2,27.8,23.5,25.7,96,5,40
2011,2,2,10.2,28,23,25.5,97,5,40
2011,2,3,57.2,27,23.5,25.3,96,5,20
2011,2,4,158.9,27.9,23.3,25.6,97,3,90
2011,2,5,5.2,27.6,23.7,25.7,96,3,40
2011,2,6,123.1,29,24,26.5,97,3,40
2011,2,7,85.5,27.8,22.8,25.3,99,2,40
2011,2,8,0,29,23.6,26.3,96,1,40
2011,2,9,0,29.8,23.4,26.6,96,1,40
2011,2,10,0,30,23,26.5,97,0,0
2011,2,11,80.1,29.9,23.8,26.9,96,2,90
2011,2,12,30.6,27.9,23,25.5,98,5,90
2011,2,13,0.5,28.2,23.3,25.8,96,2,90
2011,2,14,0,30,24,27,96,2,90
2011,2,15,1,29.1,23.3,26.2,95,3,40
2011,2,16,0,30,25.1,27.5,97,3,90
2011,2,17,0.4,30.2,25,27.6,97,2,90
2011,2,18,0.5,29.4,25,27.2,98,2,90
2011,2,19,0,30.2,25,27.6,96,2,90
2011,2,20,0,30.2,24.4,27.3,95,3,40
2011,2,21,0,29.4,25.5,27.5,97,2,40
2011,2,22,0,29.3,24.8,27.1,97,2,40
2011,2,23,0,29.4,24.5,27,96,3,40
2011,2,24,4.6,28.9,24,26.5,96,4,40
2011,2,25,2,28.5,24.5,26.5,97,3,40
2011,2,26,9,29.4,24.2,26.8,97,5,40
2011,2,27,27.8,28,24,26,94,3,70
2011,2,28,19.1,29.4,25.5,27.5,96,3,90
2011,3,1,4.5,28.4,25,26.7,-999,2,90
2011,3,2,11.5,28.3,24.5,26.4,-999,3,90
2011,3,3,20.6,28.5,24,26.3,-999,3,40
2011,3,4,150.9,25.6,22.5,24,-999,3,90
2011,3,5,10,27.3,24,25.7,-999,2,90
2011,3,6,17.2,29.5,23.4,26.5,-999,1,90
2011,3,7,0,29.5,23.6,26.5,-999,1,90
2011,3,8,15,30.6,24.6,27.6,-999,2,110
2011,3,9,45.1,27.4,24.3,25.9,-999,4,90
2011,3,10,1.9,28.7,25,26.9,-999,5,90
2011,3,11,0.8,28.8,24.5,26.7,-999,4,40
2011,3,12,2.6,29.6,24.6,27.1,-999,3,40
2011,3,13,33.9,29.6,24.2,26.9,-999,4,40
2011,3,14,0,29.6,25.2,27.4,-999,3,40
2011,3,15,0.8,28.3,25.5,26.9,-999,4,40
2011,3,16,0.2,28.9,25.3,27.1,-999,5,40
2011,3,17,1.2,28,24,26,-999,5,40
2011,3,18,9.1,27.7,24.2,26,-999,4,90
2011,3,19,0,30.6,25.8,28.2,-999,3,90
2011,3,20,4.1,30.2,25.3,27.8,-999,2,90
2011,3,21,0,29.7,26,27.9,-999,2,90
2011,3,22,0.8,30.6,26,28.3,-999,3,40
2011,3,23,1.4,28.6,25.5,27,-999,3,40
2011,3,24,1.2,29.4,25,27.2,-999,5,40
2011,3,25,0,29.6,25.5,27.5,-999,5,40
2011,3,26,0,29.6,25.3,27.5,-999,5,20
2011,3,27,68.1,28.2,23.3,25.8,-999,5,40
2011,3,28,15.4,27.5,24.5,26,-999,4,40
2011,3,29,3,29.6,25,27.3,-999,3,40
2011,3,30,5.4,29.6,23.8,26.7,-999,5,40
2011,3,31,0,28.5,24.8,26.7,-999,5,40
2011,4,1,0,28.9,24.5,26.7,97,4,40
