YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,0,31.8,22.5,27.15,82,2,180
2011,1,2,0,31.8,19,25.4,76,3,180
2011,1,3,0,31.6,19,25.3,82,2,180
2011,1,4,0,31.5,18.5,25,78,2,180
2011,1,5,0,28.8,20.8,24.8,80,2,340
2011,1,6,0,29,19,24,80,2,360
2011,1,7,0,30,19,24.5,82,2,180
2011,1,8,0,29.5,20,24.75,82,2,180
2011,1,9,0,29.2,20,24.6,84,3,340
2011,1,10,0,31,20,25.5,82,2,180
2011,1,11,0,31.2,20,25.6,77,2,180
2011,1,12,-1,31.7,20,25.85,89,1,180
2011,1,13,-1,29.8,22.8,26.3,86,1,180
2011,1,14,0,31.6,22.9,27.25,83,2,360
2011,1,15,0,29.6,23,26.3,90,3,360
2011,1,16,0,30.2,21.8,26,89,4,90
2011,1,17,-1,27.8,21.6,24.7,89,3,90
2011,1,18,0,29.8,20,24.9,74,2,180
2011,1,19,0,32,20.5,26.25,80,2,180
2011,1,20,1,32,20.5,26.25,78,1,360
2011,1,21,0,29.8,21,25.4,86,4,360
2011,1,22,0,31,21.5,26.25,84,3,360
2011,1,23,0,30.5,21.8,26.15,83,2,180
2011,1,24,-1,31.6,20,25.8,79,2,180
2011,1,25,0,31.8,21.9,26.85,86,3,90
2011,1,26,0,30,20,25,66,2,180
2011,1,27,0,32.5,19.8,26.15,74,3,180
2011,1,28,0,31.5,20,25.75,82,2,180
2011,1,29,0,31.6,20,25.8,83,2,180
2011,1,30,0,32,19,25.5,74,3,180
2011,1,31,0,31,19,25,86,3,180
2011,2,1,0,31.5,18.7,25.1,76,3,180
2011,2,2,0,28.5,18.5,23.5,78,2,200
2011,2,3,0,29,19,24,74,2,360
2011,2,4,0,28.5,18.6,23.55,83,2,360
2011,2,5,0,30.3,19.6,24.95,82,2,90
2011,2,6,0,30.1,21.6,25.85,86,3,90
2011,2,7,0,32,21,26.5,75,3,180
2011,2,8,7,31.5,21,26.25,85,2,360
2011,2,9,4.4,32.6,21,26.8,86,2,180
