YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2013,1,1,-999,-999,-999,-999,-999,-999,-999
2013,1,2,-999,-999,-999,-999,-999,-999,-999
2013,1,3,-999,-999,-999,-999,-999,-999,-999
2013,1,4,-999,-999,-999,-999,-999,-999,-999
2013,1,5,-999,-999,-999,-999,-999,-999,-999
2013,1,6,-999,-999,-999,-999,-999,-999,-999
2013,1,7,-999,-999,-999,-999,-999,-999,-999
2013,1,8,-999,-999,-999,-999,-999,-999,-999
2013,1,9,-999,-999,-999,-999,-999,-999,-999
2013,1,10,-999,-999,-999,-999,-999,-999,-999
2013,1,11,-999,-999,-999,-999,-999,-999,-999
2013,1,12,-999,-999,-999,-999,-999,-999,-999
2013,1,13,-999,-999,-999,-999,-999,-999,-999
2013,1,14,-999,-999,-999,-999,-999,-999,-999
2013,1,15,-999,-999,-999,-999,-999,-999,-999
2013,1,16,-999,-999,-999,-999,-999,-999,-999
2013,1,17,-999,-999,-999,-999,-999,-999,-999
2013,1,18,-999,-999,-999,-999,-999,-999,-999
2013,1,19,-999,-999,-999,-999,-999,-999,-999
2013,1,20,-999,-999,-999,-999,-999,-999,-999
2013,1,21,-999,-999,-999,-999,-999,-999,-999
2013,1,22,-999,-999,-999,-999,-999,-999,-999
2013,1,23,-999,-999,-999,-999,-999,-999,-999
2013,1,24,-999,-999,-999,-999,-999,-999,-999
2013,1,25,-999,-999,-999,-999,-999,-999,-999
2013,1,26,-999,-999,-999,-999,-999,-999,-999
2013,1,27,-999,-999,-999,-999,-999,-999,-999
2013,1,28,-999,-999,-999,-999,-999,-999,-999
2013,1,29,-999,-999,-999,-999,-999,-999,-999
2013,1,30,-999,-999,-999,-999,-999,-999,-999
2013,1,31,-999,-999,-999,-999,-999,-999,-999
2013,2,1,-999,-999,-999,-999,-999,-999,-999
2013,2,2,-999,-999,-999,-999,-999,-999,-999
2013,2,3,-999,-999,-999,-999,-999,-999,-999
2013,2,4,-999,-999,-999,-999,-999,-999,-999
2013,2,5,-999,-999,-999,-999,-999,-999,-999
2013,2,6,-999,-999,-999,-999,-999,-999,-999
2013,2,7,-999,-999,-999,-999,-999,-999,-999
2013,2,8,-999,-999,-999,-999,-999,-999,-999
2013,2,9,-999,-999,-999,-999,-999,-999,-999
2013,2,10,-999,-999,-999,-999,-999,-999,-999
2013,2,11,-999,-999,-999,-999,-999,-999,-999
2013,2,12,-999,-999,-999,-999,-999,-999,-999
2013,2,13,-999,-999,-999,-999,-999,-999,-999
2013,2,14,-999,-999,-999,-999,-999,-999,-999
2013,2,15,-999,-999,-999,-999,-999,-999,-999
