YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,1,31.5,24.4,28,85,1,40
2011,1,2,5.2,30.2,23.9,27.1,88,1,40
2011,1,3,0.6,29,-999,-999,88,2,40
2011,1,4,7,29.7,-999,-999,91,1,40
2011,1,5,0,29,-999,-999,90,2,40
2011,1,6,2,30,-999,-999,91,1,40
2011,1,7,7.7,30.5,-999,-999,88,1,40
2011,1,8,2,31,-999,-999,84,1,40
2011,1,9,0,31.7,-999,-999,87,1,40
2011,1,10,17.2,31,-999,-999,88,1,40
2011,1,11,16.2,31.8,-999,-999,99,1,270
2011,1,12,10.2,31.8,-999,-999,86,1,40
2011,1,13,54,31.6,-999,-999,91,1,40
2011,1,14,3.2,30.6,-999,-999,89,1,40
2011,1,15,0,31.6,24,27.8,79,1,290
2011,1,16,5.4,30.3,24.2,27.3,87,1,40
2011,1,17,43.5,28.9,23.6,26.3,93,1,40
2011,1,18,7.9,27.3,23.9,25.6,90,1,40
2011,1,19,0,30.5,23.3,26.9,90,1,140
2011,1,20,0,30.8,23.6,27.2,91,1,40
2011,1,21,20.2,30.8,25.2,28,88,1,360
2011,1,22,1.2,31.5,23.9,27.7,83,1,320
2011,1,23,1,30.6,23.9,27.3,89,1,40
2011,1,24,5.6,30.2,25,27.6,88,1,40
2011,1,25,0.4,30.6,25,27.8,84,2,40
2011,1,26,8.4,30.2,24.6,27.4,90,2,40
2011,1,27,30.2,28.3,25,26.7,90,3,40
2011,1,28,7.2,29.2,25,27.1,86,3,40
2011,1,29,2.2,30,25.9,28,89,2,40
2011,1,30,1,30.2,24.8,27.5,89,2,40
2011,1,31,4.7,29.6,23.6,26.6,88,3,40
2011,2,1,17.5,26.8,23.6,25.2,93,2,40
2011,2,2,2,28.5,24.4,26.5,90,2,40
2011,2,3,79.4,29,23.9,26.5,88,2,40
2011,2,4,12.2,29,24,26.5,89,1,40
2011,2,5,0.9,30.8,24.1,27.5,89,1,360
2011,2,6,0,32.2,24.2,28.2,88,1,340
2011,2,7,0.6,31.4,24.1,27.8,86,1,340
2011,2,8,0,30,24,27,89,1,40
2011,2,9,18.2,32,24,28,88,2,180
2011,2,10,0,31,24,27.5,88,1,340
2011,2,11,0,32.1,24.2,28.2,84,1,340
2011,2,12,66,32,24,28,85,1,340
2011,2,13,13.4,29.5,24,26.8,88,1,40
2011,2,14,2,31.5,23.9,27.7,85,2,40
2011,2,15,0.4,31,24.6,27.8,86,2,40
2011,2,16,0.4,31,24.8,27.9,86,2,40
2011,2,17,8.2,31,24,27.5,88,2,40
2011,2,18,0,31,24,27.5,88,2,140
2011,2,19,2.4,31.1,24,27.6,86,1,90
2011,2,20,6,30.4,24,27.2,87,1,40
2011,2,21,11.8,31.1,24,27.6,84,1,40
2011,2,22,1.1,28.1,23.6,25.9,92,2,140
2011,2,23,0,31.7,24,27.9,85,2,140
2011,2,24,0,31.9,24.6,28.3,86,1,40
2011,2,25,5,31.7,24.4,28.1,86,1,140
2011,2,26,3.3,29.8,24,26.9,83,1,40
2011,2,27,6.2,26.3,23,24.7,93,1,360
2011,2,28,61.7,29.8,23.9,26.9,90,1,40
2011,3,1,0.2,30,24,27,90,1,40
2011,3,2,42.2,29.8,24,26.9,90,1,360
2011,3,3,1.2,30.6,24.2,27.4,85,1,340
2011,3,4,68,31.3,23.9,27.6,84,1,180
2011,3,5,19.1,31,25.5,28.3,87,2,40
2011,3,6,0,31,24.4,27.7,88,1,360
2011,3,7,27.2,32.5,25,28.8,86,1,360
2011,3,8,2.2,32.5,24,28.3,86,1,40
2011,3,9,1,31.2,24,27.6,85,2,40
2011,3,10,2.4,30.6,24.2,27.4,83,1,40
2011,3,11,2.2,31.8,24,27.9,85,2,40
2011,3,12,1,30.6,24,27.3,85,1,320
2011,3,13,9.6,31,24,27.5,86,1,40
2011,3,14,30.2,27.9,24,26,89,1,340
2011,3,15,7.4,29.3,24.2,26.8,90,1,140
2011,3,16,40.2,31,24,27.5,85,1,360
2011,3,17,5.4,31,24,27.5,85,1,90
2011,3,18,6,29.9,25,27.5,86,3,40
2011,3,19,1,30,24.1,27.1,90,3,140
2011,3,20,-1,30.4,25.6,28,87,1,40
2011,3,21,1.7,32,25,28.5,89,2,40
2011,3,22,0,32,26,29,84,2,40
2011,3,23,34,30.7,24,27.4,85,1,40
2011,3,24,17.4,30.6,24,27.3,88,1,40
2011,3,25,4.4,29.6,24.2,26.9,90,2,40
2011,3,26,-1,29.8,25.6,27.7,88,2,40
