YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,51.2,30.2,24.4,27.3,90,1,340
2011,1,2,9.5,27,24.4,25.7,90,2,320
2011,1,3,1.2,26.2,24.3,25.3,86,3,40
2011,1,4,0.2,28.2,25.3,26.8,77,2,320
2011,1,5,0.8,27.6,23.8,25.7,88,2,40
2011,1,6,0,29.5,25,27.3,83,2,320
2011,1,7,0.8,30.2,25,27.6,83,4,320
2011,1,8,0,29.7,25,27.4,81,3,320
2011,1,9,0,30.6,25.6,28.1,82,2,320
2011,1,10,4.6,30.8,25.3,28.1,88,2,360
2011,1,11,0.1,30.6,25,27.8,87,3,360
2011,1,12,0,30.2,25.6,27.9,85,2,320
2011,1,13,0,30.2,25,27.6,82,2,320
2011,1,14,0,30.2,24.2,27.2,87,1,90
2011,1,15,0,30.7,24.2,27.5,88,1,270
2011,1,16,7.6,30.7,24.5,27.6,88,2,320
2011,1,17,16.4,28.2,23.3,25.8,87,2,320
2011,1,18,3,26.6,23.2,24.9,92,1,320
2011,1,19,0,29.7,23,26.4,87,1,40
2011,1,20,0,30.2,23.6,26.9,88,1,90
2011,1,21,0,30.9,24.4,27.6,81,1,40
2011,1,22,0,30.7,24.4,27.5,85,2,40
2011,1,23,1.4,30.8,25.1,28,81,1,40
2011,1,24,2.6,29.6,24.8,27.2,84,2,40
2011,1,25,2.6,31,24.8,27.9,86,3,40
2011,1,26,13.8,29.9,23.8,26.9,85,3,40
2011,1,27,38.2,26.2,23.3,24.8,91,2,340
2011,1,28,2.8,27.7,24,25.9,89,3,40
2011,1,29,0,28.9,24.6,26.8,78,3,40
2011,1,30,0.2,29.7,25.5,27.6,78,3,340
2011,1,31,1.4,27.2,25,26.1,84,5,320
2011,2,1,13.7,26.2,23.3,24.8,88,4,320
2011,2,2,0.4,26.7,24.2,25.5,86,4,320
2011,2,3,1.6,28.2,25.4,26.8,90,5,320
2011,2,4,0.1,29.7,25,27.4,88,1,360
2011,2,5,0.4,30.2,24.2,27.2,87,1,90
2011,2,6,5.8,31.2,25.4,28.3,85,1,20
2011,2,7,5.9,30.8,23.8,27.3,85,1,40
2011,2,8,0,30.2,24.3,27.3,87,1,90
2011,2,9,1,31,24.4,27.7,85,1,40
2011,2,10,0,31.2,23.8,27.5,86,1,90
2011,2,11,0,31.4,25.3,28.4,87,1,40
2011,2,12,13.4,31.2,24.8,28,82,2,40
2011,2,13,4.6,29,24.4,26.7,88,1,360
2011,2,14,0,30.2,25.2,27.7,82,1,320
2011,2,15,17.6,30.8,23.8,27.3,80,3,40
2011,2,16,0,30.7,25.8,28.3,83,3,40
2011,2,17,3.8,29.6,24.4,27,88,2,340
2011,2,18,0,30.4,25.4,27.9,86,1,40
2011,2,19,0,30.2,25.2,27.7,82,1,340
2011,2,20,0,30.4,25.6,28,82,2,40
