YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2013,10,1,-999,-999,-999,-999,-999,-999,-999
2013,10,2,-999,-999,-999,-999,-999,-999,-999
2013,10,3,-999,-999,-999,-999,-999,-999,-999
2013,10,4,-999,-999,-999,-999,-999,-999,-999
2013,10,5,-999,-999,-999,-999,-999,-999,-999
2013,10,6,-999,-999,-999,-999,-999,-999,-999
2013,10,7,-999,-999,-999,-999,-999,-999,-999
2013,10,8,-999,-999,-999,-999,-999,-999,-999
2013,10,9,-999,-999,-999,-999,-999,-999,-999
2013,10,10,-999,-999,-999,-999,-999,-999,-999
2013,10,11,-999,-999,-999,-999,-999,-999,-999
2013,10,12,-999,-999,-999,-999,-999,-999,-999
2013,10,13,-999,-999,-999,-999,-999,-999,-999
2013,10,14,-999,-999,-999,-999,-999,-999,-999
2013,10,15,-999,-999,-999,-999,-999,-999,-999
2013,10,16,-999,-999,-999,-999,-999,-999,-999
2013,10,17,-999,-999,-999,-999,-999,-999,-999
2013,10,18,-999,-999,-999,-999,-999,-999,-999
2013,10,19,-999,-999,-999,-999,-999,-999,-999
2013,10,20,-999,-999,-999,-999,-999,-999,-999
2013,10,21,-999,-999,-999,-999,-999,-999,-999
2013,10,22,-999,-999,-999,-999,-999,-999,-999
2013,10,23,-999,-999,-999,-999,-999,-999,-999
2013,10,24,-999,-999,-999,-999,-999,-999,-999
2013,10,25,-999,-999,-999,-999,-999,-999,-999
2013,10,26,-999,-999,-999,-999,-999,-999,-999
2013,10,27,-999,-999,-999,-999,-999,-999,-999
2013,10,28,-999,-999,-999,-999,-999,-999,-999
2013,10,29,-999,-999,-999,-999,-999,-999,-999
2013,10,30,-999,-999,-999,-999,-999,-999,-999
2013,10,31,-999,-999,-999,-999,-999,-999,-999
2013,11,1,15,31.2,23,27.1,84,1,330
2013,11,2,-1,30.8,23,26.9,82,2,120
2013,11,3,5,31,24.4,27.7,82,2,150
2013,11,4,6,29.6,24,26.8,92,1,340
2013,11,5,0,31.8,23.5,27.65,86,2,340
2013,11,6,1.1,31.4,25.4,28.4,83,3,330
2013,11,7,54.8,27,23.5,25.25,96,1,150
2013,11,8,4.3,29.6,23.3,26.45,88,2,150
2013,11,9,-1,31.8,23,27.4,84,2,330
2013,11,10,0,31.4,24.5,27.95,82,2,320
2013,11,11,8.4,31.4,24.1,27.75,89,2,340
2013,11,12,8,29.4,22.5,25.95,82,2,160
2013,11,13,-1,31.4,24,27.7,83,2,140
2013,11,14,-1,31.6,23,27.3,82,2,330
2013,11,15,0,32.4,22.8,27.6,83,2,150
2013,11,16,0.1,31.4,22,26.7,86,2,320
2013,11,17,0,31.4,24,27.7,82,2,320
2013,11,18,0,32,24,28,80,2,340
2013,11,19,0,31.8,23,27.4,82,2,340
2013,11,20,0,32.6,23.6,28.1,83,2,150
2013,11,21,-1,32.4,24.5,28.45,79,2,150
2013,11,22,0.4,30.2,23.3,26.75,86,2,150
2013,11,23,0,30.8,24,27.4,84,2,150
2013,11,24,0,31.4,24.1,27.75,84,2,320
2013,11,25,0,31.4,23.5,27.45,83,2,340
2013,11,26,-1,31.4,23.5,27.45,84,2,160
2013,11,27,0,31.8,23.7,27.75,82,2,150
2013,11,28,0.4,31.4,24,27.7,85,2,330
2013,11,29,0,31.2,24.3,27.75,86,2,150
2013,11,30,0,32.2,24.2,28.2,84,2,160
2013,12,1,-999,-999,-999,-999,-999,-999,-999
2013,12,2,-999,-999,-999,-999,-999,-999,-999
2013,12,3,-999,-999,-999,-999,-999,-999,-999
2013,12,4,-999,-999,-999,-999,-999,-999,-999
2013,12,5,-999,-999,-999,-999,-999,-999,-999
2013,12,6,-999,-999,-999,-999,-999,-999,-999
2013,12,7,-999,-999,-999,-999,-999,-999,-999
2013,12,8,-999,-999,-999,-999,-999,-999,-999
2013,12,9,-999,-999,-999,-999,-999,-999,-999
2013,12,10,-999,-999,-999,-999,-999,-999,-999
2013,12,11,-999,-999,-999,-999,-999,-999,-999
2013,12,12,-999,-999,-999,-999,-999,-999,-999
2013,12,13,-999,-999,-999,-999,-999,-999,-999
2013,12,14,-999,-999,-999,-999,-999,-999,-999
2013,12,15,-999,-999,-999,-999,-999,-999,-999
2013,12,16,-999,-999,-999,-999,-999,-999,-999
2013,12,17,-999,-999,-999,-999,-999,-999,-999
2013,12,18,-999,-999,-999,-999,-999,-999,-999
2013,12,19,-999,-999,-999,-999,-999,-999,-999
2013,12,20,-999,-999,-999,-999,-999,-999,-999
2013,12,21,-999,-999,-999,-999,-999,-999,-999
2013,12,22,-999,-999,-999,-999,-999,-999,-999
2013,12,23,-999,-999,-999,-999,-999,-999,-999
2013,12,24,-999,-999,-999,-999,-999,-999,-999
2013,12,25,-999,-999,-999,-999,-999,-999,-999
2013,12,26,-999,-999,-999,-999,-999,-999,-999
2013,12,27,-999,-999,-999,-999,-999,-999,-999
2013,12,28,-999,-999,-999,-999,-999,-999,-999
2013,12,29,-999,-999,-999,-999,-999,-999,-999
2013,12,30,-999,-999,-999,-999,-999,-999,-999
2013,12,31,-999,-999,-999,-999,-999,-999,-999
2014,1,1,3.2,31.8,21,26.4,84,2,300
2014,1,2,-1,31.3,23.5,27.4,85,2,300
2014,1,3,0,31.6,23,27.3,87,2,330
2014,1,4,0,31.3,23.3,27.3,83,2,320
2014,1,5,0,31.4,23.5,27.45,85,2,150
2014,1,6,2,31.6,23,27.3,88,2,340
2014,1,7,1,29,22,25.5,91,2,160
2014,1,8,26.8,29.2,23.5,26.35,90,2,320
2014,1,9,0.4,28.8,17.5,23.15,90,1,150
2014,1,10,35,28.4,22.3,25.35,90,1,220
2014,1,11,22,26.8,23,24.9,94,2,330
2014,1,12,1,28,23.5,25.75,93,3,360
2014,1,13,83,29.8,23.4,26.6,89,2,340
2014,1,14,39.4,27.8,20.8,24.3,94,1,270
2014,1,15,8.3,29.2,23,26.1,90,2,270
2014,1,16,36.1,27.6,22.5,25.05,93,2,300
2014,1,17,16.9,28,23.5,25.75,94,3,270
2014,1,18,37.6,27.2,21.5,24.35,90,5,330
2014,1,19,60.4,26.4,21.8,24.1,94,5,330
2014,1,20,100.4,28.8,21,24.9,96,2,220
2014,1,21,8.6,26.6,23,24.8,91,2,320
2014,1,22,6.6,28.6,22.6,25.6,91,1,340
2014,1,23,0,29.2,24,26.6,86,2,340
2014,1,24,0,28.8,24,26.4,81,3,330
2014,1,25,0,28.8,17.5,23.15,85,2,150
2014,1,26,0,28.4,22,25.2,83,1,160
2014,1,27,0,27,21.2,24.1,85,2,340
2014,1,28,2.2,28.8,22,25.4,85,2,340
2014,1,29,0,29.8,21.6,25.7,85,3,330
2014,1,30,0,29.4,22.5,25.95,80,3,340
2014,1,31,7.7,28.8,22,25.4,86,1,150
2014,2,1,0,30.2,23,26.6,87,2,320
2014,2,2,0,29.4,24.1,26.75,86,2,320
2014,2,3,0,29.6,22.3,25.95,88,2,160
2014,2,4,0,31,23.7,27.35,88,2,340
2014,2,5,0,31,22.7,26.85,86,2,160
2014,2,6,0.2,31.2,24.4,27.8,85,3,330
2014,2,7,-1,29.8,23.7,26.75,90,2,120
2014,2,8,0,30.8,24.2,27.5,86,2,240
2014,2,9,-1,30.2,24,27.1,87,1,320
2014,2,10,5,28,23.7,25.85,91,1,160
2014,2,11,0,30.2,22.5,26.35,89,2,140
2014,2,12,33.4,30.8,23.5,27.15,88,2,340
2014,2,13,1.3,29.4,23.5,26.45,84,2,330
2014,2,14,0,29.6,24.4,27,86,2,300
2014,2,15,0,28.2,22,25.1,88,2,360
2014,2,16,0,30,22.4,26.2,84,2,360
2014,2,17,0,31,21,26,86,2,340
2014,2,18,0,30,18,24,88,2,340
2014,2,19,0,29.6,21.2,25.4,86,3,150
2014,2,20,0,29.8,20,24.9,84,2,320
2014,2,21,0,33,19.4,26.2,84,2,330
2014,2,22,0,29.2,21.5,25.35,81,2,330
2014,2,23,0,30.4,22.5,26.45,83,2,360
2014,2,24,0,30,22,26,83,2,340
2014,2,25,0,29.4,21.5,25.45,85,2,160
2014,2,26,0,29,23.8,26.4,83,3,150
2014,2,27,0,30.6,23.8,27.2,84,3,300
2014,2,28,0,30.2,22.2,26.2,85,2,330
2014,3,1,0,30.2,20.5,25.35,82,2,320
2014,3,2,0,30,22.5,26.25,84,2,330
2014,3,3,0,30.4,22,26.2,84,2,160
2014,3,4,0,30.8,20.5,25.65,83,2,340
2014,3,5,0,30.2,20,25.1,84,2,300
2014,3,6,0,30,21,25.5,82,2,300
2014,3,7,0,30.2,21,25.6,82,3,300
2014,3,8,0,30.8,22,26.4,82,3,320
2014,3,9,0,30.4,23,26.7,82,2,320
2014,3,10,0,30.8,26,28.4,82,3,360
2014,3,11,0,31.2,23,27.1,83,2,340
2014,3,12,9.4,30.6,24.5,27.55,89,2,230
2014,3,13,0,30,23.6,26.8,90,1,150
2014,3,14,1.3,31.4,23.5,27.45,89,2,360
2014,3,15,0,32,22,27,87,2,330
2014,3,16,0,31.2,25.8,28.5,83,4,360
2014,3,17,-1,29,23,26,89,3,340
2014,3,18,15.5,31,23.1,27.05,86,3,340
2014,3,19,1.1,28.2,22.8,25.5,91,2,330
2014,3,20,22.2,28.8,23.5,26.15,91,1,360
2014,3,21,21.3,28.4,23.8,26.1,91,3,330
2014,3,22,2.6,28,23.5,25.75,91,2,320
2014,3,23,7.3,30.5,23.2,26.85,88,2,140
2014,3,24,1.2,30.6,23,26.8,89,2,140
2014,3,25,1,31,23,27,87,2,340
2014,3,26,-1,31,24.5,27.75,86,2,300
2014,3,27,-1,31.6,23.5,27.55,85,2,320
2014,3,28,0,31.8,23,27.4,84,2,320
2014,3,29,0,32,23,27.5,80,2,320
2014,3,30,1.1,31.6,23,27.3,84,2,180
2014,3,31,0,31.6,24.1,27.85,84,2,340
2014,4,1,0,31.4,23.5,27.45,81,2,160
2014,4,2,0,31.2,22.6,26.9,84,3,330
2014,4,3,0,31.2,22.1,26.65,83,3,320
2014,4,4,0,31.4,21,26.2,84,2,150
2014,4,5,0,32.2,21.2,26.7,81,2,320
2014,4,6,0,31.2,23.2,27.2,84,2,320
2014,4,7,0.2,30.6,23.5,27.05,86,2,340
2014,4,8,0,30.4,21.5,25.95,88,2,90
