YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,0,31,23.8,27.4,84,2,270
2011,1,2,0.5,33.5,21,27.3,77,2,270
2011,1,3,0,31,21.2,26.1,82,3,40
2011,1,4,0,32.8,23,27.9,78,3,40
2011,1,5,0,30.2,21,25.6,80,3,40
2011,1,6,0,34,22.7,28.4,72,2,180
2011,1,7,0,34.6,22.4,28.5,75,3,270
2011,1,8,0,34.2,24,29.1,78,2,180
2011,1,9,0,34.2,23.5,28.9,74,2,180
2011,1,10,0,35,22.6,28.8,75,2,270
2011,1,11,0.6,35,23.3,29.2,71,2,270
2011,1,12,4.8,34,21.8,27.9,75,2,140
2011,1,13,0.8,30,24.5,27.3,82,1,180
2011,1,14,14,30.3,22.5,26.4,84,2,270
2011,1,15,0,31,22.2,26.6,81,2,270
2011,1,16,0,32,23,27.5,79,2,270
2011,1,17,13.6,32.5,22,27.3,78,1,180
2011,1,18,7.2,29.5,22.4,26,84,2,320
2011,1,19,12.8,27,21.4,24.2,90,2,40
2011,1,20,0,32,21.8,26.9,82,2,270
2011,1,21,0,33,22.5,27.8,76,2,270
2011,1,22,0,32.2,21,26.6,81,2,40
2011,1,23,0,30.3,22,26.2,86,3,360
2011,1,24,0,33.3,22,27.6,79,3,320
2011,1,25,1.4,28.4,23,25.7,85,3,320
2011,1,26,11.4,27.8,22.5,25.2,84,3,320
2011,1,27,12.2,32,21.7,26.9,80,3,40
2011,1,28,0,31,21.9,26.5,78,4,320
2011,1,29,0,30,23,26.5,82,3,360
2011,1,30,0,28.5,22.2,25.4,87,3,40
2011,1,31,0,31.2,22.4,26.8,78,2,360
2011,2,1,4.5,28,22,25,87,2,340
2011,2,2,0,30.8,23.6,27.2,80,3,40
2011,2,3,0,31.7,23.5,27.6,80,2,40
2011,2,4,3.4,30.4,23.2,26.8,85,2,180
2011,2,5,0,31.4,23,27.2,81,3,180
2011,2,6,0,34.2,23.2,28.7,80,2,90
2011,2,7,0,32.5,21.5,27,79,2,180
2011,2,8,0,30.8,22,26.4,78,2,270
2011,2,9,0,34.2,21.9,28,74,2,270
2011,2,10,0,33.6,21.8,27.7,78,2,300
2011,2,11,0.7,33.6,23,28.3,76,2,140
2011,2,12,3,32,22.5,27.3,87,2,160
2011,2,13,8.2,31.4,21.8,26.6,82,2,270
2011,2,14,0,33.2,23.2,28.2,79,3,320
2011,2,15,0,34.2,24,29.1,75,4,40
2011,2,16,10.6,31,22,26.5,80,4,360
2011,2,17,25.2,27,21,24,89,2,40
2011,2,18,1.4,28,21.6,24.8,85,1,40
2011,2,19,0,32,23.6,27.8,80,2,90
