YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,0,32,23.2,27.6,82,4,90
2011,1,2,0,33.8,23,28.4,79,3,90
2011,1,3,0,31.8,23,27.4,78,3,90
2011,1,4,0,31.3,23,27.2,76,4,140
2011,1,5,0,33.7,23.5,28.6,74,3,110
2011,1,6,0,31.8,21.2,26.5,81,1,270
2011,1,7,0,30.6,22.4,26.5,79,2,320
2011,1,8,0,31.8,21.8,26.8,69,3,290
2011,1,9,0,31.8,24.8,28.3,76,1,290
2011,1,10,0,31.8,23.8,27.8,83,2,90
2011,1,11,0,32,24.5,28.3,77,2,90
2011,1,12,0,32,23.6,27.8,83,1,360
2011,1,13,0,30.6,23.5,27,82,1,320
2011,1,14,0,31.3,22.8,27.1,84,2,320
2011,1,15,0,30.6,23.4,27,84,3,320
2011,1,16,0,29.2,23,26.1,68,3,110
2011,1,17,0,27.8,22.8,25.3,76,6,90
2011,1,18,0,29.2,22.8,26,74,2,40
2011,1,19,0,30.8,24,27.4,79,2,320
2011,1,20,0,31.6,23.8,27.7,85,1,40
2011,1,21,0,31,23.6,27.3,86,2,360
2011,1,22,0,31.8,23.8,27.8,83,1,320
2011,1,23,0,31.6,24.5,28,76,2,270
2011,1,24,0.6,31,24.6,27.8,83,2,90
2011,1,25,0,31.4,24,27.7,81,2,320
2011,1,26,0,31.5,23.3,27.4,85,2,140
2011,1,27,0,31.2,24,27.6,81,2,140
2011,1,28,0,31.4,22.8,27.1,78,2,90
2011,1,29,0,30.8,23,26.9,70,2,270
2011,1,30,0,31.8,22,26.9,64,2,70
2011,1,31,0,30.3,23,26.7,79,2,270
2011,2,1,0,31.5,22,26.8,78,5,90
2011,2,2,0,31.5,22.2,26.9,76,4,140
2011,2,3,0,29.4,22.2,25.8,80,2,40
2011,2,4,0.6,30,22.8,26.4,79,2,320
2011,2,5,0,31,23.8,27.4,77,2,70
2011,2,6,0,31.4,24,27.7,78,1,290
2011,2,7,2,31.5,23,27.3,86,1,270
2011,2,8,18.6,30.8,23.8,27.3,78,1,90
2011,2,9,0,31.2,23.2,27.2,88,2,180
2011,2,10,0,31.3,23,27.2,87,2,270
2011,2,11,0,31.2,23.8,27.5,76,2,320
2011,2,12,0,30.6,23.6,27.1,77,3,40
2011,2,13,0,30.8,23.2,27,73,2,290
2011,2,14,0,31.6,22,26.8,74,2,290
2011,2,15,0,31,23.4,27.2,77,2,290
2011,2,16,0,31,23.8,27.4,73,2,290
2011,2,17,0,31.6,23,27.3,79,1,290
2011,2,18,0,30.6,23,26.8,80,2,320
2011,2,19,0,31.5,23,27.3,82,1,90
2011,2,20,0,30.2,22,26.1,85,1,320
2011,2,21,0,31,22,26.5,78,2,270
2011,2,22,0,31.3,23,27.2,80,2,90
2011,2,23,0,31.7,22.5,27.1,81,2,320
2011,2,24,0,32,21,26.5,79,2,90
2011,2,25,0,31,22.8,26.9,73,2,90
2011,2,26,0,30.5,22.2,26.4,63,2,290
2011,2,27,0,30.8,22,26.4,72,2,290
2011,2,28,0,31.6,22.4,27,75,2,270
2011,3,1,0,32,23,27.5,78,2,290
2011,3,2,0,31.2,23.8,27.5,74,2,90
2011,3,3,0,32.6,23.8,28.2,79,2,90
2011,3,4,0,32.4,24,28.2,83,2,270
2011,3,5,2.6,31.4,24,27.7,81,3,140
2011,3,6,0,30.6,23.5,27,86,2,90
2011,3,7,0,32,23.4,27.7,82,2,320
2011,3,8,0,32.3,24.4,28.3,81,2,320
2011,3,9,0,32.2,24,28.1,81,2,90
2011,3,10,0,31,22.5,26.8,79,2,90
2011,3,11,0,31.5,23.6,27.5,77,2,270
2011,3,12,0,32,23.4,27.7,70,2,290
2011,3,13,0,31.8,24,27.9,73,1,290
2011,3,14,0,31.2,23.5,27.4,83,1,270
2011,3,15,0,33,25,29,74,2,140
2011,3,16,0,31,25,28,77,4,90
2011,3,17,0,31.3,25.5,28.4,76,4,140
2011,3,18,0,31.7,24.6,28.2,76,2,320
2011,3,19,0,32.8,25,28.9,70,2,320
2011,3,20,0,32.4,25.6,29,73,1,290
2011,3,21,0,31.2,25,28.1,84,1,90
2011,3,22,0,32.3,26,29.1,81,2,270
2011,3,23,0,32.5,24,28.3,80,2,270
2011,3,24,0,31.6,24,27.8,80,3,140
2011,3,25,0,32,24.6,28.3,74,3,270
2011,3,26,0,32.6,24.8,28.7,64,4,290
2011,3,27,0,32.2,25.4,28.8,68,2,290
