YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,30.5,24.4,21.5,23,95,3,360
2011,1,2,7.1,25.7,21.5,23.6,91,3,360
2011,1,3,0.3,28.7,22.9,25.8,84,2,360
2011,1,4,0,28.8,23.5,26.2,74,2,50
2011,1,5,18,27.5,23,25.3,88,2,360
2011,1,6,5.1,27,22.1,24.5,92,2,360
2011,1,7,0,28.6,23.8,26.2,80,3,360
2011,1,8,24.1,29,23,26,82,4,360
2011,1,9,86.8,25.2,22,23.6,97,1,350
2011,1,10,70.4,25.6,23,24.3,92,3,360
2011,1,11,12,28,22.1,25,92,1,360
2011,1,12,22,26.6,22.5,24.5,96,1,360
2011,1,13,12.7,26.7,22,24.4,96,2,360
2011,1,14,2.5,28.1,23,25.5,91,2,360
2011,1,15,4.3,30,23,26.5,88,3,360
2011,1,16,72.1,25.3,19.5,22.4,93,4,360
2011,1,17,12.5,24.1,20.5,22.3,89,4,360
2011,1,18,50,25.8,20.8,23.3,94,3,360
2011,1,19,59.5,24.6,21.5,23,97,1,360
2011,1,20,0,28.5,22.7,25.6,93,1,360
2011,1,21,2.5,30,23.5,26.8,90,1,360
2011,1,22,10.1,28.3,23,25.7,95,3,360
2011,1,23,46.8,27,23,25,98,2,360
2011,1,24,25.1,26.6,22.1,24.4,96,3,360
2011,1,25,2.5,26.6,23,24.8,89,2,360
2011,1,26,0,29,23,26,86,2,30
2011,1,27,0,28.8,23,25.9,82,3,30
2011,1,28,0.5,29,23,26,81,1,360
2011,1,29,6.1,29.5,21.3,25.4,82,3,360
2011,1,30,5.1,28.8,20.8,24.8,78,4,30
2011,1,31,7.2,26.6,22,24.3,81,4,30
2011,2,1,12.7,25.7,21,23.4,80,3,360
2011,2,2,0,27.5,22.5,25,72,4,360
2011,2,3,6.6,27.2,22.1,24.7,79,4,360
2011,2,4,37.6,25.6,21.8,23.7,96,2,360
2011,2,5,12,27.6,22,24.8,91,4,360
2011,2,6,19.3,28,23,25.5,92,2,360
2011,2,7,18.7,26.5,23,24.8,98,1,360
2011,2,8,0,29.9,22,26,90,1,360
2011,2,9,0.1,29.8,23,26.4,94,1,360
2011,2,10,0,32,22.2,27.1,88,1,360
2011,2,11,83,31,23.3,27.2,88,1,30
2011,2,12,8.6,25.5,21,23.3,89,3,30
2011,2,13,5.1,24.8,21.4,23.1,93,2,360
2011,2,14,9.7,28.8,22.1,25.5,86,1,360
2011,2,15,14.7,26.1,22.4,24.3,92,2,360
2011,2,16,16.7,26.5,21.5,24,96,2,340
2011,2,17,0,29.5,21.1,25.3,91,1,360
2011,2,18,0,29.4,22,25.7,86,1,340
2011,2,19,0,30.2,19.5,24.9,88,1,360
2011,2,20,0,30.2,21.2,25.7,82,1,360
2011,2,21,0.5,30.2,23.5,26.9,81,2,360
2011,2,22,0.6,29.1,23.6,26.4,76,2,360
2011,2,23,0,28.5,22,25.3,82,2,360
2011,2,24,0,29.4,22.8,26.1,79,2,30
2011,2,25,0.3,29.4,23,26.2,75,2,360
2011,2,26,1,29,23,26,83,3,360
2011,2,27,10.7,28.6,23,25.8,89,2,360
2011,2,28,8.2,28,23,25.5,93,3,360
2011,3,1,110.5,26.9,23.2,25,97,2,360
2011,3,2,45.5,26,21.4,23.7,97,2,360
2011,3,3,11.2,27.2,22,24.6,91,2,360
2011,3,4,99.6,26.6,21.8,24.2,97,2,360
2011,3,5,97,25.3,21.6,23.5,98,2,360
2011,3,6,10.1,29.2,22.9,26,94,1,360
2011,3,7,19.1,29.6,23,26.3,92,1,360
2011,3,8,17.8,26.5,22.2,24.4,96,3,360
2011,3,9,30.2,25.5,22,23.8,96,3,360
2011,3,10,3,28,22.5,25.3,92,2,360
2011,3,11,0,29.1,22.5,25.8,79,3,360
2011,3,12,0,29.3,22.3,25.8,78,2,360
2011,3,13,1.8,29.4,23,26.2,84,2,30
2011,3,14,0,29.6,24,26.8,87,2,30
2011,3,15,0,29.9,23,26.5,81,2,20
2011,3,16,1,29.4,22.8,26.1,82,3,30
2011,3,17,0,29,23,26,82,2,30
2011,3,18,0.1,28,23,25.5,80,2,30
2011,3,19,1,28.8,23,25.9,89,2,30
2011,3,20,0.5,28.7,23.5,26.1,90,2,330
2011,3,21,0.2,29.5,23.8,26.7,93,1,330
2011,3,22,0,30.9,24.5,27.7,85,2,360
2011,3,23,0,30.5,23.5,27,84,3,360
2011,3,24,1.6,29.7,24.1,26.9,83,2,360
2011,3,25,0.5,28.8,23.3,26.1,81,4,360
2011,3,26,2,28.1,23,25.5,78,3,360
2011,3,27,0.1,28.8,23,25.9,79,3,360
2011,3,28,10.1,26.7,23,24.9,91,3,360
2011,3,29,4.1,28.4,23,25.7,93,3,360
2011,3,30,14.8,27.5,23,25.3,93,4,360
2011,3,31,0,29.2,23,26.1,82,1,360
2011,4,1,0,28.7,23,25.9,76,1,360
2011,4,2,0,29.5,23,26.3,80,2,360
2011,4,3,0.1,29.6,23.5,26.5,82,2,360
2011,4,4,0.1,29.6,23,26.3,84,2,360
2011,4,5,2.6,29.5,21.5,25.5,80,2,30
2011,4,6,18.6,27.2,21.4,24.3,88,1,360
2011,4,7,4.6,27.2,19.9,23.5,96,1,330
2011,4,8,7.1,29.6,23,26.3,77,1,360
2011,4,9,3.1,27.6,23.8,25.7,86,3,30
2011,4,10,1,29.2,22.7,26,84,2,360
2011,4,11,0,30,24.1,27,78,2,360
2011,4,12,0,30.1,23,26.5,72,3,360
2011,4,13,0,29.8,23,26.4,82,2,360
2011,4,14,0,30,20.6,25.3,84,1,360
2011,4,15,0,31,20.5,25.8,80,1,360
2011,4,16,0,31.4,23,27.2,84,1,360
2011,4,17,0,32.3,23,27.6,86,1,360
2011,4,18,10.9,32.8,23.5,28.1,82,1,30
2011,4,19,4.6,31.4,23.9,27.6,85,2,340
2011,4,20,32.5,26.5,22.6,24.5,94,2,30
2011,4,21,10.6,30.3,23.4,26.9,90,1,30
2011,4,22,0,30.5,21.5,26,88,1,360
2011,4,23,0,32,22.5,27.3,82,1,30
2011,4,24,0,31.8,22.6,27.2,83,2,360
2011,4,25,1.3,31.4,24.3,27.9,88,2,360
2011,4,26,0,32.1,24.3,28.2,86,1,20
2011,4,27,0,34,25.5,29.8,79,1,90
2011,4,28,2.3,33,25,29,80,1,30
2011,4,29,45,30.7,24,27.4,92,1,360
2011,4,30,0,31,23.5,27.3,90,1,360
2011,5,1,2,32,24.5,28.3,84,1,360
2011,5,2,0,32.5,26.3,29.4,86,1,360
2011,5,3,20.3,32.5,24.5,28.5,86,1,360
2011,5,4,0.5,32.3,24.5,28.4,86,1,30
2011,5,5,0,33.5,23.4,28.5,84,1,330
2011,5,6,0,32.3,25,28.6,81,1,360
2011,5,7,6.2,32,24.9,28.5,79,3,330
2011,5,8,43.1,29.5,22.5,26,93,2,180
2011,5,9,4.1,28.7,22.7,25.7,71,3,160
2011,5,10,0,34.2,24.9,29.5,83,1,180
2011,5,11,0,34,24.5,29.3,84,1,160
2011,5,12,0,34,25.6,29.8,83,1,300
2011,5,13,0,33.2,24.3,28.8,80,1,80
2011,5,14,0,33,26,29.5,83,1,30
2011,5,15,0,34,24,29,81,1,10
2011,5,16,0,33.8,25.4,29.6,77,1,360
2011,5,17,1,34.4,23.8,29.1,77,1,150
2011,5,18,5.1,33.3,23.5,28.4,82,1,40
2011,5,19,3.3,33.8,23.8,28.8,84,1,270
2011,5,20,0,32.7,24,28.4,82,1,30
2011,5,21,0,33.5,23.5,28.5,79,1,30
