YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,3.3,19.4,14,16.7,83,6,40
2011,1,2,0,21.7,16,18.9,81,5,70
2011,1,3,0,24.7,18.2,21.5,80,3,90
2011,1,4,10.9,24.7,17.8,21.3,89,4,90
2011,1,5,6,23.7,19.4,21.5,88,5,90
2011,1,6,42.4,25.8,17,21.4,91,6,40
2011,1,7,3.6,21.8,15.3,18.6,91,7,40
2011,1,8,4.6,24.3,19.6,22,89,4,90
2011,1,9,10.6,25.1,17,21,92,5,20
2011,1,10,4.2,21.5,15.4,18.5,90,6,20
2011,1,11,33.4,23.8,15,19.4,96,4,40
2011,1,12,12.2,20,16,18,93,6,40
2011,1,13,8.3,21.7,17.5,19.6,92,6,90
2011,1,14,17.2,23.4,19.5,21.5,95,5,90
2011,1,15,4.8,21.4,14.3,17.9,89,6,20
2011,1,16,0,20,14.5,17.3,78,7,40
2011,1,17,2,21,15.7,18.4,78,6,70
2011,1,18,21.2,22.7,17.2,20,89,6,70
2011,1,19,5.3,23.8,17.4,20.6,88,5,90
2011,1,20,10.8,22,17.3,19.7,96,5,90
2011,1,21,11.3,22.4,17,19.7,99,5,360
2011,1,22,7,21.8,17.4,19.6,92,5,40
2011,1,23,2.6,24.3,18.7,21.5,90,3,90
2011,1,24,21.1,22.8,17.6,20.2,90,6,90
2011,1,25,0,24.4,18.5,21.5,84,5,90
2011,1,26,1.8,24.3,18.6,21.5,86,4,90
2011,1,27,0,25.9,19.7,22.8,81,4,140
2011,1,28,19,26.9,17.4,22.1,91,3,20
2011,1,29,11.4,19.8,15.5,17.7,96,6,40
2011,1,30,6.8,20.7,15.6,18.2,90,6,70
2011,1,31,0,23.1,16.5,19.8,84,5,90
2011,2,1,0,22.8,16.6,19.7,85,4,90
2011,2,2,0,25.1,17.3,21.2,82,2,90
2011,2,3,0,25,18.4,21.7,86,3,90
2011,2,4,0,25.7,18.7,22.2,86,2,70
2011,2,5,0,25,17.4,21.2,84,5,70
2011,2,6,0,23.8,18.7,21.3,86,4,70
2011,2,7,16,24.3,18.2,21.3,85,4,90
2011,2,8,6.2,24.1,18.3,21.2,94,2,90
2011,2,9,0,25.4,19.6,22.5,86,4,90
2011,2,10,11.8,25.8,20.6,23.2,88,4,120
2011,2,11,12,23.7,16.4,20,90,5,70
2011,2,12,0,22.6,16.5,19.5,82,7,70
2011,2,13,0,23.3,17.4,20.4,47,6,120
2011,2,14,13.8,22.9,16.3,19.6,92,5,20
2011,2,15,0,23,17.7,20.4,84,6,90
2011,2,16,0,24.7,20,22.4,85,4,120
2011,2,17,0,27.8,21.1,24.5,92,2,160
2011,2,18,0,25.8,19.1,22.5,90,4,90
2011,2,19,0,26,18.4,22.2,88,1,90
2011,2,20,0,26.5,19,22.8,89,3,360
2011,2,21,1,24.5,18,21.3,86,3,90
2011,2,22,0,25.5,17.8,21.7,83,3,90
2011,2,23,0,25.7,18.8,22.3,81,3,90
2011,2,24,0,25.2,18.6,21.9,85,3,90
2011,2,25,0,25.7,19.1,22.4,86,4,90
2011,2,26,0,24.5,17.8,21.2,83,4,90
2011,2,27,0,25,18.3,21.7,86,3,90
2011,2,28,0,26.3,21,23.7,91,3,90
2011,3,1,0,26.8,19.4,23.1,90,3,90
2011,3,2,0.1,22.1,18,20,90,7,70
2011,3,3,1,22.4,17.3,19.9,87,4,70
2011,3,4,1.7,21.2,16,18.6,88,6,70
2011,3,5,0,22.8,18.7,20.8,85,6,90
2011,3,6,7.8,24.5,21.3,22.9,91,3,120
2011,3,7,2,26.2,16.4,21.3,92,6,40
2011,3,8,0,23.1,16,19.5,79,6,70
2011,3,9,0,24.8,17.2,21,78,5,70
2011,3,10,0,24.7,18.1,21.4,84,4,90
2011,3,11,0,25.7,19.2,22.5,84,4,90
2011,3,12,0,27.1,17.5,22.3,88,3,150
2011,3,13,0,27.3,21,24.2,85,3,130
2011,3,14,0,27.2,21,24.1,88,4,90
2011,3,15,0.4,26.1,16.4,21.3,86,6,90
2011,3,16,0,20,15.5,17.8,86,7,40
2011,3,17,1.2,21.1,16.2,18.7,87,6,40
2011,3,18,0,23.7,18.1,20.9,81,6,90
2011,3,19,0.2,27,21,24,87,4,140
2011,3,20,0,27.7,22.3,25,88,4,140
2011,3,21,0,28.4,23.2,25.8,92,2,160
2011,3,22,3.8,27,17,22,92,5,40
2011,3,23,1.6,22,17,19.5,89,6,70
2011,3,24,0,25.3,17.8,21.6,85,5,70
2011,3,25,0.6,24.3,16.4,20.4,88,6,40
