YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,10.2,27,22,24.5,91,4,40
2011,1,2,12.3,25.5,21.7,23.6,88,4,40
2011,1,3,0,28.8,21.8,25.3,76,4,30
2011,1,4,1.2,28.8,22.5,25.7,75,5,40
2011,1,5,50,30,21,25.5,84,3,40
2011,1,6,21.2,25.6,20.6,23.1,92,2,60
2011,1,7,35.8,26,22,24,91,3,30
2011,1,8,68.6,26.5,22.5,24.5,96,3,40
2011,1,9,19.2,29.7,23,26.4,90,2,60
2011,1,10,96.4,26.6,22,24.3,94,4,40
2011,1,11,35,26.5,22,24.3,91,3,40
2011,1,12,55.6,28.8,22.3,25.6,88,2,60
2011,1,13,54.8,26.2,22,24.1,96,1,60
2011,1,14,0,30,22.4,26.2,89,1,90
2011,1,15,9.8,31,22.5,26.8,87,2,270
2011,1,16,22,25,20.5,22.8,90,4,30
2011,1,17,0,26.7,21.5,24.1,81,6,40
2011,1,18,29.8,27.5,21.3,24.4,86,3,40
2011,1,19,3.6,29.5,22.5,26,89,1,60
2011,1,20,0.5,29,22.5,25.8,92,2,40
2011,1,21,0,30.5,24,27.3,87,2,60
2011,1,22,3,30.7,23.5,27.1,86,3,90
2011,1,23,7.8,30,23.5,26.8,85,2,40
2011,1,24,156,29.6,22,25.8,89,4,40
2011,1,25,4.8,27.5,21.5,24.5,81,4,40
2011,1,26,0,29.1,23,26,75,4,60
2011,1,27,0,28,23,25.5,80,4,40
2011,1,28,0.4,29,22,25.5,79,3,60
2011,1,29,0,30.5,21.5,26,78,2,40
2011,1,30,0.8,29.5,22,25.8,79,3,30
2011,1,31,2.4,28.8,22,25.4,82,4,40
2011,2,1,0,27.5,22,24.8,77,6,50
2011,2,2,1,27.2,22,24.6,75,4,30
2011,2,3,15,29,23,26,89,4,40
2011,2,4,1.2,29.8,23.3,26.6,87,2,40
2011,2,5,0,29.6,23.3,26.5,84,3,40
2011,2,6,0,31,21.8,26.4,83,3,40
2011,2,7,0,30.2,22.6,26.4,89,2,60
2011,2,8,0,32,21.7,26.9,85,2,210
2011,2,9,4.6,33,22.3,27.7,82,1,90
2011,2,10,0,31.4,22.7,27,86,2,80
2011,2,11,0,32.1,23.7,27.9,82,2,30
2011,2,12,1.9,29,21,25,89,4,40
2011,2,13,13.4,29.8,22.5,26.2,79,4,40
2011,2,14,0.2,29.5,24,26.8,85,2,40
2011,2,15,0.4,31.5,23.2,27.4,78,3,40
2011,2,16,4,28,22.7,25.4,84,2,30
2011,2,17,0,30.5,22.6,26.5,85,3,40
2011,2,18,0,31,23.7,27.4,81,3,40
2011,2,19,0,30.1,21.5,25.8,81,3,40
2011,2,20,0,31,22.2,26.6,76,3,30
2011,2,21,0,30.3,22.7,26.5,73,4,40
2011,2,22,0,30.5,21.5,26,76,4,30
2011,2,23,0,29.5,22,25.8,75,3,30
2011,2,24,5.2,30.3,22,26.2,81,4,40
2011,2,25,0,29,20.9,25,75,4,30
2011,2,26,1.8,30,23,26.5,75,5,40
2011,2,27,10.6,28.1,23,25.5,89,3,30
2011,2,28,21.2,29.7,23,26.4,88,3,40
2011,3,1,4,28.8,23.5,26.2,92,2,40
2011,3,2,38.8,30,22.2,26.1,90,2,90
2011,3,3,97.7,25.6,21,23.3,98,2,40
2011,3,4,14.3,28.6,23,25.8,91,3,60
2011,3,5,15.2,29.1,22.8,26,92,3,40
2011,3,6,5.8,29.2,23,26.1,91,2,40
2011,3,7,0,29.5,23.5,26.5,88,2,40
2011,3,8,0,31.5,22.5,27,83,3,90
2011,3,9,3.4,31.1,23,27,80,3,60
2011,3,10,5.2,29.8,23,26.4,84,5,40
2011,3,11,0,29.4,23.8,26.6,78,4,30
2011,3,12,3.6,29.4,23,26.2,82,3,40
2011,3,13,31,29,22,25.5,91,3,30
2011,3,14,2.8,28.9,23.8,26.4,90,3,40
2011,3,15,15,26.4,22,24.2,89,2,40
2011,3,16,0,28.5,23.6,26,80,5,30
2011,3,17,22.4,27.7,22,24.9,88,4,40
2011,3,18,30.8,26.9,22,24.5,92,3,40
2011,3,19,1.8,28.5,23.1,25.8,85,3,40
2011,3,20,14,27,23.8,25.4,92,2,30
2011,3,21,18.8,27.5,23.5,25.5,94,2,40
2011,3,22,7.6,30.5,22.3,26.4,90,3,40
2011,3,23,36.6,26.7,22.3,24.5,91,3,30
2011,3,24,0.6,30,24,27,83,5,30
2011,3,25,1.4,28,24,26,86,5,40
2011,3,26,13.4,26,21.8,23.9,86,4,30
2011,3,27,77.6,27.5,22.2,24.9,92,2,30
2011,3,28,31.4,31.4,29.7,30.6,89,3,40
2011,3,29,3.4,29.5,23.5,26.5,86,3,30
2011,3,30,0,29.5,22.8,26.2,81,4,40
2011,3,31,0,30,22.9,26.5,79,5,20
2011,4,1,0,30,22,26,78,4,30
2011,4,2,0,30.5,19.7,25.1,76,3,40
2011,4,3,0,31,21,26,80,3,40
2011,4,4,0,31,22.5,26.8,75,3,40
2011,4,5,0,30.5,22.2,26.4,73,4,40
2011,4,6,1.6,30,21.2,25.6,76,3,30
2011,4,7,0,28.8,20.7,24.8,80,3,30
2011,4,8,0,30.5,22.4,26.5,75,3,30
2011,4,9,35.4,28.5,22,25.3,82,3,40
2011,4,10,0,30,23.2,26.6,80,3,40
2011,4,11,5.6,30,21.8,25.9,81,4,40
2011,4,12,2,29.5,22.5,26,87,4,40
2011,4,13,1,30,21.5,25.8,87,3,60
2011,4,14,0,31,19.9,25.5,78,3,40
2011,4,15,0,31,23.9,27.5,82,2,60
2011,4,16,0,31.5,23.5,27.5,84,2,90
2011,4,17,0,31.8,21.7,26.8,80,2,40
2011,4,18,0,32,23.2,27.6,82,2,90
2011,4,19,0,32.5,22.2,27.4,80,2,90
2011,4,20,29,31.6,21.9,26.8,82,4,60
2011,4,21,0,30.6,22.4,26.5,81,3,60
2011,4,22,0,31.2,24,27.6,79,2,60
2011,4,23,0,32,23,27.5,81,3,90
2011,4,24,0,31.7,24.8,28.3,78,3,60
2011,4,25,6.8,31.8,24.2,28,86,2,90
2011,4,26,0.5,31.5,24.5,28,88,2,40
2011,4,27,0,32.5,24.8,28.7,81,3,90
2011,4,28,1.7,32.5,26.3,29.4,81,3,40
2011,4,29,19.7,29,24,26.5,92,2,40
2011,4,30,15.8,30.6,23.7,27.2,89,3,60
2011,5,1,10.2,31.4,24,27.7,83,2,40
2011,5,2,0.2,32.3,25,28.6,82,2,60
2011,5,3,8.4,32.3,25,28.6,86,2,60
2011,5,4,8.6,32,23,27.5,89,2,40
2011,5,5,4.4,31.7,23.3,27.5,84,1,90
2011,5,6,15.6,26.6,23.4,25,93,2,30
2011,5,7,108.6,27.5,22.5,25,94,3,270
2011,5,8,127.6,26.5,20.4,23.5,92,6,240
2011,5,9,12,28.8,23,25.9,92,2,180
2011,5,10,0,32,23.4,27.7,86,2,210
2011,5,11,0,32,23,27.5,85,1,230
2011,5,12,0,32.4,24.8,28.6,84,2,60
2011,5,13,0,31.7,25,28.4,82,2,30
2011,5,14,0.8,32.5,24,28.3,82,2,40
2011,5,15,0,31.8,24.5,28.2,83,3,90
2011,5,16,0,32,24.5,28.3,80,3,40
2011,5,17,0,32.5,23.5,28,83,2,90
2011,5,18,0,32.6,23.5,28.1,80,2,90
2011,5,19,5.2,32.6,23.6,28.1,81,2,60
2011,5,20,0.2,31.4,23.5,27.5,81,1,60
2011,5,21,0,32.7,24,28.4,85,2,90
2011,5,22,0,32.2,24.5,28.4,85,1,90
2011,5,23,8.8,33.7,24.6,29.2,85,2,90
2011,5,24,0,33,24.5,28.8,86,2,40
2011,5,25,20.2,30.8,22.5,26.7,84,2,240
2011,5,26,28.1,27.6,22.8,25.2,94,3,240
2011,5,27,0,29.5,23.5,26.5,88,2,210
2011,5,28,0,32,23.6,27.8,87,3,220
2011,5,29,12.4,31.6,23,27.3,86,2,240
2011,5,30,0,31.5,23,27.3,87,2,240
2011,5,31,0,32.8,24,28.4,84,1,60
2011,6,1,3,33.2,24.5,28.9,84,2,90
2011,6,2,0,33,24.5,28.8,84,3,90
2011,6,3,33,32.5,23.8,28.2,89,1,60
2011,6,4,13.8,32.8,25,28.9,88,2,90
2011,6,5,1.8,32.8,26,29.4,86,3,40
2011,6,6,0,32,24.5,28.3,86,2,90
2011,6,7,67.4,29,24,26.5,93,1,40
2011,6,8,9,30.5,22.7,26.6,88,2,220
2011,6,9,4.8,31.4,22,26.7,89,1,90
2011,6,10,1.8,32,24.5,28.3,85,2,20
2011,6,11,0.8,32,23.7,27.9,87,2,40
2011,6,12,8,32.2,23.6,27.9,85,2,60
2011,6,13,3,29.8,24,26.9,88,2,40
2011,6,14,0,32,23.6,27.8,85,2,90
2011,6,15,36.4,31.6,22.6,27.1,91,2,60
2011,6,16,55,32.5,22,27.3,87,2,90
2011,6,17,14,30.3,22.3,26.3,88,1,60
2011,6,18,24.8,28.2,22,25.1,93,3,270
2011,6,19,2.2,29.8,22.9,26.4,90,3,250
2011,6,20,0,31.6,23.5,27.5,87,2,240
2011,6,21,0,32.5,24.4,28.5,83,3,240
2011,6,22,168.6,28.5,22.9,25.7,94,2,220
2011,6,23,22,27,22,24.5,93,6,220
2011,6,24,2.2,30,22.8,26.4,90,3,220
2011,6,25,0,32,23.1,27.5,87,3,220
2011,6,26,0,32.5,24.4,28.5,85,2,180
2011,6,27,0,33,24,28.5,86,1,60
2011,6,28,2.4,33.2,23.7,28.5,82,2,90
2011,6,29,45.8,32.4,22.5,27.5,89,1,280
2011,6,30,19,32,22.2,27.1,89,2,90
2011,7,1,0,31.5,23.7,27.6,89,2,40
2011,7,2,0,32,22.2,27.1,84,2,60
2011,7,3,4,31.7,22.5,27.1,85,2,60
2011,7,4,1.6,29.3,22.2,25.8,89,2,60
2011,7,5,3,28.6,24,26.3,90,2,240
2011,7,6,25,30.5,22,26.3,93,3,220
2011,7,7,6.6,31.1,23.3,27.2,88,2,210
2011,7,8,2.4,30,24.5,27.3,89,2,240
2011,7,9,0.6,31.5,23.4,27.5,86,3,220
2011,7,10,2.6,30.6,22.2,26.4,88,2,250
2011,7,11,0,30,23,26.5,87,2,250
2011,7,12,0,32.1,23,27.6,83,6,240
2011,7,13,0.8,32,22,27,85,2,240
2011,7,14,0,32.1,22.5,27.3,87,2,240
2011,7,15,4.6,33.5,23.2,28.4,83,3,270
2011,7,16,1.2,31.5,23.3,27.4,88,2,250
2011,7,17,0,32.6,24.3,28.5,83,3,250
2011,7,18,0,33.2,24.5,28.9,83,4,220
2011,7,19,0,32.1,25,28.6,85,4,240
2011,7,20,0,33,24,28.5,81,3,270
2011,7,21,29.4,33,22.6,27.8,88,2,240
2011,7,22,13.4,32.3,24,28.1,87,2,90
2011,7,23,19,32,21.8,26.9,89,2,90
2011,7,24,32,27.8,21.4,24.6,94,2,250
2011,7,25,295.6,25.2,20,22.6,94,6,270
2011,7,26,247.4,26.3,22,24.2,93,6,220
2011,7,27,5.4,29.3,22,25.7,93,2,210
2011,7,28,8,30.4,22.7,26.5,89,2,250
2011,7,29,0.6,30.5,24,27.3,86,4,240
2011,7,30,3.6,32.5,23,27.8,84,3,270
2011,7,31,16,30.8,22.7,26.8,84,3,250
2011,8,1,47.2,29.8,21.3,25.6,91,2,220
2011,8,2,0.2,32.2,23.8,28,86,2,220
2011,8,3,7.4,31.1,23,27,89,4,220
2011,8,4,5,31,23.1,27,88,3,240
2011,8,5,5.6,31.2,23.8,27.5,86,4,220
2011,8,6,8.8,30,23.6,26.8,88,3,220
2011,8,7,0,31.5,23.5,27.5,84,3,240
2011,8,8,0,31.5,23.5,27.5,87,3,220
2011,8,9,53.2,33,21.6,27.3,84,2,270
2011,8,10,3,32,21,26.5,90,1,270
2011,8,11,12.2,31.5,23.2,27.4,86,2,90
2011,8,12,11.8,32,22.5,27.3,84,2,90
2011,8,13,31.2,30.5,22,26.3,87,2,90
2011,8,14,14.2,30.5,21.7,26.1,91,1,30
2011,8,15,8.4,31,23.6,27.3,89,1,90
2011,8,16,0,33.5,23.2,28.4,87,2,90
2011,8,17,2.8,32.8,23.5,28.1,86,1,90
2011,8,18,0,32.2,22,27.1,89,2,90
2011,8,19,1.4,32.2,22,27.1,90,1,320
2011,8,20,0,32.5,21.7,27.1,86,2,90
2011,8,21,10.2,32.8,22,27.4,87,2,60
2011,8,22,36.5,31,22.2,26.6,94,3,250
2011,8,23,11.2,27.5,22,24.8,94,2,270
2011,8,24,9.2,29.5,23.4,26.5,91,3,240
2011,8,25,10.2,27.7,23,25.4,93,4,240
2011,8,26,1,30.5,24,27.3,86,6,220
2011,8,27,3.2,29,23,26,88,4,220
2011,8,28,0,32.2,23.6,27.9,79,4,240
2011,8,29,0,32.4,25,28.7,85,3,240
2011,8,30,0,33.5,24,28.8,80,4,240
2011,8,31,0,32.7,23.6,28.2,84,4,240
2011,9,1,0,32.1,23.2,27.7,85,4,240
2011,9,2,0,32.8,24.4,28.6,83,4,240
2011,9,3,2.6,32.8,24,28.4,85,2,220
2011,9,4,8.4,34,22.5,28.3,79,3,240
2011,9,5,6.8,32,23,27.5,86,3,240
2011,9,6,3.8,31.7,22.5,27.1,85,3,240
2011,9,7,8.4,29.2,22.5,25.9,93,2,220
2011,9,8,1.6,28,22,25,93,2,210
2011,9,9,2.4,29.5,23.4,26.5,90,1,270
2011,9,10,0.2,30.2,21.5,25.9,91,1,90
2011,9,11,45.2,32.6,22.2,27.4,88,1,210
2011,9,12,0,32.4,24.2,28.3,85,2,250
2011,9,13,1.4,32.5,24,28.3,84,3,240
2011,9,14,12.4,32.5,23,27.8,88,3,220
2011,9,15,5.4,32,23.5,27.8,86,3,240
2011,9,16,0,32.2,24,28.1,85,3,240
2011,9,17,0,33.5,24,28.8,84,3,240
2011,9,18,0,32.5,23.4,28,83,3,240
2011,9,19,2.4,31.7,23,27.4,83,3,250
2011,9,20,0,33.5,23.7,28.6,81,3,270
2011,9,21,0,33.2,24,28.6,85,2,240
2011,9,22,0,31.5,22,26.8,85,2,240
2011,9,23,16.8,30.6,24,27.3,88,2,240
2011,9,24,0,31,23.2,27.1,87,3,240
2011,9,25,65,31.3,22,26.7,87,5,250
2011,9,26,132.2,26.5,22,24.3,90,8,250
2011,9,27,1.6,30.5,22.3,26.4,87,3,210
2011,9,28,0,30.8,23,26.9,89,3,220
2011,9,29,0,32.6,24.5,28.6,79,3,270
2011,9,30,20.6,31.2,22.5,26.9,90,3,270
2011,10,1,4.4,32.2,23.4,27.8,85,3,220
2011,10,2,5.8,31,22,26.5,88,2,210
2011,10,3,0,31.4,22.8,27.1,84,3,250
2011,10,4,1.8,32,21.8,26.9,82,2,240
2011,10,5,0,33,22.5,27.8,84,3,90
2011,10,6,1.2,31,22.5,26.8,82,3,60
2011,10,7,6.6,31.8,22.5,27.2,92,2,40
2011,10,8,51,28,21.6,24.8,96,1,90
2011,10,9,0,30,21.2,25.6,91,1,210
2011,10,10,0.6,31.4,22,26.7,84,1,270
2011,10,11,61.1,28.6,21.8,25.2,90,2,40
2011,10,12,23.4,27.2,21,24.1,96,2,40
2011,10,13,4.6,29.8,22,25.9,90,1,60
2011,10,14,0,31.5,23,27.3,87,2,210
2011,10,15,9.2,32,21.2,26.6,89,2,90
2011,10,16,0,31.5,22.5,27,85,2,60
2011,10,17,0,32.2,23.5,27.9,84,2,90
2011,10,18,0,32.5,22,27.3,81,2,90
2011,10,19,6,32,22,27,84,2,90
2011,10,20,0,32,21.5,26.8,87,2,60
2011,10,21,0,32.8,23.5,28.1,84,2,90
2011,10,22,21.2,32,21.3,26.7,82,2,90
2011,10,23,10.6,31.3,22.5,26.9,86,2,60
2011,10,24,3.6,29.3,21.6,25.5,91,1,60
2011,10,25,1.2,32,22,27,83,3,40
2011,10,26,0,32,22,27,80,3,40
2011,10,27,0,32.3,23.7,28,81,3,60
2011,10,28,35,32.8,22,27.4,83,3,40
2011,10,29,0,31,21.5,26.3,87,2,30
2011,10,30,5.4,32.2,21.5,26.9,85,2,40
2011,10,31,4.9,31.8,23.5,27.7,82,3,40
2011,11,1,65.4,28.5,21.5,25,93,2,40
2011,11,2,57.5,28.2,21.2,24.7,93,1,40
2011,11,3,32.4,27,21.9,24.5,95,2,60
2011,11,4,0.4,30.5,23,26.8,90,1,40
2011,11,5,21.8,28,20.5,24.3,96,1,240
2011,11,6,0,31.8,20.7,26.3,87,1,120
2011,11,7,13.4,31.4,22.4,26.9,87,1,90
2011,11,8,0,31,21.2,26.1,91,1,90
2011,11,9,0,32.5,20.7,26.6,87,1,150
2011,11,10,0,32.5,21,26.8,84,1,210
2011,11,11,9.8,32.5,23,27.8,84,2,40
2011,11,12,0.6,32,22.8,27.4,83,2,40
2011,11,13,6.8,30.8,23,26.9,82,3,30
2011,11,14,47.6,29.2,21,25.1,93,2,30
2011,11,15,44.6,27.7,21.5,24.6,96,2,40
2011,11,16,0.4,31.8,23.5,27.7,89,1,70
2011,11,17,20.4,31,22,26.5,87,2,60
2011,11,18,3.4,31,23.2,27.1,84,2,80
2011,11,19,12.4,30.8,22.6,26.7,89,2,30
2011,11,20,23.2,29,23,26,90,2,40
2011,11,21,65.6,30,21.5,25.8,93,3,30
2011,11,22,47,28.5,22,25.3,91,2,40
2011,11,23,0,31.4,22.5,27,83,3,60
2011,11,24,21.6,30.2,21.5,25.9,84,3,40
2011,11,25,2,29.8,22,25.9,84,3,60
2011,11,26,40.6,28.8,20.5,24.7,91,2,40
2011,11,27,0,31.5,20.2,25.9,89,1,90
2011,11,28,0,31.5,23.5,27.5,83,2,60
2011,11,29,0.4,31.5,24,27.8,86,2,40
2011,11,30,4.2,31,21,26,89,2,40
2011,12,1,2.8,31,21,26,89,1,90
2011,12,2,0.8,31.5,23.5,27.5,89,2,40
2011,12,3,1.2,32.5,23,27.8,87,1,40
2011,12,4,44.2,30.5,21,25.8,92,2,40
2011,12,5,83.8,28,20.4,24.2,96,1,40
2011,12,6,110.2,29.4,20.8,25.1,88,2,30
2011,12,7,86,28,20.5,24.3,80,2,60
2011,12,8,53.7,28.8,21.4,25.1,92,2,40
2011,12,9,13.8,27,20.5,23.8,93,2,40
2011,12,10,0,29.9,20.6,25.3,91,2,40
2011,12,11,0,30.8,21,25.9,87,1,90
2011,12,12,2.6,31.7,22,26.9,84,2,30
2011,12,13,5.6,31.5,22.4,27,88,2,40
2011,12,14,7,31.5,21.5,26.5,88,2,40
2011,12,15,12.4,29.6,21.5,25.5,84,3,40
2011,12,16,27.8,29.5,21,25.3,88,4,40
2011,12,17,79.8,27.4,21,24.2,93,2,40
2011,12,18,25.8,28.8,20.5,24.7,85,2,60
2011,12,19,2.2,30,22.5,26.3,88,2,60
2011,12,20,83.8,28.9,22,25.5,91,1,40
2011,12,21,3,28.5,20,24.3,92,1,40
2011,12,22,0,31,21,26,82,2,60
2011,12,23,1,31.5,21,26.3,83,3,40
2011,12,24,12.6,28.2,19.5,23.9,90,4,40
2011,12,25,20.6,26.4,20.7,23.5,94,4,30
2011,12,26,3.6,27.6,21.4,24.5,85,6,30
2011,12,27,42.6,26.7,19.5,23.1,92,2,40
2011,12,28,0,31.9,22,27,84,2,40
2011,12,29,7.2,29,21.4,25.2,87,3,60
2011,12,30,1,29.6,22.4,26,86,4,30
2011,12,31,4.2,30.2,21.8,26,82,4,40
2012,1,1,0,31.4,22,26.7,81,3,30
2012,1,2,0,31,22.5,26.8,84,3,40
2012,1,3,36.2,30.5,21,25.8,84,2,40
2012,1,4,28.2,30,20,25,90,3,40
2012,1,5,7.1,29.2,21.5,25.4,80,4,40
2012,1,6,12.7,28,21,24.5,90,3,40
2012,1,7,48.2,30.6,24,27.3,86,3,40
2012,1,8,47.6,26.4,20.4,23.4,94,2,30
2012,1,9,14.7,28.5,22.5,25.5,90,3,40
2012,1,10,12.4,30.1,23.5,26.8,88,3,40
2012,1,11,0,30.3,22,26.2,83,3,40
2012,1,12,12.6,28.8,24,26.4,83,3,40
2012,1,13,23.7,27.2,21.2,24.2,91,3,40
2012,1,14,8.1,29.8,21,25.4,86,2,60
2012,1,15,0.8,29.5,20.5,25,90,1,40
2012,1,16,0,31,21.5,26.3,85,2,60
2012,1,17,16.3,30,21.1,25.5,88,2,40
2012,1,18,0,30,21,25.5,90,2,40
2012,1,19,0,31,21,26,85,2,90
2012,1,20,18.6,31.5,21.5,26.5,84,2,40
2012,1,21,13.7,26.4,20.5,23.5,94,2,40
2012,1,22,2.8,28.4,17.8,23.1,89,2,40
2012,1,23,0.6,30.8,22,26.4,80,2,60
2012,1,24,0,31.6,21.5,26.5,87,2,40
2012,1,25,10.4,30.5,20,25.3,85,3,40
2012,1,26,15.2,27.4,20.2,23.8,86,4,40
2012,1,27,78.6,28.5,21,24.8,91,3,40
2012,1,28,1,29,21,25,93,2,40
2012,1,29,4.6,30.6,20.8,25.7,87,2,30
2012,1,30,29.8,26.8,21.5,24.2,91,1,40
2012,1,31,0.6,30.6,21,25.8,87,2,40
2012,2,1,47,25.8,19,22.4,92,2,40
2012,2,2,141,25.4,19.5,22.5,94,3,40
2012,2,3,9.9,27.8,20,23.9,87,3,40
2012,2,4,5.4,29.5,20,24.8,81,3,40
2012,2,5,10,28.6,20,24.3,84,3,40
2012,2,6,0.5,28.8,20.7,24.8,89,2,40
2012,2,7,0.6,31.6,22.5,27,84,2,40
2012,2,8,20.2,26.5,21.5,24,86,3,40
2012,2,9,8.8,28.5,20.5,24.5,84,3,60
2012,2,10,0.6,30.5,21.5,26,83,4,40
2012,2,11,43.6,28.7,20.5,24.6,80,4,40
2012,2,12,141.1,26.5,20,23.3,94,2,270
2012,2,13,48.6,28.3,20.5,24.4,89,3,90
2012,2,14,24.4,29.5,21.5,25.5,90,2,40
2012,2,15,22.6,29.3,21,25.2,90,2,40
2012,2,16,57.6,27.5,21.5,24.5,94,2,60
2012,2,17,2.2,30,21.5,25.8,89,2,50
2012,2,18,31,30.7,20.5,25.6,85,2,40
2012,2,19,33,28.5,20.8,24.7,93,2,60
2012,2,20,0,29.8,21.4,25.6,87,2,90
2012,2,21,4.4,31.2,22.4,26.8,84,2,60
2012,2,22,0.6,31.2,20.8,26,86,2,40
2012,2,23,0,30.8,18.5,24.7,82,2,40
2012,2,24,2.8,31.3,22.4,26.9,79,2,40
2012,2,25,0,30.8,22.6,26.7,84,2,40
2012,2,26,49.8,31.6,20.5,26,86,9,40
2012,2,27,18.3,31.4,21,26.2,80,2,90
2012,2,28,0.2,30.8,21.5,26.2,83,2,40
2012,2,29,0,31.5,21.5,26.5,82,3,40
2012,3,1,1.4,31.3,22,26.7,80,4,40
2012,3,2,7.2,30.5,22.5,26.5,86,4,90
2012,3,3,0.4,31.5,21.5,26.5,77,3,90
2012,3,4,4.6,29.4,21,25.2,85,3,40
2012,3,5,3,30.8,22,26.4,80,3,40
2012,3,6,21,31.6,22.5,27,86,2,90
2012,3,7,5,31,21.5,26.3,83,2,90
2012,3,8,6.6,30.5,20.5,25.5,79,2,40
2012,3,9,0,31.2,21.4,26.3,78,2,30
2012,3,10,0,31.4,22.8,27.1,78,3,40
2012,3,11,10.1,30.7,21.1,25.9,79,3,40
2012,3,12,9.2,30.7,21.4,26,81,2,60
2012,3,13,25.3,31.5,21,26.3,82,2,90
2012,3,14,0,30.8,22.7,26.8,79,3,90
2012,3,15,4.8,31,22,26.5,80,4,60
2012,3,16,3.4,30.7,21,25.9,83,3,60
2012,3,17,9.2,30.8,21,25.9,77,3,60
2012,3,18,2.6,28.8,21.5,25.2,81,2,40
2012,3,19,78,26,20.4,23.2,91,2,30
2012,3,20,53.2,26.4,19,22.7,91,2,90
2012,3,21,58.6,27.5,19,23.3,93,3,40
2012,3,22,6.2,30.7,22.2,26.5,91,2,60
2012,3,23,0.2,30.5,20.6,25.5,91,2,90
2012,3,24,20.4,32,20.5,26.3,85,2,90
2012,3,25,1.8,30.2,20.7,25.5,85,2,90
2012,3,26,93.2,26.4,20,23.2,91,3,40
2012,3,27,18.6,27,20.2,23.6,90,4,40
2012,3,28,128.2,28,19.7,23.9,93,3,40
2012,3,29,29.8,28.5,21,24.8,91,2,40
2012,3,30,7.3,30.6,21.8,26.2,88,3,60
2012,3,31,5,27.8,21,24.4,92,2,30
2012,4,1,28.3,30,20.9,25.5,88,2,40
2012,4,2,3.2,30.8,21.4,26.1,84,3,40
2012,4,3,1.8,31.2,22.2,26.7,87,2,60
2012,4,4,0,31,20.7,25.9,81,3,90
2012,4,5,0,31.2,21,26.1,80,2,90
2012,4,6,0,31.5,22.7,27.1,81,3,40
2012,4,7,0,32.4,22.9,27.7,80,3,60
2012,4,8,1.3,32,22,27,78,3,60
2012,4,9,8,31.6,21,26.3,82,3,90
2012,4,10,3,28.4,21.6,25,89,2,40
2012,4,11,6.5,30.5,21.4,26,81,2,60
2012,4,12,0,32,22,27,82,2,40
2012,4,13,0,31.5,20.6,26,80,3,80
2012,4,14,0,31.5,21.7,26.6,71,2,60
2012,4,15,0,31.4,22.1,26.8,82,3,60
2012,4,16,0,31.5,20,25.8,80,2,60
2012,4,17,0.6,31,20.3,25.7,78,2,40
2012,4,18,0,31.8,20.3,26.1,78,2,80
2012,4,19,9.7,31.6,22.2,26.9,72,2,90
2012,4,20,38.2,30.8,20.5,25.7,85,2,30
2012,4,21,4.1,31.7,22,26.9,81,3,60
2012,4,22,0.2,31.5,23.7,27.6,82,2,60
2012,4,23,0,31.8,22.1,27,84,2,40
