YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,3.3,30.3,22,26.2,86,2,270
2011,1,2,7.4,29.8,23,26.4,85,1,340
2011,1,3,13.4,26.4,21,23.7,96,1,220
2011,1,4,1.4,29,22,25.5,88,2,360
2011,1,5,0.1,27.4,22.7,25,96,1,220
2011,1,6,0,29.9,21.6,25.8,86,2,330
2011,1,7,11.2,30.5,23.4,27,86,1,330
2011,1,8,0,32,21.9,27,87,2,360
2011,1,9,0,32,21.1,26.5,84,1,360
2011,1,10,0,31,23,27,86,2,340
2011,1,11,0.2,31.2,23.6,27.4,87,2,160
2011,1,12,0,30.5,22.8,26.7,86,2,360
2011,1,13,1,31.8,23.2,27.5,87,2,360
2011,1,14,8.9,31.6,21,26.3,87,2,240
2011,1,15,18.9,31.4,22.6,27,88,1,360
2011,1,16,0,30.4,22.5,26.5,88,1,180
2011,1,17,5.4,31,22.8,26.9,88,1,360
2011,1,18,1.2,27.2,22.7,25,93,1,280
2011,1,19,7,30.4,20.9,25.6,91,1,220
2011,1,20,0,30,21.7,25.9,88,1,360
2011,1,21,0,31,22,26.5,85,2,40
2011,1,22,2.2,31,22.5,26.8,86,2,220
2011,1,23,2.2,29.2,22.5,25.9,92,1,220
2011,1,24,3.1,31,22.3,26.7,86,1,40
2011,1,25,0.4,31.2,21.8,26.5,85,2,330
2011,1,26,23.9,30.1,21.3,25.7,94,2,340
2011,1,27,5.6,26.5,22,24.3,92,1,220
2011,1,28,0.6,29.6,21.3,25.5,86,1,220
2011,1,29,0,29.4,22.4,25.9,86,2,340
2011,1,30,5.2,29.1,22.3,25.7,89,2,140
2011,1,31,58.2,25,20.5,22.8,97,1,340
2011,2,1,2.8,25.6,23,24.3,95,1,330
2011,2,2,0,28.5,23,25.8,91,2,340
2011,2,3,4.6,30.9,21.8,26.4,90,2,220
2011,2,4,21.3,29.3,22.6,26,90,2,360
2011,2,5,9.2,31,22.5,26.8,90,1,180
2011,2,6,0,32,23,27.5,86,1,180
2011,2,7,15,31,21.5,26.3,90,1,330
2011,2,8,0,31.8,23,27.4,85,1,360
2011,2,9,0,31.6,23.3,27.5,85,2,360
2011,2,10,0,33,23.2,28.1,85,2,220
2011,2,11,0,31.3,22.5,26.9,83,2,360
2011,2,12,28,32,22,27,85,2,220
2011,2,13,4.8,30.1,22,26,91,2,360
2011,2,14,0,29.8,21.5,25.7,88,1,330
2011,2,15,0,31,23,27,86,2,330
2011,2,16,0.4,32,22.3,27.2,84,2,360
2011,2,17,10.9,27,21.3,24.2,92,1,180
2011,2,18,0.4,29,22,25.5,88,1,210
2011,2,19,0.6,29.8,23,26.4,90,2,360
2011,2,20,0,31.3,22.4,26.9,89,1,360
2011,2,21,0.2,30,22.8,26.4,88,2,220
2011,2,22,14.1,27.4,20.7,24,95,2,30
2011,2,23,0,27.1,19.8,23.5,89,1,270
2011,2,24,0,29.8,17.5,23.7,80,2,360
2011,2,25,2.1,29.1,20.5,24.8,83,2,360
2011,2,26,12.8,27.8,21.6,24.7,89,1,180
2011,2,27,38.8,26.2,22.2,24.2,96,1,220
2011,2,28,0.2,29,22.8,25.9,92,1,220
2011,3,1,3.4,30.2,22.7,26.5,89,1,360
2011,3,2,2.4,31,22.7,26.9,87,1,60
2011,3,3,23.4,31.5,21.6,26.5,86,2,160
2011,3,4,0,30.8,22,26.4,88,2,360
2011,3,5,0,31.6,21,26.3,83,2,180
2011,3,6,0.2,27.4,21.8,24.6,91,1,220
2011,3,7,0,31.4,22.5,27,84,2,220
2011,3,8,12.5,32,22.3,27.2,85,2,360
2011,3,9,4.8,30.6,22.3,26.5,89,2,220
2011,3,10,0,30.8,24.1,27.5,85,2,220
2011,3,11,0.3,30.8,23.9,27.4,89,2,320
2011,3,12,0,29.4,19.8,24.6,89,2,340
2011,3,13,2.4,31.4,21.2,26.3,84,1,220
2011,3,14,4.2,29.8,23.9,26.9,92,1,360
2011,3,15,11,30.4,22,26.2,92,2,360
2011,3,16,2,30,23,26.5,90,1,240
2011,3,17,1.3,30.4,23,26.7,88,2,360
2011,3,18,0.2,30.4,24,27.2,87,1,180
2011,3,19,0.5,28,22,25,96,1,220
2011,3,20,0,31.2,22.5,26.9,87,2,360
2011,3,21,1,31.8,23,27.4,90,1,340
2011,3,22,0,31.8,22,26.9,89,1,270
2011,3,23,20,31.8,23.1,27.5,86,2,360
2011,3,24,38.2,29.5,20,24.8,90,2,270
2011,3,25,1.4,29,23.3,26.2,90,2,340
2011,3,26,0,30.4,23.5,27,90,1,340
2011,3,27,1,31.4,22.8,27.1,88,1,360
2011,3,28,0,31,22.8,26.9,87,1,360
2011,3,29,0,31,23,27,84,1,360
2011,3,30,0,31.2,22.1,26.7,80,2,360
2011,3,31,1.1,31.8,23.7,27.8,80,2,360
2011,4,1,11.4,28,23,25.5,92,2,320
2011,4,2,0,30.2,22.2,26.2,88,1,220
2011,4,3,0,32,21,26.5,82,1,360
2011,4,4,0,32,22.5,27.3,80,1,360
2011,4,5,0,30.4,22.6,26.5,83,2,360
2011,4,6,0,31.4,23.2,27.3,82,3,360
2011,4,7,0,32.4,22.1,27.3,76,2,320
2011,4,8,0,31.2,21.8,26.5,80,3,340
2011,4,9,0,32.2,21.7,27,79,2,360
2011,4,10,0,31.4,24,27.7,81,2,360
2011,4,11,0,30.2,23.4,26.8,83,1,360
2011,4,12,0,32.4,22.8,27.6,82,2,360
2011,4,13,0,32,22.1,27,83,2,360
2011,4,14,0,31.6,23.9,27.8,81,2,320
2011,4,15,0,30.2,23.3,26.8,89,2,340
2011,4,16,0,31.8,22.5,27.2,84,2,220
2011,4,17,0,32.6,23,27.8,84,1,360
2011,4,18,0,32.2,22,27.1,78,1,360
2011,4,19,0,33.4,23.1,28.3,76,2,360
2011,4,20,0.2,32.5,22.8,27.7,80,2,220
2011,4,21,0,32.9,23.3,28.1,83,3,340
2011,4,22,0,28.9,23,26,89,2,360
2011,4,23,0,31.4,23,27.2,83,1,180
2011,4,24,0.3,33.2,23.5,28.4,83,1,360
2011,4,25,1,32.6,23,27.8,85,2,360
