YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,5.3,28.2,24.4,26.3,90,3,360
2011,1,2,45.6,26.2,23.4,24.8,95,3,20
2011,1,3,0.8,27,23.6,25.3,90,4,20
2011,1,4,0,28,24.8,26.4,87,4,360
2011,1,5,18.8,26.6,24,25.3,93,3,20
2011,1,6,0,28,23.8,25.9,90,2,20
2011,1,7,1.4,30,24.6,27.3,90,2,360
2011,1,8,2.6,29.5,24.7,27.1,88,2,20
2011,1,9,21.1,30,24.8,27.4,90,2,20
2011,1,10,59,27.4,24.2,25.8,94,2,320
2011,1,11,3,29,24,26.5,93,3,360
2011,1,12,0,30.5,25,27.8,87,3,320
2011,1,13,0,30,24.4,27.2,88,2,360
2011,1,14,0,31,25,28,89,1,40
2011,1,15,24.9,30.4,23.6,27,90,2,220
2011,1,16,21,27.5,24.2,25.9,96,3,360
2011,1,17,13,26.8,23.4,25.1,93,4,360
2011,1,18,15.4,25,23,24,94,1,300
2011,1,19,18.2,30.4,23.6,27,88,2,300
2011,1,20,0,29.7,24,26.9,90,1,320
2011,1,21,0,31.2,25,28.1,88,2,320
2011,1,22,20.5,30.8,24.4,27.6,88,2,20
2011,1,23,0,29.5,25.2,27.4,91,2,360
2011,1,24,4,29.2,24.4,26.8,94,2,360
2011,1,25,47.6,30.6,23.8,27.2,90,4,20
2011,1,26,31.2,27.6,23.8,25.7,92,6,360
2011,1,27,30.6,25.2,23.4,24.3,94,3,20
2011,1,28,19.3,25.6,24.2,24.9,92,3,360
2011,1,29,0,30,24.2,27.1,85,3,40
2011,1,30,0,30.5,23.8,27.2,84,4,20
2011,1,31,2.6,27.5,23.8,25.7,87,5,360
2011,2,1,7.4,25.6,22.6,24.1,94,5,360
2011,2,2,1.6,26.4,23,24.7,92,4,20
2011,2,3,0.6,30.5,24.4,27.5,89,2,20
2011,2,4,1,30.2,25,27.6,90,2,20
2011,2,5,0,32,25,28.5,86,2,40
2011,2,6,0,31.8,24.6,28.2,86,2,40
2011,2,7,19.4,30.4,23.8,27.1,90,1,40
2011,2,8,0,31.4,24.4,27.9,85,1,320
2011,2,9,0,32,24.6,28.3,88,2,300
2011,2,10,0,33,25.2,29.1,85,2,320
2011,2,11,0,33.1,25.4,29.3,85,2,40
2011,2,12,8.6,33.4,25,29.2,86,3,20
2011,2,13,10.2,27.5,24.2,25.9,91,2,20
2011,2,14,0,28.8,24.5,26.7,87,3,40
2011,2,15,12.8,32,24.6,28.3,86,3,20
2011,2,16,0,31,24.8,27.9,88,3,20
2011,2,17,0.4,30.2,24.6,27.4,87,3,20
2011,2,18,0,30.6,25,27.8,88,3,20
2011,2,19,1.5,30.5,25,27.8,84,3,20
2011,2,20,0.6,31.5,24.6,28,84,3,30
2011,2,21,0,31,24.4,27.7,83,3,360
2011,2,22,0,29.9,24.4,27.1,83,3,360
2011,2,23,0,30,23.4,26.7,80,3,360
2011,2,24,13.6,30.3,24,27.2,83,3,40
2011,2,25,0.2,30.4,23.8,27.1,87,4,360
2011,2,26,3.2,30.5,23.4,27,84,4,20
