YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,32,29,15.8,22.4,91,1,360
2011,1,2,25.6,29,17,23,90,1,40
2011,1,3,15.4,24,15,19.5,97,1,90
2011,1,4,6,30,17.6,23.8,89,1,40
2011,1,5,1.8,23.2,15.5,19.4,95,1,120
2011,1,6,0.4,30,15.4,22.7,88,1,360
2011,1,7,0,31,17,24,85,1,340
2011,1,8,0.2,31,15.5,23.3,88,1,180
2011,1,9,0,30,13,21.5,85,1,20
2011,1,10,0,32,17,24.5,83,1,270
2011,1,11,0.3,31,16.6,23.8,86,1,90
2011,1,12,23.5,30,17.5,23.8,92,1,180
2011,1,13,24,31.5,18,24.8,88,1,90
2011,1,14,53.6,30,15.5,22.8,89,1,90
2011,1,15,32.3,30.5,17.5,24,88,1,40
2011,1,16,0,32,16,24,92,1,40
2011,1,17,38.7,30,15.5,22.8,90,1,90
2011,1,18,2.4,27,14.7,20.9,91,1,360
2011,1,19,12,28.5,14.5,21.5,94,1,360
2011,1,20,0,30,15,22.5,88,1,180
2011,1,21,0,30.5,15.5,23,85,1,160
2011,1,22,16.4,30.9,17.4,24.1,84,1,90
2011,1,23,1.2,27,17,22,92,1,360
2011,1,24,8.9,29,16.5,22.8,88,1,20
2011,1,25,0,30,16.6,23.3,87,1,40
2011,1,26,26.8,28.8,16.5,22.7,87,1,20
2011,1,27,12.7,28.5,16.5,22.5,92,1,20
2011,1,28,0.3,27,16,21.5,92,1,90
2011,1,29,0,28,16.6,22.3,84,1,90
2011,1,30,2.7,27,16.5,21.8,89,1,360
2011,1,31,43.3,25,16,20.5,96,1,320
2011,2,1,3.1,26,16.5,21.3,95,1,30
2011,2,2,0,29.6,16.5,23,92,1,360
2011,2,3,10.1,31,17,24,88,1,40
2011,2,4,4.4,31.6,15.6,23.6,89,1,40
2011,2,5,11.2,31.5,17.4,24.5,87,1,360
2011,2,6,0,32.4,19,25.7,84,1,180
2011,2,7,31.8,32,15.5,23.8,88,1,270
2011,2,8,0,31,17.2,24.1,81,1,90
2011,2,9,7.1,32.5,17.5,25,86,1,120
2011,2,10,21,32.5,19,25.8,89,1,180
2011,2,11,9.4,31.5,16.4,24,88,1,180
2011,2,12,13.4,30.8,16.6,23.7,88,1,270
2011,2,13,1.2,30.6,16.4,23.5,90,1,20
2011,2,14,0,31.5,17,24.3,85,1,30
2011,2,15,7.9,29.5,17.2,23.4,87,1,90
2011,2,16,8.1,31.2,16.4,23.8,86,1,60
2011,2,17,36.9,25,15.6,20.3,99,1,10
2011,2,18,0.4,29.5,16.1,22.8,90,1,180
2011,2,19,0.4,31.5,17.4,24.5,83,1,90
2011,2,20,0,31.5,15.9,23.7,86,1,270
2011,2,21,0,31.6,17.5,24.5,85,1,30
2011,2,22,23.2,26,14.4,20.2,94,1,90
2011,2,23,0,25,14.5,19.8,88,1,360
2011,2,24,0,29.6,13,21.3,87,1,270
2011,2,25,5,29,14,21.5,88,1,10
2011,2,26,9.5,27,16.5,21.8,90,1,360
2011,2,27,63,26,16.5,21.3,94,1,360
2011,2,28,2.4,30.6,17,23.8,87,1,180
2011,3,1,0.9,30,16.6,23.3,89,1,10
2011,3,2,11.4,30.5,16.5,23.5,86,1,30
2011,3,3,16.4,29.5,16.1,22.8,89,1,180
2011,3,4,0,32.5,15.7,24.1,86,1,180
2011,3,5,6.5,27.8,16.5,22.2,88,1,160
2011,3,6,2.6,27,15.4,21.2,95,1,160
2011,3,7,0,31.5,17,24.3,85,1,360
2011,3,8,8.9,30.5,17.2,23.9,87,1,40
2011,3,9,1.6,26,17,21.5,93,1,90
2011,3,10,0,32,15,23.5,79,1,360
2011,3,11,0,31.5,17,24.3,91,1,360
2011,3,12,0,29.8,14,21.9,85,1,90
2011,3,13,1.2,31.6,18,24.8,86,1,20
2011,3,14,2.4,31.2,17.5,24.4,87,1,90
2011,3,15,0.8,30,15.8,22.9,88,1,180
2011,3,16,0,28,16.5,22.3,90,1,360
2011,3,17,0,32,18,25,82,1,90
2011,3,18,7.4,30,17.5,23.8,90,1,140
2011,3,19,1,27,17.3,22.2,94,1,160
2011,3,20,2.2,29,17,23,91,1,40
2011,3,21,1.6,29,16.5,22.8,91,1,360
2011,3,22,0,31,17,24,87,1,90
2011,3,23,13.6,29.5,18,23.8,88,1,180
2011,3,24,13.6,28,16,22,92,1,90
2011,3,25,4.8,30,17.5,23.8,93,1,160
2011,3,26,1.5,29.5,18.5,24,86,1,340
2011,3,27,4.5,29.5,18.5,24,89,1,140
2011,3,28,0,30.5,15.6,23,85,1,90
2011,3,29,10,29.2,15,22.1,90,0,0
2011,3,30,0.5,32,16,24,86,1,40
2011,3,31,0,32,18,25,83,1,340
2011,4,1,1,29,18.1,23.5,88,1,360
2011,4,2,0,30,17.5,23.8,82,1,360
2011,4,3,0,31,16,23.5,78,1,360
2011,4,4,1,32,16.5,24.3,80,1,180
2011,4,5,0.4,29.7,15.5,22.6,82,1,30
2011,4,6,1.4,28,17.5,22.8,90,1,340
2011,4,7,3.3,29.6,16.5,23,95,1,240
2011,4,8,0.4,30,14.5,22.3,87,1,340
2011,4,9,10.6,31.7,15,23.4,84,1,180
2011,4,10,0,32.4,17.1,24.8,82,1,340
2011,4,11,0,32.2,15.8,24,84,1,340
