YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,0,30.1,22.7,26.4,72,2,110
2011,1,2,0,29.8,22.3,26.1,70,3,110
2011,1,3,0,30.6,23.6,27.1,63,4,110
2011,1,4,0,29.5,21.3,25.4,63,3,90
2011,1,5,0,30.8,22.4,26.6,68,2,110
2011,1,6,0,30.9,23.5,27.2,71,2,100
2011,1,7,0,31.5,23,27.3,61,2,90
2011,1,8,0,31.6,23.7,27.7,63,2,90
2011,1,9,3.5,28.8,23.5,26.2,83,3,350
2011,1,10,0,29.5,24.4,27,75,2,20
2011,1,11,0.5,29.4,23.5,26.5,72,2,120
2011,1,12,0,28.3,24.2,26.3,79,2,130
2011,1,13,0,31.8,23.5,27.7,72,2,130
2011,1,14,0,29.5,25.3,27.4,76,2,140
2011,1,15,8,30.2,24.7,27.5,78,2,300
2011,1,16,0,29,23.2,26.1,63,5,80
2011,1,17,0,27.7,23.2,25.5,59,5,80
2011,1,18,0,30,23.8,26.9,70,2,120
2011,1,19,0,28.5,23.6,26,81,1,50
2011,1,20,0.5,31.8,24.5,28.2,74,2,130
2011,1,21,43.5,31,22.3,26.7,80,2,300
2011,1,22,1,31.2,25.3,28.3,78,3,120
2011,1,23,1,31,25,28,80,2,140
2011,1,24,5.5,29.4,23.6,26.5,83,2,100
2011,1,25,0,30.5,24.3,27.4,66,3,110
2011,1,26,0,30.5,22.2,26.4,67,4,90
2011,1,27,0,30.4,23,26.7,69,3,90
2011,1,28,0,31,22.7,26.9,66,3,110
2011,1,29,0,30.5,22.6,26.5,84,3,70
2011,1,30,0,30.6,23.5,27,62,4,120
2011,1,31,0.5,29.1,22.3,25.7,66,3,100
2011,2,1,0,29.3,21.5,25.4,62,3,90
2011,2,2,0,28.3,22,25.2,59,3,90
2011,2,3,0,28.7,23.2,26,64,2,90
2011,2,4,0.5,29.1,24.3,26.7,67,2,10
2011,2,5,0,29.1,24.6,26.9,71,2,120
2011,2,6,0,30.9,22.6,26.8,72,2,120
2011,2,7,0.5,30.5,23.9,27.2,75,3,120
2011,2,8,0,30.7,25,27.9,78,3,250
2011,2,9,0,32.1,25,28.6,80,3,120
2011,2,10,0,32.7,25.6,29.2,75,3,260
2011,2,11,0,32.2,25,28.6,72,2,260
2011,2,12,0,31.2,24.2,27.7,66,4,120
2011,2,13,0,29.2,23.6,26.4,67,4,110
2011,2,14,0,31.6,23.6,27.6,70,3,120
2011,2,15,0,31.1,23,27,71,3,120
2011,2,16,0,31.2,22.8,27,71,3,120
2011,2,17,0,32.1,23.4,27.8,66,3,130
2011,2,18,0,32.1,23.4,27.8,68,2,140
2011,2,19,0,32.8,21.4,27.1,62,3,130
2011,2,20,0,32.4,21.4,26.9,61,3,140
2011,2,21,0,31.6,22.8,27.2,65,3,120
2011,2,22,0,31.9,23.1,27.5,66,3,120
2011,2,23,0,30.6,22,26.3,66,2,120
2011,2,24,0,29.9,22,26,65,2,100
2011,2,25,0,31.7,22.3,27,63,3,120
2011,2,26,0,31.8,22.7,27.3,61,2,80
2011,2,27,0,31.4,24.7,28,64,2,90
2011,2,28,0,31.9,24.8,28.4,67,3,110
2011,3,1,15,32.8,23.9,28.3,74,2,130
2011,3,2,5,29.8,23.2,26.5,84,2,130
2011,3,3,0,31.5,23.8,27.7,68,3,120
2011,3,4,0.5,31.3,24.1,27.7,70,3,110
2011,3,5,12,28.4,23.6,26,89,2,100
2011,3,6,0,32.2,24.5,28.4,74,2,120
2011,3,7,36,34,23.5,28.8,78,2,270
2011,3,8,0.5,29.6,24.2,26.9,74,3,110
2011,3,9,0,30.7,23.7,27.2,70,2,80
2011,3,10,0,30.7,23.8,27.3,69,5,110
2011,3,11,0,31.2,23.2,27.2,62,4,110
2011,3,12,0,31.6,23.3,27.5,59,4,110
2011,3,13,0,31.9,25,28.5,67,3,120
2011,3,14,0,32,24.6,28.3,66,3,110
2011,3,15,0,31.5,24.5,28,60,4,110
2011,3,16,0,31.4,25.2,28.3,59,4,100
2011,3,17,0,31.7,25.3,28.5,63,5,110
2011,3,18,0,30.5,23.9,27.2,65,3,110
2011,3,19,0,32.5,26,29.3,62,4,110
2011,3,20,0,30.7,25.7,28.2,66,3,110
2011,3,21,0,33.6,25.6,29.6,69,3,120
2011,3,22,0,33.6,25,29.3,65,4,100
2011,3,23,0,33.5,26.2,29.9,61,4,90
2011,3,24,0,32.7,24.2,28.5,63,3,110
2011,3,25,0,32.7,24.7,28.7,58,4,90
2011,3,26,0,32.1,25.3,28.7,54,4,100
2011,3,27,0,32.1,25,28.6,62,3,110
2011,3,28,0,30.1,25.2,27.7,62,3,70
