YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,0,28.8,23.5,26.2,73,2,360
2011,1,2,0,29,23.4,26.2,74,3,360
2011,1,3,0,29.8,23.6,26.7,68,2,90
2011,1,4,0,30.8,22.3,26.6,64,3,40
2011,1,5,0,31.6,25,28.3,67,3,360
2011,1,6,0,30.4,24,27.2,70,3,40
2011,1,7,0,31.5,24.8,28.2,65,3,360
2011,1,8,0.2,30.3,25,27.7,67,3,360
2011,1,9,5,28,23.7,25.9,83,2,360
2011,1,10,0,29.2,24.4,26.8,74,3,360
2011,1,11,0,29,24.5,26.8,73,3,90
2011,1,12,0,29.6,25.5,27.5,76,3,40
2011,1,13,0,30.4,24.7,27.5,73,3,40
2011,1,14,0,31.2,25.6,28.4,85,3,140
2011,1,15,25.3,30.2,25,27.6,81,3,360
2011,1,16,0,28.2,23.7,26,72,3,40
2011,1,17,0,27.5,23.5,25.5,66,3,360
2011,1,18,0,29.4,24.5,27,69,3,360
2011,1,19,5.1,28.8,24.5,26.7,81,2,40
2011,1,20,0,29.8,23.8,26.8,83,3,320
2011,1,21,35,31.1,24.3,27.7,80,3,270
2011,1,22,4,30,26,28,81,3,220
2011,1,23,0,31,25.5,28.3,74,2,360
2011,1,24,12.5,31,24.3,27.7,84,2,40
2011,1,25,0,29.6,25,27.3,71,3,40
2011,1,26,0,30,25,27.5,69,2,40
2011,1,27,0,30.2,22.7,26.5,65,3,40
2011,1,28,0,30,24,27,70,3,40
2011,1,29,0,30.5,24,27.3,68,3,360
2011,1,30,0,31.5,22.5,27,61,3,360
2011,1,31,0,28.5,23.2,25.9,72,3,360
2011,2,1,0,29,22.8,25.9,69,3,40
2011,2,2,0,28,23,25.5,62,2,90
2011,2,3,0,28.8,22,25.4,67,3,220
2011,2,4,0,29.5,24.6,27,71,4,360
2011,2,5,0,29.2,25,27.1,75,3,220
2011,2,6,0,29.8,25,27.4,73,2,220
2011,2,7,0,29.7,24.5,27.1,80,3,220
2011,2,8,0,30.5,26.3,28.4,77,3,220
2011,2,9,0,32,26.6,29.3,77,3,220
2011,2,10,0,32.2,26.2,29.2,74,3,270
2011,2,11,0.5,33.5,26.2,29.9,70,3,40
2011,2,12,0,30.5,24.5,27.5,68,3,250
2011,2,13,0,28.5,24,26.3,72,3,220
2011,2,14,0,30.6,24.6,27.6,73,2,220
2011,2,15,0,31,24.7,27.9,70,3,90
2011,2,16,0,29.2,25,27.1,68,2,220
2011,2,17,0,30.8,25,27.9,68,3,220
2011,2,18,0,31,25,28,71,3,270
2011,2,19,0,31.5,24,27.8,69,3,140
2011,2,20,0,30.5,24.3,27.4,64,3,220
2011,2,21,0,31.2,24,27.6,68,3,220
2011,2,22,0,30.5,24.6,27.5,68,3,200
2011,2,23,0,29,24.2,26.6,73,2,220
