YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,0,29.5,25.7,27.6,85,4,90
2011,1,2,26.5,29.6,23.4,26.5,87,6,90
2011,1,3,0,30,26,28,79,7,90
2011,1,4,0,30.3,25.3,27.8,75,6,90
2011,1,5,0,30.5,25,27.8,76,5,90
2011,1,6,0,30.9,24,27.5,80,3,90
2011,1,7,0,30.9,24.4,27.6,82,4,90
2011,1,8,0,31,24.5,27.8,79,3,90
2011,1,9,0,31.7,24.4,28,81,2,90
2011,1,10,0.4,31.1,25,28,81,4,90
2011,1,11,52.2,29.5,24.5,27,89,4,90
2011,1,12,10.8,31,25,28,86,3,90
2011,1,13,0,31.1,25.6,28.4,82,3,90
2011,1,14,1.2,30.5,24.5,27.5,84,2,70
2011,1,15,1.2,31.7,24.2,28,90,2,90
2011,1,16,51.6,30.8,23.5,27.2,88,4,90
2011,1,17,5.6,26.3,24.5,25.4,86,6,70
2011,1,18,34.6,29,23.8,26.4,88,4,90
2011,1,19,7.7,28.3,23.2,25.8,90,2,90
2011,1,20,0,30.5,23.2,26.9,85,2,90
2011,1,21,1.8,32.2,23.5,27.9,80,2,270
2011,1,22,0,31.2,24.3,27.8,81,2,90
2011,1,23,1.4,31.4,25,28.2,82,3,90
2011,1,24,2,30.5,23.5,27,87,3,90
2011,1,25,0,30.6,24.8,27.7,81,5,90
2011,1,26,0,30.7,25.5,28.1,72,6,90
2011,1,27,0,30.5,26.2,28.4,73,6,90
2011,1,28,0,30.6,24.4,27.5,73,6,90
2011,1,29,0,31,23,27,72,4,90
2011,1,30,0,30.4,22.5,26.5,72,4,90
2011,1,31,0,30.8,23.3,27.1,72,3,90
2011,2,1,0,31.3,23.8,27.6,75,3,90
2011,2,2,0,29.5,24.2,26.9,79,3,90
2011,2,3,0,29.6,24.7,27.2,77,3,360
2011,2,4,0,31,24.5,27.8,80,3,360
2011,2,5,14.6,30.7,24.7,27.7,88,3,90
2011,2,6,30.3,29,24.8,26.9,92,3,90
2011,2,7,0,30.5,24.4,27.5,86,3,90
2011,2,8,0,31,24,27.5,81,3,270
2011,2,9,0,30.5,24.5,27.5,83,2,90
2011,2,10,0.1,31.2,24,27.6,83,2,90
2011,2,11,0,31.6,24.1,27.9,83,2,90
2011,2,12,4.9,31.3,25.4,28.4,83,2,90
2011,2,13,0.6,30,24.5,27.3,83,2,90
2011,2,14,9.1,29.8,23.8,26.8,80,2,90
2011,2,15,0,30.6,25.2,27.9,82,3,90
2011,2,16,0,30.9,24.8,27.9,81,3,90
2011,2,17,0,31.3,23.2,27.3,81,3,90
2011,2,18,0,31.1,24.5,27.8,80,3,90
2011,2,19,0,30.5,25,27.8,83,3,90
2011,2,20,0,31,23.8,27.4,79,3,90
2011,2,21,0,31.3,24.3,27.8,74,3,90
