YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,21.5,28.2,23.2,25.7,85,4,40
2011,1,2,8.9,25.1,23.2,24.2,90,5,40
2011,1,3,0,28,24,26,84,5,40
2011,1,4,2.4,28,23.8,25.9,84,4,40
2011,1,5,2.5,29.1,24.5,26.8,85,3,40
2011,1,6,13,25.1,23.1,24.1,89,4,40
2011,1,7,12,25,23.2,24.1,91,4,40
2011,1,8,16.8,26.2,23.9,25,88,4,40
2011,1,9,2,29.9,25,27.5,82,3,40
2011,1,10,34.6,27.9,23.4,25.6,86,4,40
2011,1,11,41.6,24.9,23.1,24,86,3,40
2011,1,12,7,28.1,24,26,84,3,40
2011,1,13,0,28.9,24,26.5,85,2,40
2011,1,14,0.2,27.9,24.9,26.4,84,2,30
2011,1,15,12.5,28.8,23.6,26.2,85,3,360
2011,1,16,5.2,25.1,23.4,24.3,89,5,40
2011,1,17,2.2,25.9,23.1,24.5,86,5,40
2011,1,18,2.4,26.4,23.9,25.1,86,4,40
2011,1,19,0,28.9,23.9,26.4,85,2,90
2011,1,20,0,28.3,25,26.7,84,2,90
2011,1,21,0,30.6,26,28.3,81,2,90
2011,1,22,0,30.1,26.1,28.1,82,3,90
2011,1,23,11,29.9,25.6,27.8,83,3,90
2011,1,24,16.4,28.9,23.4,26.1,86,3,40
2011,1,25,0,27.5,24.9,26.2,86,5,90
2011,1,26,0,28.8,24.9,26.9,84,5,90
2011,1,27,0,27.7,24.7,26.2,84,5,40
2011,1,28,0,28.4,24,26.2,84,3,40
2011,1,29,0,29.1,24.7,26.9,82,3,40
2011,1,30,0,29.2,24,26.6,82,4,40
2011,1,31,0.6,28.1,23.9,26,84,5,40
2011,2,1,4.2,28.2,22.2,25.2,86,5,40
2011,2,2,0,25.5,23,24.3,87,4,40
2011,2,3,5.8,25,23.9,24.5,85,4,40
2011,2,4,2.4,27,24.9,26,86,3,40
2011,2,5,0.9,27.4,24.3,25.9,85,4,30
2011,2,6,0,29,25.2,27.1,84,3,40
2011,2,7,0,28,23.8,25.9,84,2,90
2011,2,8,0,29.3,23.2,26.3,84,1,160
2011,2,9,0,29.2,25.2,27.2,80,1,160
2011,2,10,0.4,30.9,24.8,27.9,83,1,90
2011,2,11,0,31.6,25.2,28.4,81,2,90
2011,2,12,23,27.7,24.3,26,84,3,60
2011,2,13,0.4,29.1,25.2,27.2,80,3,60
2011,2,14,0,29.5,25.4,27.5,83,3,90
2011,2,15,9.6,30.2,24.6,27.4,85,2,80
2011,2,16,1,28.5,24,26.3,85,3,90
2011,2,17,5,30.5,24.9,27.7,81,3,40
2011,2,18,1.4,30,25.2,27.6,83,2,40
2011,2,19,0,30.4,25.1,27.8,82,3,90
2011,2,20,0,30.1,24.5,27.3,81,3,60
2011,2,21,0,29.2,23.8,26.5,84,3,40
2011,2,22,0,29.8,24,26.9,84,4,80
2011,2,23,0,29.9,24,27,82,2,40
2011,2,24,3.4,30,23.8,26.9,81,3,40
2011,2,25,0,30.1,24.1,27.1,82,4,60
2011,2,26,0,30.1,24.8,27.5,82,4,40
2011,2,27,9.6,28,23.5,25.8,88,4,40
2011,2,28,4.4,27.4,24.2,25.8,87,3,40
2011,3,1,43.2,30,24.8,27.4,85,2,40
2011,3,2,1,30,25,27.5,83,2,90
2011,3,3,1.3,28,24.1,26,86,3,40
2011,3,4,58.4,30.1,24.5,27.3,84,3,80
2011,3,5,0,28.4,25,26.7,85,3,90
2011,3,6,0,30.1,25.8,28,81,2,90
2011,3,7,0,29.9,26,28,82,3,90
2011,3,8,16.6,31.1,24.7,27.9,81,3,40
2011,3,9,1.2,30,25.1,27.5,82,2,40
2011,3,10,0.6,30,25.1,27.5,83,5,40
2011,3,11,0,30.3,24.8,27.6,82,5,40
2011,3,12,0,30.9,25,28,82,4,40
2011,3,13,34.8,26,24.2,25.1,89,4,40
2011,3,14,8,26.9,24.9,25.9,86,3,40
2011,3,15,4,27.4,24.8,26.1,85,3,40
2011,3,16,0,28.7,24.8,26.8,85,4,40
2011,3,17,2.2,28.8,23.8,26.3,85,4,40
2011,3,18,5.2,25.1,24.1,24.6,90,4,40
2011,3,19,0.4,28.9,24.6,26.8,85,4,80
2011,3,20,0.6,26.5,25.4,26,87,4,60
2011,3,21,28.4,28.5,23.6,26,86,2,40
2011,3,22,3.8,28,25.2,26.6,84,3,60
2011,3,23,6.4,27.3,24.1,25.7,88,4,40
2011,3,24,1.1,28.8,24.5,26.7,85,4,40
2011,3,25,1.2,27.1,25,26,86,4,60
2011,3,26,2.4,26.5,23.4,25,87,4,40
2011,3,27,7,25.7,23.8,24.8,91,4,40
2011,3,28,5.2,27.5,24,25.8,86,3,40
2011,3,29,1.4,29.5,24.7,27.1,84,3,40
2011,3,30,0,30,24.9,27.5,83,3,40
2011,3,31,0,29,24.5,26.8,84,4,40
2011,4,1,0,29.9,24.1,27,82,4,10
2011,4,2,0,28.6,24.2,26.4,82,3,360
2011,4,3,0,29,23.8,26.4,83,2,90
2011,4,4,0,30,24.1,27,83,2,40
2011,4,5,0,29.7,24,26.9,83,3,40
2011,4,6,0,30.1,24.1,27.1,81,2,90
2011,4,7,0,29.5,23.9,26.7,82,3,90
2011,4,8,0,30.4,24.9,27.6,80,2,40
2011,4,9,16.8,30.1,23.4,26.8,84,4,40
2011,4,10,0,29.8,24.5,27.2,80,3,40
2011,4,11,0.4,29,24.9,27,84,4,40
2011,4,12,0.7,29,24,26.5,84,3,40
2011,4,13,0,28.9,24.1,26.5,84,3,40
2011,4,14,0,30,24.2,27.1,82,3,40
2011,4,15,0,30,24.7,27.4,80,2,90
2011,4,16,0,31.8,25.6,28.7,78,2,90
2011,4,17,0,31.6,24,27.8,79,2,90
2011,4,18,0,30.9,24,27.5,82,1,100
2011,4,19,25.5,32.1,24,28.1,80,2,90
2011,4,20,0,29.2,25,27.1,82,3,40
2011,4,21,0,32,26.5,29.3,77,3,40
2011,4,22,46.8,32,24,28,78,2,90
2011,4,23,0,31.1,25.4,28.3,80,2,90
2011,4,24,0,32,26.1,29,77,3,40
2011,4,25,0,30.9,26.8,28.9,80,2,40
2011,4,26,0,31,26,28.5,79,3,90
2011,4,27,0,31.6,25,28.3,80,1,90
2011,4,28,0,32,26.9,29.5,78,3,90
2011,4,29,3,31.4,26.9,29.1,77,3,90
2011,4,30,13.4,31.6,25.2,28.4,80,3,90
2011,5,1,0,31.4,27.1,29.3,75,2,90
2011,5,2,1,31,27,29,78,3,90
2011,5,3,0,32.5,26.6,29.5,77,2,40
2011,5,4,0,30.5,26.2,28.4,80,3,90
2011,5,5,1.1,31.8,26.2,29,78,2,90
2011,5,6,1,28,26,27,84,2,360
2011,5,7,76.8,27.9,23.8,25.9,88,3,340
2011,5,8,56.4,26.2,23,24.6,91,4,210
2011,5,9,4,27.9,25.6,26.8,85,4,180
2011,5,10,0,31.1,26.5,28.8,82,3,210
2011,5,11,0,32.3,25.3,28.8,78,2,220
2011,5,12,1,30.5,26.3,28.4,80,1,90
2011,5,13,0,32,27,29.5,79,2,90
2011,5,14,0,33.1,27.4,30.3,80,2,90
2011,5,15,0,32.6,27.9,30.3,78,2,90
2011,5,16,0,32.8,25.9,29.3,77,2,90
2011,5,17,0,32,25.1,28.5,78,1,90
2011,5,18,22,32.6,25.6,29.1,79,2,100
2011,5,19,0,32.2,25.9,29,76,1,90
2011,5,20,0,33.1,25.5,29.3,77,2,90
2011,5,21,0,33,26.5,29.8,79,2,360
2011,5,22,51.8,33.3,24.1,28.7,75,2,60
2011,5,23,5,30,24.6,27.3,85,1,180
2011,5,24,5.6,31.1,24.8,28,83,2,360
2011,5,25,0,30.2,26.2,28.2,82,2,40
2011,5,26,0,29,27.1,28,81,3,210
2011,5,27,17.8,30.7,25.1,27.9,82,4,220
2011,5,28,4,28.1,25,26.5,86,4,220
2011,5,29,0.4,30.4,25.1,27.8,82,3,180
2011,5,30,1,30.9,25.9,28.4,81,3,220
2011,5,31,0,32.9,25.3,29.1,78,2,220
2011,6,1,1.2,28,25.1,26.5,79,1,140
2011,6,2,0.8,32.5,26.6,29.5,79,2,90
2011,6,3,-999,-999,-999,-999,-999,-999,-999
2011,6,4,-999,-999,-999,-999,-999,-999,-999
2011,6,5,-999,-999,-999,-999,-999,-999,-999
2011,6,6,-999,-999,-999,-999,-999,-999,-999
2011,6,7,-999,-999,-999,-999,-999,-999,-999
2011,6,8,-999,-999,-999,-999,-999,-999,-999
2011,6,9,-999,-999,-999,-999,-999,-999,-999
2011,6,10,-999,-999,-999,-999,-999,-999,-999
2011,6,11,-999,-999,-999,-999,-999,-999,-999
2011,6,12,-999,-999,-999,-999,-999,-999,-999
2011,6,13,-999,-999,-999,-999,-999,-999,-999
2011,6,14,-999,-999,-999,-999,-999,-999,-999
2011,6,15,-999,-999,-999,-999,-999,-999,-999
2011,6,16,-999,-999,-999,-999,-999,-999,-999
2011,6,17,-999,-999,-999,-999,-999,-999,-999
2011,6,18,-999,-999,-999,-999,-999,-999,-999
2011,6,19,-999,-999,-999,-999,-999,-999,-999
2011,6,20,1.1,27.4,24,25.7,90,4,210
2011,6,21,9,29.5,25.1,27.3,88,4,210
2011,6,22,8,28.4,24.4,26.4,85,4,210
2011,6,23,46.6,26.9,23.1,25,91,5,220
2011,6,24,7.2,27.1,25.8,26.5,86,6,220
2011,6,25,0,30,26,28,84,5,220
2011,6,26,0,30.1,26.1,28.1,82,3,210
2011,6,27,0,30.2,25.5,27.9,83,2,180
2011,6,28,0,29,25.4,27.2,86,2,90
2011,6,29,36,28,25.1,26.5,86,2,40
2011,6,30,18.6,29,24,26.5,85,2,40
2011,7,1,3.8,29.2,24.8,27,85,2,40
2011,7,2,5,29.2,24,26.6,85,3,90
2011,7,3,0,29.2,24.8,27,83,2,140
2011,7,4,7.2,28.6,23.9,26.3,87,2,180
2011,7,5,11.6,27.3,23.5,25.4,86,4,210
2011,7,6,31.8,26,23.5,24.8,92,4,220
2011,7,7,18.4,26.1,23.9,25,91,4,220
2011,7,8,14.2,26.8,24,25.4,87,4,210
2011,7,9,30.6,27.9,23.4,25.6,87,3,210
2011,7,10,15.4,25.6,23.4,24.5,90,4,210
2011,7,11,19.2,27,24,25.5,88,5,210
2011,7,12,0,29.6,26,27.8,83,4,210
2011,7,13,0,29.9,25.7,27.8,84,3,210
2011,7,14,0,30,25.6,27.8,83,3,210
2011,7,15,0,31,25.6,28.3,81,2,210
2011,7,16,0,31.4,25.9,28.6,80,2,240
2011,7,17,0,31,26.1,28.5,80,3,210
2011,7,18,0,30.9,25,28,82,4,210
2011,7,19,0,30,25,27.5,81,4,210
2011,7,20,0,30.6,25.4,28,83,4,180
2011,7,21,45.6,30,24,27,86,3,180
2011,7,22,8.4,28.5,24.4,26.5,86,2,130
2011,7,23,6.4,28,23.8,25.9,86,3,210
2011,7,24,13,28,24.2,26.1,87,3,180
2011,7,25,41.2,25.4,23.6,24.5,92,4,270
2011,7,26,25.2,25.2,23.6,24.4,91,6,270
2011,7,27,62.6,26.4,24,25.2,91,6,210
2011,7,28,49.4,26.4,23.6,25,91,5,220
2011,7,29,1.4,29.2,23.6,26.4,86,5,220
2011,7,30,0,28.2,23.2,25.7,83,4,220
2011,7,31,57.8,28.4,23,25.7,86,4,220
2011,8,1,12,27,24,25.5,90,5,180
2011,8,2,7.6,29.4,25.6,27.5,85,5,180
2011,8,3,0,29,25.6,27.3,84,4,180
2011,8,4,0,29.6,25.4,27.5,84,3,210
2011,8,5,13.2,28.4,23.4,25.9,84,4,210
2011,8,6,11.8,26,23.4,24.7,88,5,210
2011,8,7,0,28.4,23.8,26.1,85,4,210
2011,8,8,0,29.4,25.4,27.4,83,4,210
2011,8,9,0,30.8,25.4,28.1,79,2,210
2011,8,10,0,29.8,25.2,27.5,81,2,210
2011,8,11,6,29.6,24,26.8,82,3,90
