YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,8,27.6,24.5,26,90,6,40
2011,1,2,18.5,25.8,24,24.9,92,6,40
2011,1,3,0,27.5,24.8,26.2,86,6,40
2011,1,4,0,29.4,25,27.2,74,5,20
2011,1,5,7,29.1,24.4,26.8,86,5,360
2011,1,6,0,27,24.6,25.8,86,5,360
2011,1,7,0,29,25.3,27.2,88,5,360
2011,1,8,5,27.2,25.5,26.4,91,5,360
2011,1,9,0.5,29.5,26,27.8,85,3,40
2011,1,10,10,27.5,24.5,26,89,5,40
2011,1,11,3,26.1,24.4,25.3,93,5,40
2011,1,12,0,29.5,25.4,27.5,85,3,40
2011,1,13,0,29,25.4,27.2,89,3,360
2011,1,14,0,28.2,25.5,26.9,89,2,360
2011,1,15,69.5,30,25,27.5,86,3,320
2011,1,16,17.5,26,24.8,25.4,90,7,360
2011,1,17,2,26,24.8,25.4,78,7,20
2011,1,18,1.5,26.3,25,25.7,84,5,360
2011,1,19,0,28.5,25.2,26.9,84,2,20
2011,1,20,0.5,30,25.3,27.7,82,2,360
2011,1,21,0,30,26,28,85,1,360
2011,1,22,0,30.4,26,28.2,84,3,40
2011,1,23,1.5,29.5,25.1,27.3,88,3,20
2011,1,24,0.5,30.5,25.3,27.9,84,5,20
2011,1,25,3,27.3,24.5,25.9,84,6,20
2011,1,26,0,29.5,25,27.3,75,6,20
2011,1,27,1,26.7,24.5,25.6,83,6,20
2011,1,28,1,27.2,25.8,26.5,80,4,20
2011,1,29,0.5,28.4,25,26.7,78,5,20
2011,1,30,0,28.8,25.4,27.1,72,6,20
2011,1,31,0,27.8,25.8,26.8,75,6,360
2011,2,1,0,27.4,24.6,26,75,6,360
2011,2,2,3.5,26.5,24.2,25.4,74,5,360
2011,2,3,4,26,24.2,25.1,87,6,360
2011,2,4,0,28,25.4,26.7,87,3,360
2011,2,5,0,28.8,24.8,26.8,86,5,360
2011,2,6,0,29,25.4,27.2,85,3,360
2011,2,7,0,29.5,25,27.3,86,2,360
2011,2,8,0,30,25.2,27.6,86,1,340
2011,2,9,0,30,25.6,27.8,86,1,360
2011,2,10,0,31,25.3,28.2,83,2,360
2011,2,11,0,30.6,25.7,28.2,84,1,360
2011,2,12,0,30.6,25,27.8,82,5,360
2011,2,13,0.5,27,25.3,26.2,87,4,40
2011,2,14,0,30,25,27.5,82,2,40
2011,2,15,0,30,24.8,27.4,81,3,20
2011,2,16,0,29.5,25,27.3,81,4,360
2011,2,17,0,30,25.2,27.6,80,3,360
2011,2,18,1,29,25,27,83,3,360
2011,2,19,0,29,25.2,27.1,80,3,360
2011,2,20,0,29.7,25.4,27.5,79,3,360
2011,2,21,0,30.5,25,27.8,75,4,360
2011,2,22,0,30,24.8,27.4,76,3,360
2011,2,23,0,28.5,25,26.8,74,3,360
2011,2,24,0,29,24.8,26.9,73,4,360
2011,2,25,0,28.5,25,26.8,72,6,360
2011,2,26,0,29,24.8,26.9,68,5,360
2011,2,27,3.5,26.7,24.6,25.7,87,4,360
2011,2,28,1.5,28.8,24.8,26.8,90,4,360
2011,3,1,0,30,25.4,27.7,88,2,360
2011,3,2,22,29.8,25.4,27.6,87,2,360
2011,3,3,1.5,28.9,25.3,27.1,88,3,360
2011,3,4,0.5,29.5,25.2,27.4,85,3,20
2011,3,5,0,30.5,26,28.3,82,2,40
2011,3,6,0,31,26.2,28.6,82,2,20
2011,3,7,0,30.2,27,28.6,84,2,20
2011,3,8,0,31,25.7,28.4,84,3,70
2011,3,9,0,31,25.4,28.2,79,4,360
2011,3,10,4.5,29.1,25.4,27.3,85,6,10
