YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,0,31.1,25,28,72,2,70
2011,1,2,0,30.5,24.5,27.5,63,4,90
2011,1,3,0,32.6,23,27.8,58,3,90
2011,1,4,0,32.2,23.5,27.9,54,3,90
2011,1,5,0,33,24,28.5,62,2,90
2011,1,6,0,30.7,24.5,27.6,71,2,120
2011,1,7,0,32.8,25.2,29,62,4,60
2011,1,8,0.4,31.9,24.9,28.4,62,4,40
2011,1,9,0,33.1,25.7,29.4,73,2,120
2011,1,10,1.6,33.5,24.9,29.2,65,3,90
2011,1,11,3.2,29.6,24.3,27,75,2,40
2011,1,12,0,32.2,25.1,28.7,74,1,90
2011,1,13,9.8,33.4,23.4,28.4,77,2,90
2011,1,14,0,31.1,24,27.5,85,2,60
2011,1,15,0.2,31.6,25,28.3,81,2,60
2011,1,16,0,31.6,25,28.3,65,3,90
2011,1,17,0,30.4,24.2,27.3,58,4,60
2011,1,18,0,31.3,23.8,27.6,63,3,60
2011,1,19,0,31.5,22.3,26.9,72,2,90
2011,1,20,0,31.8,23,27.4,78,2,60
2011,1,21,12.4,31.5,22.8,27.2,86,2,270
2011,1,22,0,31.8,25.4,28.6,77,2,90
2011,1,23,0,32.4,24.8,28.6,76,2,120
2011,1,24,2.3,33.8,24,28.9,70,3,90
2011,1,25,0,32.5,24.9,28.7,60,4,60
2011,1,26,0,32.3,24.7,28.5,54,5,90
2011,1,27,0,32.5,24.7,28.6,58,5,40
2011,1,28,0,33.2,23.1,28.2,57,2,40
2011,1,29,0,33.9,23,28.5,56,4,90
2011,1,30,0,33.4,23.7,28.6,50,3,40
2011,1,31,0,33.1,24.7,28.9,64,4,90
2011,2,1,0,31.9,24.3,28.1,64,4,60
2011,2,2,0,31.7,24.4,28,64,3,60
2011,2,3,0.8,31.6,23.7,27.7,77,1,260
2011,2,4,0,31,25,28,79,1,240
2011,2,5,0,32.9,25.5,29.2,72,1,90
2011,2,6,0,34,24.3,29.2,75,2,280
2011,2,7,0,32.9,23.9,28.4,78,2,250
2011,2,8,0,33,22.9,28,81,1,230
2011,2,9,0,32.4,22.8,27.6,79,2,170
2011,2,10,0,33.4,24,28.7,75,1,360
2011,2,11,0,33.2,24.9,29,80,2,250
2011,2,12,0,32.7,24,28.4,75,2,90
2011,2,13,0,33,23.9,28.5,73,2,90
2011,2,14,0,32.9,25.1,29,72,3,90
2011,2,15,0,34.3,25.1,29.7,65,4,90
2011,2,16,0,34.1,25.8,30,67,3,290
2011,2,17,0,33.4,24.9,29.2,72,3,90
2011,2,18,0,33.7,23.2,28.5,74,2,240
2011,2,19,0,35,21.7,28.4,60,3,90
2011,2,20,0,32.8,21,26.9,68,3,70
2011,2,21,0,33.7,21.4,27.5,65,2,290
2011,2,22,0,33.4,21.8,27.6,67,2,90
2011,2,23,0,32.9,23.1,28,62,2,90
2011,2,24,0,33.1,20.5,26.8,72,2,300
2011,2,25,0,32.9,22.5,27.7,71,2,120
2011,2,26,0,32.9,21.2,27.1,65,2,70
2011,2,27,1.6,32.3,23,27.6,80,2,70
2011,2,28,0,33.5,25.2,29.4,72,2,40
2011,3,1,0,35.1,25.9,30.5,71,3,90
2011,3,2,0,33.1,24.3,28.7,74,2,140
2011,3,3,2.4,32.5,24.9,28.7,73,3,90
2011,3,4,0.2,33.6,24.3,29,76,2,90
2011,3,5,0,34,26.1,30,68,4,90
2011,3,6,0,34,23.6,28.8,72,2,310
2011,3,7,0,35.1,24.9,30,74,2,90
2011,3,8,0.6,33.4,25.2,29.3,72,3,90
2011,3,9,0,34.6,25.4,30,66,4,90
2011,3,10,0,34.2,26.2,30.2,62,5,60
2011,3,11,0,35.1,24.3,29.7,52,2,90
2011,3,12,0,35.4,24.9,30.2,54,3,90
2011,3,13,0.4,31.6,26.1,28.9,64,2,90
2011,3,14,6.3,29.5,25,27.3,82,2,90
2011,3,15,0,30.5,24.2,27.4,71,3,90
2011,3,16,0,34,27.3,30.7,62,4,90
2011,3,17,0,35,25.7,30.4,67,4,120
2011,3,18,1,34.1,26.3,30.2,69,4,70
2011,3,19,0,33.1,27,30.1,66,5,90
2011,3,20,0,34.2,27,30.6,71,2,40
2011,3,21,0,36.1,27.2,31.7,72,3,270
2011,3,22,0,36.5,27.9,32.2,73,2,270
2011,3,23,0,35.2,26.9,31,63,5,40
2011,3,24,0,36.1,26.4,31.3,64,5,40
2011,3,25,0.3,35,27.3,31.2,66,5,40
2011,3,26,0.2,33.9,27,30.5,62,6,70
2011,3,27,0,34.8,26.4,30.6,67,4,360
2011,3,28,0,32.9,26,29.5,73,2,70
2011,3,29,0,36.4,26.5,31.5,62,3,60
