YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,0,28.9,24.8,26.9,77,4,110
2011,1,2,0,28.8,25,26.9,76,4,360
2011,1,3,0,29.3,24.5,26.9,75,5,110
2011,1,4,0,29.5,23,26.3,71,4,110
2011,1,5,0,30.4,25.2,27.8,72,4,110
2011,1,6,0,30.2,24,27.1,73,3,110
2011,1,7,0,31.8,24.7,28.3,71,3,360
2011,1,8,0,31.1,24,27.5,69,3,110
2011,1,9,3.4,28.6,25,26.8,83,3,360
2011,1,10,0.2,29.8,25.8,27.8,81,3,40
2011,1,11,0,29,25,27,78,3,110
2011,1,12,0,30.5,25.1,27.8,79,2,360
2011,1,13,0,31.5,24.5,28,77,2,110
2011,1,14,0,30.8,25.6,28.2,78,2,360
2011,1,15,31.2,32,25,28.5,81,3,40
2011,1,16,0,28,24.5,26.3,74,3,360
2011,1,17,0,27.8,24,25.9,67,4,110
2011,1,18,0,30,25,27.5,71,3,360
2011,1,19,1.4,29,24.5,26.8,84,2,40
2011,1,20,0,31,25,28,82,2,180
2011,1,21,14.2,32,25,28.5,80,3,360
2011,1,22,0,31,26,28.5,83,3,110
2011,1,23,0,29.5,26,27.8,83,2,110
2011,1,24,18.8,31.2,25,28.1,85,3,90
2011,1,25,0,29.8,25.2,27.5,72,4,110
2011,1,26,0,29.8,25,27.4,72,5,110
2011,1,27,0,30,24.2,27.1,75,4,90
2011,1,28,0,30,23.5,26.8,78,3,110
2011,1,29,0,30.5,23.5,27,71,3,40
2011,1,30,0,30.2,23.2,26.7,69,3,110
2011,1,31,0.5,27.5,24,25.8,77,4,40
2011,2,1,0,28.6,23,25.8,76,4,110
2011,2,2,0,29.3,23.3,26.3,63,4,110
2011,2,3,0,28.3,24.6,26.5,69,3,360
2011,2,4,0,29.5,24.9,27.2,76,4,40
2011,2,5,0,29.7,25.5,27.6,76,3,110
2011,2,6,0,29.2,25.4,27.3,78,3,110
2011,2,7,0,30,24.8,27.4,81,4,110
2011,2,8,0,31.5,25.5,28.5,80,2,220
2011,2,9,0,31.5,25.4,28.5,84,3,180
2011,2,10,0,33.5,26.8,30.2,77,4,360
2011,2,11,0,33,26,29.5,78,3,320
2011,2,12,0,31,25,28,71,5,110
2011,2,13,0,30,24.2,27.1,73,4,110
2011,2,14,0,31.4,25.9,28.6,77,3,110
2011,2,15,0,29.8,25,27.4,78,4,110
2011,2,16,0,30.5,25.1,27.8,73,4,110
2011,2,17,0,32,25.6,28.8,77,3,110
2011,2,18,0,32,25,28.5,75,3,110
2011,2,19,0,33,24.1,28.5,66,5,110
2011,2,20,0,32,25,28.5,67,4,110
2011,2,21,0,31.7,25.2,28.5,73,4,110
2011,2,22,0,32.5,25,28.8,73,5,110
2011,2,23,0,30,22,26,76,4,110
2011,2,24,0,30.5,24,27.3,72,3,110
2011,2,25,0,31.5,25,28.3,68,4,110
2011,2,26,0,33,24,28.5,62,4,110
2011,2,27,0,31,26,28.5,73,3,360
2011,2,28,0,30.8,25.2,28,79,4,360
2011,3,1,22,32,26.1,29,79,3,110
2011,3,2,16,28.5,24.9,26.7,87,3,110
2011,3,3,0,30,25,27.5,76,3,110
2011,3,4,0,31.3,25,28.2,77,4,110
2011,3,5,9.8,27.1,23.9,25.5,93,2,110
2011,3,6,0,32,25.5,28.8,81,4,360
2011,3,7,0,32.6,25.5,29.1,78,2,360
2011,3,8,0.2,29.3,25.5,27.4,82,3,110
2011,3,9,0,30.3,25.8,28.1,73,3,40
2011,3,10,0,29.3,25.1,27.2,77,4,110
2011,3,11,0,31,25,28,70,6,110
