YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,0,28.7,20.5,24.6,79,2,360
2011,1,2,0,28.8,20.1,24.5,81,1,20
2011,1,3,0,30.4,20,25.2,74,1,40
2011,1,4,0,30.5,18.5,24.5,71,1,90
2011,1,5,0,30.6,21.3,26,77,1,40
2011,1,6,0,31,20.9,26,79,1,20
2011,1,7,0,31,20.8,25.9,73,1,20
2011,1,8,0,31.3,21.3,26.3,77,1,40
2011,1,9,5.6,28.3,22.8,25.6,91,1,20
2011,1,10,1.5,28.5,21.8,25.2,87,1,360
2011,1,11,1,28.8,21.6,25.2,84,1,140
2011,1,12,0,29.3,23.2,26.3,86,1,40
2011,1,13,0,31.5,21.8,26.7,78,1,20
2011,1,14,0,30.3,23.8,27.1,80,1,20
2011,1,15,45.5,33,22.8,27.9,84,2,340
2011,1,16,0,28.3,21.8,25.1,72,2,40
2011,1,17,0,27.7,21.5,24.6,70,1,360
2011,1,18,0,30.2,21.5,25.9,44,1,40
2011,1,19,4.5,29,21.9,25.5,87,2,360
2011,1,20,51.5,31.5,22.3,26.9,90,1,270
2011,1,21,31.3,32.5,23.4,28,89,1,110
2011,1,22,4,30.6,24.2,27.4,88,1,220
2011,1,23,0,30.6,23.8,27.2,82,1,20
2011,1,24,10.4,29.4,22.5,26,95,2,340
2011,1,25,0,29.2,21.8,25.5,79,1,360
2011,1,26,0,30.5,21.2,25.9,78,1,360
2011,1,27,0,30,20.3,25.2,78,1,360
2011,1,28,0,30.7,21.8,26.3,74,1,360
2011,1,29,0,31,20.5,25.8,76,2,360
2011,1,30,0,31,22,26.5,71,1,40
2011,1,31,0,28,20.7,24.4,75,1,360
2011,2,1,0,29.5,19,24.3,71,2,40
2011,2,2,0,28.6,19.8,24.2,74,1,40
2011,2,3,0,29,22.9,26,70,1,20
2011,2,4,0,29,23.3,26.2,74,2,360
2011,2,5,0,31.4,24,27.7,75,2,20
2011,2,6,0,31.4,23.4,27.4,76,1,360
2011,2,7,0,29.5,23,26.3,83,1,320
2011,2,8,0,32.1,23.5,27.8,76,1,220
2011,2,9,0,33,23.9,28.5,82,1,340
2011,2,10,0,33.5,23.6,28.5,73,1,340
2011,2,11,0,33.6,25.3,29.5,75,2,360
2011,2,12,0,31.4,22,26.7,69,2,40
2011,2,13,0,29.6,20.9,25.3,74,1,140
2011,2,14,0.2,31.2,22.8,27,76,1,360
2011,2,15,0,30.5,21.4,26,77,1,40
2011,2,16,0,30.3,21.7,26,77,0,0
2011,2,17,0,32,21.5,26.8,74,1,40
2011,2,18,0,31.9,21.6,26.8,73,1,220
2011,2,19,0,33.7,19,26.4,67,2,360
2011,2,20,0,32.4,20,26.2,68,1,220
2011,2,21,0,32.4,21.6,27,75,1,220
2011,2,22,0,31.7,20.8,26.3,68,1,40
2011,2,23,0,30,19.8,24.9,72,1,40
2011,2,24,0,31.4,19,25.2,72,1,90
2011,2,25,0,32,21.2,26.6,83,1,40
2011,2,26,0,32.2,20.4,26.3,64,1,40
2011,2,27,0,31,23.4,27.2,73,1,220
2011,2,28,0,31.5,22.8,27.2,77,1,40
2011,3,1,16.6,32.7,23,27.9,78,1,70
2011,3,2,7.4,30.4,22.3,26.4,86,1,20
2011,3,3,0,30.8,22,26.4,77,1,20
2011,3,4,0,30.5,23.8,27.2,79,1,340
2011,3,5,7.8,27.8,23,25.4,88,1,90
2011,3,6,0,31.5,22.5,27,86,1,360
