YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,81.2,27.6,22.4,25,88,1,40
2011,1,2,301,26.6,22.5,24.5,90,2,40
2011,1,3,77.6,25.8,21,23.4,85,2,40
2011,1,4,173.6,25.5,22.2,23.9,86,1,180
2011,1,5,97.8,27.6,21.2,24.4,84,1,20
2011,1,6,0,28.4,22,25.2,82,1,240
2011,1,7,16,29.4,22.4,25.9,80,2,20
2011,1,8,7.4,29,23.6,26.3,84,1,40
2011,1,9,22,31.2,24,27.6,80,1,90
2011,1,10,35.9,27,21.3,24.2,85,2,90
2011,1,11,12,30.7,22.8,26.8,81,1,40
2011,1,12,13.4,30.4,23.4,26.9,83,2,340
2011,1,13,0.4,30.5,23.2,26.9,83,1,220
2011,1,14,0,32.2,23,27.6,74,0,0
2011,1,15,0,32.8,24.5,28.6,73,1,220
2011,1,16,36.9,32.2,22.9,27.5,82,1,220
2011,1,17,152,27,22,24.5,85,2,40
2011,1,18,24.8,27,21.9,24.5,83,1,270
2011,1,19,2.2,29.8,21.9,25.9,79,1,180
2011,1,20,15.6,27.2,21.1,24.2,85,1,180
2011,1,21,2.8,30.6,22,26.3,77,1,90
2011,1,22,102.8,30.2,22,26.1,87,1,40
2011,1,23,64.8,30,22.5,26.3,85,1,90
2011,1,24,36.4,26.5,22.4,24.5,84,1,90
2011,1,25,10.5,31,22,26.5,81,4,40
2011,1,26,167.5,30.2,21.4,25.8,86,5,40
2011,1,27,60,28.2,21.2,24.7,81,5,40
2011,1,28,11.2,27.4,21.5,24.5,82,3,40
2011,1,29,22.6,28.4,21.4,24.9,81,3,40
2011,1,30,17,27.8,22.5,25.2,84,1,360
2011,1,31,247,25,21,23,86,5,40
2011,2,1,271.4,25.6,21.8,23.7,88,4,40
2011,2,2,84.4,26.4,22,24.2,87,2,40
2011,2,3,6,29.5,21,25.3,85,1,40
2011,2,4,13,30.2,23,26.6,79,1,180
2011,2,5,2.4,33,24,28.5,76,1,40
2011,2,6,0,33,24.3,28.7,75,1,40
2011,2,7,0,31.5,23.6,27.5,80,1,180
2011,2,8,0,32.4,23.2,27.8,78,1,180
2011,2,9,0,32.5,23.2,27.9,78,1,40
2011,2,10,0,32.6,23.4,28,72,2,40
2011,2,11,0,32.5,24,28.3,72,1,40
2011,2,12,63.8,32.5,23,27.8,81,1,40
2011,2,13,62,26.5,22.6,24.5,90,1,40
2011,2,14,8.2,29,22.6,25.8,80,2,40
2011,2,15,6.6,30.1,23,26.5,79,4,40
2011,2,16,11,32.6,22,27.3,79,3,20
2011,2,17,73.4,27.4,21,24.2,83,1,180
2011,2,18,3,28.6,21,24.8,81,1,160
