YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,1.3,30.6,24,27.3,89,2,40
2011,1,2,12.8,26,22.8,24.4,92,2,40
2011,1,3,5.2,25,22.2,23.6,91,2,40
2011,1,4,0,30.8,22.5,26.7,87,2,40
2011,1,5,4.3,27.2,22.8,25,93,2,40
2011,1,6,0,29.5,23,26.3,90,2,40
2011,1,7,3.4,31.8,23.5,27.7,85,1,40
2011,1,8,0.2,31.5,24.4,28,85,2,40
2011,1,9,1.6,31.2,24,27.6,88,2,50
2011,1,10,23.6,29.8,24,26.9,95,1,50
2011,1,11,0,32,23.6,27.8,88,2,40
2011,1,12,26.8,32,24.2,28.1,91,2,180
2011,1,13,0,30.8,24,27.4,87,2,40
2011,1,14,7,33.5,25,29.3,86,1,180
2011,1,15,50.7,33,23.7,28.4,84,1,180
2011,1,16,3,30.2,23.9,27.1,88,2,70
2011,1,17,26.2,30,23.2,26.6,90,2,40
2011,1,18,12.2,25.6,21.4,23.5,95,1,360
2011,1,19,0,31.9,23.4,27.7,86,1,180
2011,1,20,0,30.4,24,27.2,88,1,260
2011,1,21,0,32,24.5,28.3,83,2,40
2011,1,22,49,32,22.7,27.4,91,2,40
2011,1,23,0,31,24,27.5,87,2,60
2011,1,24,4.6,30.3,22.8,26.6,86,2,40
2011,1,25,1.2,30.6,24,27.3,88,2,40
2011,1,26,55.2,28.8,23.2,26,93,3,40
2011,1,27,39,26.4,22.5,24.5,95,2,40
2011,1,28,7.8,27.5,23,25.3,91,2,40
2011,1,29,1.2,31.8,22.1,27,83,2,40
2011,1,30,0.2,30.6,23.3,27,83,3,360
2011,1,31,1.4,28,23.2,25.6,84,3,20
2011,2,1,24.6,26,22.4,24.2,94,3,40
2011,2,2,0.2,28.2,23,25.6,88,3,40
2011,2,3,1.2,30.5,24.4,27.5,88,2,360
2011,2,4,0.8,27,24.6,25.8,89,2,50
2011,2,5,0,32,24.2,28.1,87,1,220
2011,2,6,0,32,24.7,28.4,86,2,40
2011,2,7,10.8,32,23,27.5,88,1,40
2011,2,8,0,32.2,23.6,27.9,81,1,180
2011,2,9,0,33,24,28.5,83,1,280
2011,2,10,0,32.2,23.8,28,85,1,40
2011,2,11,0.3,33.2,24,28.6,86,2,40
2011,2,12,6,32.8,24.3,28.6,83,2,40
2011,2,13,1.2,29,23.6,26.3,87,3,30
2011,2,14,0,31,23.7,27.4,83,2,40
2011,2,15,10.5,32.2,23.4,27.8,87,2,40
2011,2,16,0,33,23.6,28.3,84,2,40
2011,2,17,4.6,32.4,23,27.7,84,2,40
2011,2,18,7,30.5,24,27.3,89,2,90
2011,2,19,0.2,31.5,23.3,27.4,85,2,40
2011,2,20,6.4,31.8,22,26.9,86,2,40
2011,2,21,0,32,24,28,84,2,40
2011,2,22,0,31,21.9,26.5,82,2,40
2011,2,23,0,31.4,21.8,26.6,79,1,40
