YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,0,23.5,18,20.8,92,6,70
2011,1,2,0,22.8,17.7,20.3,74,6,40
2011,1,3,0,23.5,18,20.8,87,7,20
2011,1,4,0,22,17.2,19.6,81,6,20
2011,1,5,0,24,18.5,21.3,87,7,40
2011,1,6,0,24.5,18,21.3,91,5,40
2011,1,7,0,25.5,17.9,21.7,84,5,20
2011,1,8,4.1,24.2,18,21.1,84,5,40
2011,1,9,21.4,23,18.8,20.9,93,3,40
2011,1,10,8,24.8,19.2,22,94,6,20
2011,1,11,2.6,23,18,20.5,91,5,40
2011,1,12,0,24.5,20,22.3,94,4,70
2011,1,13,0,24.5,19,21.8,94,5,40
2011,1,14,0,24.5,19.4,22,94,3,360
2011,1,15,57.5,26.4,18.5,22.5,93,4,40
2011,1,16,0,22.5,16.8,19.7,90,7,40
2011,1,17,0,20.5,17,18.8,90,10,20
2011,1,18,1,21.7,18.5,20.1,90,7,40
2011,1,19,4,24.5,19.5,22,96,4,40
2011,1,20,0,26,19,22.5,92,3,40
2011,1,21,1.3,28,20.1,24,74,2,20
2011,1,22,3.8,25.5,20,22.8,91,4,80
2011,1,23,5.2,24.4,19.5,22,97,4,60
2011,1,24,8,24,18.8,21.4,97,6,80
2011,1,25,1,22.5,17.7,20.1,92,8,40
2011,1,26,1,23,19,21,92,6,40
2011,1,27,0,24,17.9,21,84,8,70
2011,1,28,0,24.2,17.8,21,84,7,40
2011,1,29,0,24.5,17.5,21,86,5,70
2011,1,30,4.1,24.1,17.6,20.9,85,4,70
2011,1,31,5,22.3,17.5,19.9,89,8,20
2011,2,1,0,20.8,16.5,18.7,88,8,40
2011,2,2,0,21.8,16.4,19.1,77,6,40
2011,2,3,0,23,17,20,86,4,20
2011,2,4,0,24.5,18,21.3,90,3,40
2011,2,5,0,23.1,17.7,20.4,90,5,70
2011,2,6,0,24,18.2,21.1,90,3,40
2011,2,7,1.8,24.8,19.8,22.3,96,5,90
2011,2,8,0,27,20.3,23.7,88,3,320
2011,2,9,5.2,27.5,20.5,24,92,3,70
2011,2,10,0,28.5,20.5,24.5,85,3,320
2011,2,11,0,29.5,19,24.3,86,2,40
2011,2,12,0,23,17.5,20.3,92,6,40
2011,2,13,0,22,18.3,20.2,89,5,40
2011,2,14,0,26.2,19.3,22.8,90,4,90
2011,2,15,0,24.5,19.8,22.2,90,6,20
2011,2,16,2,25,19.5,22.3,89,3,90
2011,2,17,0,28,19,23.5,86,4,40
2011,2,18,0,28,19,23.5,87,4,40
2011,2,19,0,27,18.3,22.7,78,4,90
2011,2,20,0,27,18.3,22.7,79,4,40
2011,2,21,0,27,19,23,82,3,90
2011,2,22,0,25,18.3,21.7,84,4,70
2011,2,23,0,23.5,17.5,20.5,89,5,40
2011,2,24,0,24.5,16.8,20.7,85,6,40
2011,2,25,0,25.2,17.8,21.5,90,6,40
2011,2,26,0,24,17.8,20.9,83,6,40
2011,2,27,0,24.5,18,21.3,88,6,40
2011,2,28,3.2,24.5,21,22.8,90,5,20
2011,3,1,52.8,25,18,21.5,92,4,90
2011,3,2,1,24.7,18.7,21.7,95,2,40
2011,3,3,0,25.2,18,21.6,89,5,40
2011,3,4,6.2,24.5,18,21.3,90,5,90
2011,3,5,32,22.7,18.2,20.5,94,5,70
2011,3,6,0,26,19.5,22.8,88,4,40
2011,3,7,30,25,20,22.5,89,3,20
2011,3,8,7,25,18.7,21.9,90,6,40
2011,3,9,2.4,23,19,21,93,6,40
2011,3,10,0,23,18,20.5,89,6,40
2011,3,11,0,23.5,18.3,20.9,85,6,40
2011,3,12,0,25,18,21.5,79,6,40
2011,3,13,0,26,20,23,83,6,40
2011,3,14,0,25,20,22.5,89,4,90
2011,3,15,0,25.5,18.5,22,86,6,40
2011,3,16,0,24,19,21.5,78,7,40
2011,3,17,0,24.5,18.6,21.5,90,8,40
2011,3,18,0,22.3,19,20.7,90,5,40
2011,3,19,0,24.6,19.5,22,86,6,40
2011,3,20,0,24.8,20,22.4,83,4,40
2011,3,21,0,27,21,24,88,5,70
2011,3,22,0,27.5,19,23.3,84,5,40
2011,3,23,1.4,26,19.5,22.8,80,7,70
2011,3,24,0,25.5,18.8,22.2,84,2,40
2011,3,25,0,24,18.5,21.3,86,6,40
2011,3,26,0,24.2,18.6,21.4,85,7,40
2011,3,27,0,24.3,18.7,21.5,88,6,40
2011,3,28,0.1,22.8,20.2,21.5,91,5,20
2011,3,29,3.6,25.2,18.5,21.9,92,5,90
2011,3,30,0.8,24.2,19.5,21.9,93,8,70
2011,3,31,0,24.5,18,21.3,90,6,40
2011,4,1,0,24,18,21,90,6,40
2011,4,2,0,25.3,18.8,22.1,88,4,70
2011,4,3,0,25.5,18.8,22.2,88,4,80
2011,4,4,0,26,19.2,22.6,89,4,90
2011,4,5,0,24,17.5,20.8,84,6,70
2011,4,6,0,22.7,18.5,20.6,88,5,70
2011,4,7,0,24,17.8,20.9,88,5,40
2011,4,8,3.6,26.2,18.4,22.3,77,4,40
2011,4,9,1.2,22.4,18.4,20.4,86,6,40
2011,4,10,0,25.7,18.3,22,82,5,40
2011,4,11,0,26.5,19.2,22.9,84,5,20
2011,4,12,0,25,19,22,74,7,20
2011,4,13,0,26.3,19.5,22.9,79,5,70
2011,4,14,0,26.5,17.6,22,84,5,40
2011,4,15,0,26.5,18.8,22.7,81,4,40
2011,4,16,0,29.5,19.8,24.7,82,2,40
2011,4,17,0,30.1,20.1,25.1,80,3,320
2011,4,18,0,30,20.8,25.4,81,2,270
2011,4,19,3.2,29.3,20,24.7,86,3,90
2011,4,20,2,23.5,19,21.3,93,6,70
2011,4,21,0,25,19.2,22.1,91,7,40
2011,4,22,0,27.5,19.4,23.5,86,4,90
2011,4,23,0,28.2,19.5,23.9,83,4,110
2011,4,24,0,27.1,19.6,23.4,85,5,40
2011,4,25,0,27,21.2,24.1,87,4,20
2011,4,26,0,30,20.5,25.3,86,3,140
2011,4,27,0,31,22,26.5,86,3,140
2011,4,28,0,29,20,24.5,85,5,70
2011,4,29,15.9,27,20,23.5,88,6,90
2011,4,30,0,25.1,19.7,22.4,92,6,90
2011,5,1,0,29.2,20,24.6,82,5,40
