YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,1,23.8,16.8,20.3,86,3,360
2011,1,2,1.4,24.3,17.6,21,88,0,0
2011,1,3,0,26.3,16.9,21.6,84,0,0
2011,1,4,0,27.5,16.5,22,84,1,360
2011,1,5,0,27.5,17,22.3,84,1,180
2011,1,6,0,28.5,17,22.8,84,0,0
2011,1,7,0.3,29.5,17,23.3,86,1,360
2011,1,8,1.1,27.5,17.3,22.4,84,0,0
2011,1,9,0,29,19.7,24.4,85,1,360
2011,1,10,0,27,19.2,23.1,84,1,360
2011,1,11,0,27.5,19.8,23.7,83,0,0
2011,1,12,2,28,18.5,23.3,84,2,360
2011,1,13,0,25.2,18.5,21.9,87,3,360
2011,1,14,0.2,27.8,19,23.4,87,1,360
2011,1,15,2,29,17.2,23.1,89,3,360
2011,1,16,0,23.3,16,19.7,86,3,360
2011,1,17,0.1,22.5,16,19.3,86,1,360
2011,1,18,0,24.2,17.5,20.9,86,1,360
2011,1,19,53.1,24.7,16.8,20.8,87,1,360
2011,1,20,3.7,28.5,17,22.8,86,1,360
2011,1,21,0,32.5,16,24.3,79,3,360
2011,1,22,0,28,17,22.5,84,4,360
2011,1,23,0,28.5,19.8,24.2,85,3,360
2011,1,24,1.7,26.5,18.7,22.6,86,2,360
2011,1,25,0,27,19,23,86,0,0
2011,1,26,0,27,17.4,22.2,84,1,180
2011,1,27,0,27.6,19.3,23.5,84,1,180
2011,1,28,0,30.5,17.7,24.1,82,0,0
2011,1,29,1.1,29.8,17.9,23.9,83,0,0
2011,1,30,0,26.3,17.5,21.9,87,2,360
2011,1,31,0,24.5,15.9,20.2,86,2,40
2011,2,1,0,25.6,14.6,20.1,84,1,360
2011,2,2,0,27,14.9,21,85,0,0
2011,2,3,0,28,14.8,21.4,83,1,270
2011,2,4,1.2,27,18.2,22.6,87,1,360
2011,2,5,0,28,18,23,84,1,360
2011,2,6,1,28.5,19.5,24,83,1,360
2011,2,7,1.4,28.5,19.7,24.1,84,0,0
2011,2,8,0,28.5,19.9,24.2,85,1,360
2011,2,9,1.4,29,19.7,24.4,85,1,180
2011,2,10,1.1,32,20,26,77,1,360
2011,2,11,0,32,19.3,25.7,78,3,360
2011,2,12,0,24.2,17.1,20.7,85,2,320
2011,2,13,0,25.5,16.2,20.9,84,1,180
2011,2,14,0,30.5,17.7,24.1,82,2,360
2011,2,15,0,27.5,18.5,23,83,1,360
2011,2,16,0,28.5,19,23.8,82,1,180
2011,2,17,0,33,19,26,88,1,140
2011,2,18,0,32.5,20,26.3,79,1,360
2011,2,19,0,31.5,20,25.8,79,1,360
2011,2,20,0,32.5,18.8,25.7,78,1,360
2011,2,21,0,28.5,17.8,23.2,83,2,360
2011,2,22,0,30.2,17.5,23.9,81,2,360
2011,2,23,0,29,17.8,23.4,82,1,360
2011,2,24,0,31.5,18,24.8,79,1,180
2011,2,25,0,31.5,16,23.8,81,1,180
2011,2,26,0,31.5,17,24.3,82,1,320
2011,2,27,0,28.3,17.4,22.9,81,1,180
2011,2,28,0,30.5,18.3,24.4,80,1,90
2011,3,1,0,33,21.1,27,76,1,360
2011,3,2,0,30,21.5,25.8,80,1,360
2011,3,3,4.2,31,18.5,24.8,84,1,360
2011,3,4,4.2,24.5,19.2,21.9,87,3,360
2011,3,5,2.6,25.5,20.5,23,85,1,360
2011,3,6,0.2,31.5,21.4,26.5,78,1,180
2011,3,7,6.6,32.3,18.5,25.4,81,2,360
2011,3,8,0,25.5,18.4,22,86,3,360
2011,3,9,0,27.5,21,24.3,85,1,360
2011,3,10,0,29.5,21,25.3,82,1,360
2011,3,11,0,30.4,21,25.7,81,1,360
2011,3,12,0,31,17.2,24.1,80,1,360
2011,3,13,0,32.5,19.8,26.2,77,1,180
2011,3,14,0,33.5,20,26.8,76,1,180
2011,3,15,0,32.5,21.7,27.1,74,1,360
2011,3,16,0,31,22,26.5,80,1,360
2011,3,17,0,27,21.5,24.3,83,1,360
2011,3,18,0,29.5,22,25.8,80,1,360
2011,3,19,0,31.5,22,26.8,77,1,180
2011,3,20,0,33,21.3,27.2,77,1,180
2011,3,21,0,36,22.7,29.4,74,2,180
2011,3,22,0,34.5,22.5,28.5,75,1,360
2011,3,23,0,32,21.6,26.8,78,1,360
2011,3,24,0,29,22,25.5,80,2,360
2011,3,25,0,29.5,21,25.3,76,2,360
2011,3,26,0,29.5,20.6,25,75,1,40
2011,3,27,0,29.8,20.8,25.3,81,1,360
2011,3,28,0.2,29.2,20.8,25,81,2,360
2011,3,29,1.5,27,19.5,23.3,86,3,360
2011,3,30,0,27,21,24,82,3,360
2011,3,31,0,26.5,19.8,23.2,86,1,360
2011,4,1,0,28,19.9,24,84,0,0
2011,4,2,0,31.7,20.5,26.1,78,2,360
2011,4,3,0,31.5,20.1,25.8,78,2,360
2011,4,4,0,32,18,25,77,2,360
2011,4,5,0,31,20.1,25.5,78,2,360
2011,4,6,0.6,29,19.8,24.4,82,1,360
2011,4,7,0,31.5,20.5,26,80,1,360
