YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,5.4,32.8,20.2,26.5,83,1,40
2011,1,2,32.6,30.8,19.5,25.2,87,1,40
2011,1,3,0,32.5,20,26.3,83,2,40
2011,1,4,1.8,33,19.7,26.4,80,2,220
2011,1,5,0,32.6,20.5,26.6,79,1,40
2011,1,6,0,33,19.3,26.2,80,1,90
2011,1,7,0,32.5,20.5,26.5,83,1,220
2011,1,8,0,32.6,20.7,26.7,83,1,180
2011,1,9,0,33.8,19.8,26.8,78,1,90
2011,1,10,0,33.8,21.5,27.6,79,1,40
2011,1,11,1.5,33.4,21,27.2,83,2,260
2011,1,12,0.5,34,20.6,27.3,80,2,160
2011,1,13,50.9,33,19.2,26.1,86,1,40
2011,1,14,0.2,31.8,19.2,25.5,87,1,60
2011,1,15,62.6,31.8,19.4,25.6,90,2,220
2011,1,16,0,31.2,19.5,25.4,88,1,270
2011,1,17,0.2,32.5,21.2,26.9,84,1,160
2011,1,18,5.7,29.4,19.5,24.5,89,1,20
2011,1,19,12.2,26.2,18.2,22.2,94,1,60
2011,1,20,0,32.5,18.9,25.7,84,1,180
2011,1,21,0,33,19.5,26.3,81,1,180
2011,1,22,0.5,33.2,20,26.6,80,1,20
2011,1,23,2,32.4,20.6,26.5,84,2,260
2011,1,24,2.8,32.5,19.4,26,82,2,270
2011,1,25,0,33.2,18.9,26,78,2,60
2011,1,26,1.8,33.8,20.3,27,80,2,60
2011,1,27,0,32.2,20.4,26.3,76,2,40
2011,1,28,0,34.5,20.1,27.3,76,2,70
2011,1,29,0,33.4,20,26.7,75,2,90
2011,1,30,0,33.5,20.5,27,77,2,40
2011,1,31,0,33.5,22.5,28,74,2,180
2011,2,1,5.2,30.5,20,25.3,74,2,20
2011,2,2,18.2,25.8,19.5,22.7,93,1,330
2011,2,3,27.8,28.4,19,23.7,93,1,40
2011,2,4,7.4,29.1,19.6,24.4,94,1,40
2011,2,5,0,32.4,19.4,25.9,84,1,250
2011,2,6,0,34,20,27,81,2,120
2011,2,7,0,33.8,19.5,26.6,80,1,120
2011,2,8,0,34,20.5,27.3,80,2,40
2011,2,9,0,33.5,20.7,27.1,81,1,120
2011,2,10,0,34,19.7,26.9,80,1,40
2011,2,11,2,34.3,20.9,27.6,76,2,250
2011,2,12,2.9,32.5,20.3,26.4,86,1,240
2011,2,13,5.7,33.4,19.2,26.3,83,2,270
2011,2,14,0,31.6,20.4,26,83,1,40
2011,2,15,17,33.2,18.9,26,83,2,210
2011,2,16,12.4,33.7,19.4,26.5,82,2,60
2011,2,17,2.7,32.5,20.5,26.5,86,2,40
2011,2,18,1.1,28.5,20.1,24.3,89,2,40
2011,2,19,2,32.8,19.7,26.3,86,2,90
2011,2,20,32.8,32,20.2,26.1,86,1,270
2011,2,21,5.9,31.6,19.2,25.4,84,2,270
2011,2,22,0,31.6,19.2,25.4,80,2,120
2011,2,23,0,31.4,19,25.2,82,1,250
2011,2,24,0,32.5,21.2,26.9,78,2,40
2011,2,25,0,33.5,24,28.8,75,2,220
2011,2,26,0,33.7,23.2,28.5,72,2,40
2011,2,27,1.4,30.2,23.4,26.8,85,1,270
2011,2,28,6.5,32,24.2,28.1,85,1,210
2011,3,1,0,33.4,24,28.7,80,2,120
2011,3,2,18.8,32.5,22.8,27.7,84,2,270
2011,3,3,0,32.8,23.4,28.1,79,2,250
2011,3,4,0,32.7,23,27.9,81,1,240
2011,3,5,4,31.4,23.6,27.5,83,1,40
2011,3,6,0,32,23,27.5,81,1,270
2011,3,7,0,31,23.8,27.4,83,1,40
2011,3,8,0.6,32.5,24.4,28.5,79,1,210
2011,3,9,0,33.2,23.2,28.2,85,2,40
2011,3,10,0,34,25,29.5,78,2,40
2011,3,11,2.6,33,24.3,28.7,82,1,260
2011,3,12,0,33.4,23.8,28.6,81,2,220
2011,3,13,0,32.8,23.4,28.1,84,1,250
2011,3,14,1.8,32,24,28,84,1,40
2011,3,15,1.3,31,24,27.5,88,1,60
2011,3,16,9,33.6,24.5,29.1,85,2,60
2011,3,17,3.4,34,24.6,29.3,81,2,90
2011,3,18,2.4,33.5,25,29.3,85,2,240
2011,3,19,31.6,33.2,24.2,28.7,88,1,220
2011,3,20,2.8,33.2,24.5,28.9,86,1,60
2011,3,21,13.8,32.2,24,28.1,88,2,40
2011,3,22,12.8,33.6,24,28.8,83,1,40
2011,3,23,0,29.2,24.4,26.8,90,2,260
2011,3,24,20.6,32,24.4,28.2,88,1,220
2011,3,25,2.4,30.5,23,26.8,88,1,210
2011,3,26,0.7,32.5,24.9,28.7,84,1,250
2011,3,27,5.2,32,25,28.5,85,2,40
2011,3,28,3.4,33.4,25,29.2,86,1,120
2011,3,29,0.6,31.6,24,27.8,84,1,250
2011,3,30,6.4,32.7,24.8,28.8,86,1,210
2011,3,31,0,32.4,24,28.2,84,1,210
2011,4,1,2.4,32,24.2,28.1,85,1,240
2011,4,2,0,33.2,23.4,28.3,81,1,180
2011,4,3,0,34,23.8,28.9,80,1,120
2011,4,4,0,33.2,24.2,28.7,79,1,180
2011,4,5,0,34,23.5,28.8,78,2,20
2011,4,6,0,33.5,23.7,28.6,77,2,60
2011,4,7,0,33,24,28.5,80,2,40
2011,4,8,0,34,24.2,29.1,75,2,90
2011,4,9,0,33.7,25,29.4,76,2,70
2011,4,10,0,33.2,24,28.6,83,1,40
2011,4,11,0,34.2,26,30.1,79,2,270
