YEAR,MONTH,DAY,TMAX,TMIN,TMEAN,RH,WIND_SPEED
2011,1,1.0,-12.5,-14.0,-11.600000000000001,125.0,43.0
2011,1,2.0,71.6,-17.7,-14.5,101.0,-37.0
2011,1,3.0,71.6,62.3,65.5,101.0,-38.0
2011,1,4.0,-8.399999999999999,66.0,68.4,101.0,43.0
2011,1,5.0,-12.5,-17.7,-11.600000000000001,125.0,-37.0
2011,1,6.0,-12.5,62.3,-11.600000000000001,125.0,42.0
2011,1,7.0,-8.399999999999999,-14.0,-11.600000000000001,125.0,-37.0
2011,1,8.0,71.6,-14.0,68.4,21.0,-37.0
2011,1,9.0,-8.399999999999999,-17.7,68.4,21.0,43.0
2011,1,10.0,67.5,-14.0,68.4,45.0,-37.0
2011,1,11.0,-12.5,66.0,-14.5,21.0,42.0
2011,1,12.0,-12.5,62.3,68.4,21.0,-37.0
2011,1,13.0,-12.5,66.0,65.5,125.0,43.0
2011,1,14.0,-8.399999999999999,-14.0,68.4,101.0,43.0
2011,1,15.0,-8.399999999999999,62.3,-14.5,21.0,-38.0
2011,1,16.0,-8.399999999999999,62.3,-14.5,101.0,43.0
2011,1,17.0,-12.5,-17.7,65.5,45.0,-38.0
2011,1,18.0,67.5,-17.7,-14.5,125.0,-37.0
2011,1,19.0,71.6,62.3,-11.600000000000001,101.0,42.0
2011,1,20.0,-8.399999999999999,62.3,-14.5,125.0,42.0
2011,1,21.0,71.6,-17.7,-14.5,101.0,-37.0
2011,1,22.0,67.5,66.0,-11.600000000000001,125.0,42.0
2011,1,23.0,67.5,62.3,-11.600000000000001,101.0,-37.0
2011,1,24.0,-12.5,62.3,-14.5,45.0,42.0
2011,1,25.0,-8.399999999999999,-14.0,-11.600000000000001,101.0,42.0
2011,1,26.0,71.6,-14.0,68.4,101.0,-38.0
2011,1,27.0,-12.5,62.3,-14.5,101.0,-37.0
2011,1,28.0,71.6,-14.0,65.5,45.0,43.0
2011,1,29.0,67.5,62.3,-14.5,125.0,-37.0
2011,1,30.0,-8.399999999999999,-17.7,68.4,45.0,43.0
2011,1,31.0,-12.5,62.3,65.5,45.0,-38.0
2011,2,1.0,22.0,16.0,19.4,74.0,10.0
2011,2,2.0,34.0,20.6,35.9,68.0,8.0
2011,2,3.0,39.5,32.6,35.9,74.0,10.0
2011,2,4.0,27.5,28.0,19.4,68.0,-4.0
2011,2,5.0,34.0,16.0,23.9,74.0,-4.0
2011,2,6.0,39.5,28.0,35.9,86.0,-2.0
2011,2,7.0,34.0,28.0,19.4,86.0,-2.0
2011,2,8.0,22.0,16.0,19.4,68.0,8.0
2011,2,9.0,22.0,16.0,31.4,56.0,10.0
2011,2,10.0,27.5,16.0,23.9,74.0,-4.0
2011,2,11.0,22.0,28.0,31.4,74.0,-2.0
2011,2,12.0,39.5,20.6,23.9,56.0,10.0
2011,2,13.0,39.5,16.0,35.9,86.0,-4.0
2011,2,14.0,22.0,32.6,23.9,74.0,8.0
2011,2,15.0,27.5,28.0,23.9,56.0,10.0
2011,2,16.0,39.5,16.0,23.9,56.0,-2.0
2011,2,17.0,22.0,20.6,31.4,74.0,-4.0
2011,2,18.0,39.5,16.0,31.4,86.0,-4.0
2011,2,19.0,27.5,32.6,23.9,56.0,-2.0
2011,2,20.0,27.5,20.6,19.4,86.0,-2.0
2011,2,21.0,27.5,32.6,35.9,56.0,-2.0
2011,2,22.0,27.5,20.6,23.9,86.0,-4.0
2011,2,23.0,27.5,32.6,23.9,86.0,-4.0
2011,2,24.0,22.0,32.6,23.9,68.0,-2.0
2011,2,25.0,27.5,20.6,19.4,86.0,-2.0
2011,2,26.0,34.0,20.6,31.4,56.0,-4.0
2011,2,27.0,39.5,28.0,23.9,86.0,10.0
