YEAR,MONTH,DAY,TMAX,TMIN,TMEAN,RH,WIND_SPEED
2011,1,1.0,53.0,47.0,49.5,88.0,-16.0
2011,1,2.0,53.0,2.0,46.8,64.0,23.0
2011,1,3.0,53.0,44.0,46.8,88.0,-16.0
2011,1,4.0,48.5,2.0,4.800000000000001,46.0,26.0
2011,1,5.0,53.0,2.0,7.5,106.0,-16.0
2011,1,6.0,53.0,2.0,46.8,106.0,-19.0
2011,1,7.0,48.5,2.0,46.8,88.0,-16.0
2011,1,8.0,48.5,5.0,49.5,106.0,-16.0
2011,1,9.0,6.5,2.0,46.8,106.0,26.0
2011,1,10.0,6.5,2.0,7.5,88.0,-19.0
2011,1,11.0,11.0,47.0,46.8,64.0,-16.0
2011,1,12.0,6.5,5.0,46.8,88.0,-19.0
2011,1,13.0,53.0,44.0,46.8,64.0,23.0
2011,1,14.0,6.5,2.0,46.8,64.0,-19.0
2011,1,15.0,11.0,2.0,46.8,88.0,26.0
2011,1,16.0,48.5,47.0,7.5,88.0,26.0
2011,1,17.0,11.0,5.0,46.8,64.0,-16.0
2011,1,18.0,6.5,47.0,7.5,88.0,-19.0
2011,1,19.0,53.0,2.0,49.5,46.0,-16.0
2011,1,20.0,11.0,44.0,49.5,64.0,-16.0
2011,1,21.0,53.0,2.0,46.8,88.0,26.0
2011,1,22.0,6.5,2.0,4.800000000000001,64.0,26.0
2011,1,23.0,11.0,47.0,7.5,64.0,-19.0
2011,1,24.0,48.5,47.0,4.800000000000001,64.0,-19.0
2011,1,25.0,11.0,2.0,49.5,106.0,26.0
2011,1,26.0,11.0,5.0,7.5,46.0,-16.0
2011,1,27.0,48.5,2.0,7.5,46.0,-16.0
2011,1,28.0,53.0,2.0,46.8,88.0,-19.0
2011,1,29.0,6.5,5.0,7.5,88.0,23.0
2011,1,30.0,11.0,44.0,7.5,88.0,-19.0
2011,1,31.0,48.5,5.0,7.5,106.0,-16.0
2011,2,1.0,72.5,-17.0,69.2,101.0,44.0
2011,2,2.0,-5.5,-17.0,-8.8,123.0,-34.0
2011,2,3.0,-5.5,61.0,64.8,23.0,44.0
2011,2,4.0,-5.5,-17.0,-13.2,45.0,44.0
2011,2,5.0,67.3,65.8,-8.8,45.0,-37.0
2011,2,6.0,67.3,-17.0,-8.8,23.0,-34.0
2011,2,7.0,72.5,-12.2,69.2,23.0,-37.0
2011,2,8.0,72.5,-17.0,-8.8,45.0,-37.0
2011,2,9.0,67.3,61.0,69.2,23.0,-34.0
2011,2,10.0,-5.5,-12.2,-13.2,101.0,-37.0
2011,2,11.0,72.5,65.8,64.8,123.0,-37.0
2011,2,12.0,-10.7,-12.2,-13.2,23.0,-37.0
2011,2,13.0,67.3,65.8,64.8,45.0,41.0
2011,2,14.0,-10.7,65.8,64.8,45.0,44.0
2011,2,15.0,67.3,-17.0,-8.8,123.0,44.0
2011,2,16.0,-5.5,-12.2,-8.8,45.0,41.0
2011,2,17.0,67.3,-17.0,69.2,123.0,44.0
2011,2,18.0,67.3,-17.0,69.2,45.0,41.0
2011,2,19.0,67.3,-12.2,64.8,23.0,44.0
2011,2,20.0,-10.7,61.0,-8.8,101.0,-34.0
2011,2,21.0,72.5,-17.0,-13.2,45.0,41.0
