YEAR,MONTH,DAY,TMAX,TMIN,TMEAN,RH,WIND_SPEED
2011,1,1.0,58.7,55.2,-3.0,75.0,-29.0
2011,1,2.0,58.7,-12.5,59.0,126.0,-29.0
2011,1,3.0,2.0,55.2,59.0,64.0,33.0
2011,1,4.0,2.0,-6.800000000000001,-6.600000000000001,75.0,-30.0
2011,1,5.0,64.0,-12.5,-6.600000000000001,126.0,-29.0
2011,1,6.0,58.7,-12.5,55.4,64.0,32.0
2011,1,7.0,-3.3000000000000007,-6.800000000000001,-6.600000000000001,64.0,-29.0
2011,1,8.0,64.0,55.2,55.4,13.0,-30.0
2011,1,9.0,58.7,55.2,-6.600000000000001,64.0,-30.0
2011,1,10.0,64.0,55.2,55.4,64.0,32.0
2011,1,11.0,58.7,49.5,59.0,75.0,-29.0
2011,1,12.0,-3.3000000000000007,49.5,-3.0,13.0,32.0
2011,1,13.0,2.0,49.5,55.4,13.0,-29.0
2011,1,14.0,2.0,-6.800000000000001,55.4,64.0,32.0
2011,1,15.0,-3.3000000000000007,-12.5,59.0,64.0,-29.0
2011,1,16.0,58.7,-12.5,-6.600000000000001,13.0,-29.0
2011,1,17.0,2.0,-12.5,55.4,126.0,-30.0
2011,1,18.0,2.0,49.5,-6.600000000000001,75.0,33.0
2011,1,19.0,-3.3000000000000007,55.2,-3.0,64.0,32.0
2011,1,20.0,2.0,-6.800000000000001,-6.600000000000001,13.0,-29.0
2011,1,21.0,-3.3000000000000007,-12.5,-6.600000000000001,64.0,33.0
2011,1,22.0,58.7,-6.800000000000001,59.0,64.0,-30.0
2011,1,23.0,2.0,-12.5,-3.0,13.0,32.0
2011,1,24.0,-3.3000000000000007,-12.5,-3.0,126.0,33.0
2011,1,25.0,2.0,-6.800000000000001,59.0,126.0,-30.0
2011,1,26.0,64.0,49.5,59.0,13.0,33.0
2011,1,27.0,-3.3000000000000007,49.5,-6.600000000000001,126.0,33.0
2011,1,28.0,2.0,55.2,-6.600000000000001,64.0,32.0
2011,1,29.0,2.0,-6.800000000000001,-6.600000000000001,64.0,33.0
2011,1,30.0,58.7,49.5,-3.0,126.0,32.0
2011,1,31.0,2.0,55.2,-6.600000000000001,64.0,32.0
2011,2,1.0,46.7,12.3,37.2,70.0,-13.0
2011,2,2.0,46.7,12.3,42.5,77.0,13.0
2011,2,3.0,41.6,6.0,16.5,96.0,-13.0
2011,2,4.0,20.700000000000003,6.0,42.5,51.0,-11.0
2011,2,5.0,46.7,6.0,16.5,96.0,13.0
2011,2,6.0,15.600000000000001,38.3,11.2,70.0,-11.0
2011,2,7.0,41.6,38.3,16.5,96.0,-11.0
2011,2,8.0,46.7,12.3,37.2,77.0,13.0
2011,2,9.0,41.6,12.3,11.2,51.0,-13.0
2011,2,10.0,20.700000000000003,38.3,11.2,96.0,13.0
2011,2,11.0,46.7,32.0,37.2,96.0,15.0
2011,2,12.0,20.700000000000003,38.3,11.2,51.0,-11.0
2011,2,13.0,20.700000000000003,38.3,37.2,77.0,13.0
2011,2,14.0,46.7,12.3,11.2,96.0,-13.0
2011,2,15.0,20.700000000000003,38.3,16.5,51.0,13.0
2011,2,16.0,15.600000000000001,6.0,16.5,96.0,13.0
2011,2,17.0,15.600000000000001,38.3,37.2,96.0,-13.0
2011,2,18.0,41.6,38.3,42.5,51.0,-11.0
2011,2,19.0,20.700000000000003,38.3,16.5,77.0,-11.0
2011,2,20.0,20.700000000000003,32.0,42.5,96.0,15.0
2011,2,21.0,20.700000000000003,6.0,11.2,51.0,-11.0
2011,2,22.0,20.700000000000003,32.0,11.2,77.0,-13.0
2011,2,23.0,20.700000000000003,12.3,42.5,51.0,15.0
2011,2,24.0,15.600000000000001,6.0,11.2,77.0,-11.0
2011,2,25.0,46.7,32.0,42.5,51.0,13.0
2011,2,26.0,20.700000000000003,6.0,37.2,70.0,15.0
2011,2,27.0,46.7,32.0,37.2,96.0,-11.0
